registry_id,registry_status,seed,n_splits,fold_index,fold_number,split,subject_id,record_ids,activity_raw,activity_binary,runtime_split_recomputation_allowed,source_manifest_sha256,independence_claim
v1_provisional_external_grouped_split_seed42,provisional_pending_v2_human_confirmation,42,5,0,1,train,s1,"[""s1_run"",""s1_sit"",""s1_walk""]","[""run"",""sit"",""walk""]","[""motion"",""static""]",false,43ab3273346469e9f689ce32da9c5ad280d0a53a8bc8864adf5716f40f9f024e,none_not_an_independent_external_test
v1_provisional_external_grouped_split_seed42,provisional_pending_v2_human_confirmation,42,5,0,1,train,s10,"[""s10_run"",""s10_sit"",""s10_walk""]","[""run"",""sit"",""walk""]","[""motion"",""static""]",false,43ab3273346469e9f689ce32da9c5ad280d0a53a8bc8864adf5716f40f9f024e,none_not_an_independent_external_test
v1_provisional_external_grouped_split_seed42,provisional_pending_v2_human_confirmation,42,5,0,1,train,s11,"[""s11_run"",""s11_sit"",""s11_walk""]","[""run"",""sit"",""walk""]","[""motion"",""static""]",false,43ab3273346469e9f689ce32da9c5ad280d0a53a8bc8864adf5716f40f9f024e,none_not_an_independent_external_test
v1_provisional_external_grouped_split_seed42,provisional_pending_v2_human_confirmation,42,5,0,1,train,s12,"[""s12_run"",""s12_sit"",""s12_walk""]","[""run"",""sit"",""walk""]","[""motion"",""static""]",false,43ab3273346469e9f689ce32da9c5ad280d0a53a8bc8864adf5716f40f9f024e,none_not_an_independent_external_test
v1_provisional_external_grouped_split_seed42,provisional_pending_v2_human_confirmation,42,5,0,1,oof,s13,"[""s13_run"",""s13_sit"",""s13_walk""]","[""run"",""sit"",""walk""]","[""motion"",""static""]",false,43ab3273346469e9f689ce32da9c5ad280d0a53a8bc8864adf5716f40f9f024e,none_not_an_independent_external_test
v1_provisional_external_grouped_split_seed42,provisional_pending_v2_human_confirmation,42,5,0,1,train,s14,"[""s14_run"",""s14_sit"",""s14_walk""]","[""run"",""sit"",""walk""]","[""motion"",""static""]",false,43ab3273346469e9f689ce32da9c5ad280d0a53a8bc8864adf5716f40f9f024e,none_not_an_independent_external_test
v1_provisional_external_grouped_split_seed42,provisional_pending_v2_human_confirmation,42,5,0,1,train,s15,"[""s15_run"",""s15_sit"",""s15_walk""]","[""run"",""sit"",""walk""]","[""motion"",""static""]",false,43ab3273346469e9f689ce32da9c5ad280d0a53a8bc8864adf5716f40f9f024e,none_not_an_independent_external_test
v1_provisional_external_grouped_split_seed42,provisional_pending_v2_human_confirmation,42,5,0,1,train,s16,"[""s16_run"",""s16_sit"",""s16_walk""]","[""run"",""sit"",""walk""]","[""motion"",""static""]",false,43ab3273346469e9f689ce32da9c5ad280d0a53a8bc8864adf5716f40f9f024e,none_not_an_independent_external_test
v1_provisional_external_grouped_split_seed42,provisional_pending_v2_human_confirmation,42,5,0,1,oof,s17,"[""s17_run"",""s17_sit"",""s17_walk""]","[""run"",""sit"",""walk""]","[""motion"",""static""]",false,43ab3273346469e9f689ce32da9c5ad280d0a53a8bc8864adf5716f40f9f024e,none_not_an_independent_external_test
v1_provisional_external_grouped_split_seed42,provisional_pending_v2_human_confirmation,42,5,0,1,train,s18,"[""s18_run"",""s18_sit"",""s18_walk""]","[""run"",""sit"",""walk""]","[""motion"",""static""]",false,43ab3273346469e9f689ce32da9c5ad280d0a53a8bc8864adf5716f40f9f024e,none_not_an_independent_external_test
v1_provisional_external_grouped_split_seed42,provisional_pending_v2_human_confirmation,42,5,0,1,train,s19,"[""s19_run"",""s19_sit"",""s19_walk""]","[""run"",""sit"",""walk""]","[""motion"",""static""]",false,43ab3273346469e9f689ce32da9c5ad280d0a53a8bc8864adf5716f40f9f024e,none_not_an_independent_external_test
v1_provisional_external_grouped_split_seed42,provisional_pending_v2_human_confirmation,42,5,0,1,oof,s2,"[""s2_run"",""s2_sit"",""s2_walk""]","[""run"",""sit"",""walk""]","[""motion"",""static""]",false,43ab3273346469e9f689ce32da9c5ad280d0a53a8bc8864adf5716f40f9f024e,none_not_an_independent_external_test
v1_provisional_external_grouped_split_seed42,provisional_pending_v2_human_confirmation,42,5,0,1,train,s20,"[""s20_run"",""s20_sit"",""s20_walk""]","[""run"",""sit"",""walk""]","[""motion"",""static""]",false,43ab3273346469e9f689ce32da9c5ad280d0a53a8bc8864adf5716f40f9f024e,none_not_an_independent_external_test
v1_provisional_external_grouped_split_seed42,provisional_pending_v2_human_confirmation,42,5,0,1,train,s21,"[""s21_run"",""s21_sit"",""s21_walk""]","[""run"",""sit"",""walk""]","[""motion"",""static""]",false,43ab3273346469e9f689ce32da9c5ad280d0a53a8bc8864adf5716f40f9f024e,none_not_an_independent_external_test
v1_provisional_external_grouped_split_seed42,provisional_pending_v2_human_confirmation,42,5,0,1,train,s22,"[""s22_run"",""s22_sit"",""s22_walk""]","[""run"",""sit"",""walk""]","[""motion"",""static""]",false,43ab3273346469e9f689ce32da9c5ad280d0a53a8bc8864adf5716f40f9f024e,none_not_an_independent_external_test
v1_provisional_external_grouped_split_seed42,provisional_pending_v2_human_confirmation,42,5,0,1,train,s3,"[""s3_run"",""s3_sit"",""s3_walk""]","[""run"",""sit"",""walk""]","[""motion"",""static""]",false,43ab3273346469e9f689ce32da9c5ad280d0a53a8bc8864adf5716f40f9f024e,none_not_an_independent_external_test
