case_id,balance_line,declared_source_line,resolved_config_balance_line,source_line_provenance,selected_cell_validation,view_role,case_status,quality_weighting,quality_weight_source,resolved_config_path,primary_ranking_eligible,participant_balanced_accuracy_mean_sd,participant_macro_f1_mean_sd,worst_class_recall,worst_class_f1,expected_calibration_error,repeat_worst_class_recall_population_sd,repeat_worst_class_f1_population_sd,repeat_expected_calibration_error_population_sd,repeat_count,participant_oof_prediction_count,participant_oof_total_count,dropped_participant_oof_count,file_oof_prediction_count,retained_file_oof_prediction_count,dropped_file_oof_prediction_count,source_replay_validation,metric_source,line_a_minus_line_b_balanced_accuracy,line_a_minus_line_b_macro_f1
compact_cnn__l0_legacy64_w15_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,declared_source_line,passed,False,none,raw/compact_cnn__l0_legacy64_w15_fixed10/resolved_config.yaml,True,42.6 ± 0.0,41.8 ± 0.0,0.3333333333333333,0.36363636363636365,0.3298864984165619,0.0,0.0,0.0,1,29,29,0,145,145,0,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,file_oof_reaggregation,0.004629629629629595,0.0041279669762641635
compact_cnn__l0_legacy64_w15_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,posthoc_aggregation_only,passed,False,none,raw/compact_cnn__l0_legacy64_w15_fixed10/resolved_config.yaml,False,42.1 ± 0.0,41.4 ± 0.0,0.3333333333333333,0.35294117647058826,0.31472608168097477,0.0,0.0,0.0,1,29,29,0,145,145,0,not_applicable_posthoc_view,file_oof_reaggregation,0.004629629629629595,0.0041279669762641635
compact_cnn__l1_legacy64_w5_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,declared_source_line,passed,False,none,raw/compact_cnn__l1_legacy64_w5_fixed10/resolved_config.yaml,True,45.8 ± 0.0,46.3 ± 0.0,0.3333333333333333,0.375,0.4279509756275411,0.0,0.0,0.0,1,29,29,0,145,145,0,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,file_oof_reaggregation,0.05555555555555558,0.054101849994344864
compact_cnn__l1_legacy64_w5_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,posthoc_aggregation_only,passed,False,none,raw/compact_cnn__l1_legacy64_w5_fixed10/resolved_config.yaml,False,40.3 ± 0.0,40.9 ± 0.0,0.3333333333333333,0.35294117647058826,0.3480688757109989,0.0,0.0,0.0,1,29,29,0,145,145,0,not_applicable_posthoc_view,file_oof_reaggregation,0.05555555555555558,0.054101849994344864
compact_cnn__l2_legacy400_w5_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,declared_source_line,passed,False,none,raw/compact_cnn__l2_legacy400_w5_fixed10/resolved_config.yaml,True,53.2 ± 0.0,54.0 ± 0.0,0.375,0.46153846153846156,0.27423431433332435,0.0,0.0,0.0,1,29,29,0,145,145,0,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,file_oof_reaggregation,0.07870370370370372,0.0906653259594436
compact_cnn__l2_legacy400_w5_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,posthoc_aggregation_only,passed,False,none,raw/compact_cnn__l2_legacy400_w5_fixed10/resolved_config.yaml,False,45.4 ± 0.0,45.0 ± 0.0,0.25,0.3333333333333333,0.2320967047115604,0.0,0.0,0.0,1,29,29,0,145,145,0,not_applicable_posthoc_view,file_oof_reaggregation,0.07870370370370372,0.0906653259594436
compact_cnn__l3_v2_imu_window_scaled_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,declared_source_line,passed,False,none,raw/compact_cnn__l3_v2_imu_window_scaled_fixed10/resolved_config.yaml,True,39.8 ± 0.0,40.8 ± 0.0,0.25,0.36363636363636365,0.305664202780342,0.0,0.0,0.0,1,29,29,0,145,145,0,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,file_oof_reaggregation,0.027777777777777735,0.03995448995448997
compact_cnn__l3_v2_imu_window_scaled_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,posthoc_aggregation_only,passed,False,none,raw/compact_cnn__l3_v2_imu_window_scaled_fixed10/resolved_config.yaml,False,37.0 ± 0.0,36.8 ± 0.0,0.25,0.3076923076923077,0.3624953906357069,0.0,0.0,0.0,1,29,29,0,145,145,0,not_applicable_posthoc_view,file_oof_reaggregation,0.027777777777777735,0.03995448995448997
compact_cnn__l4_v2_imu_fold_scaled_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,declared_source_line,passed,False,none,raw/compact_cnn__l4_v2_imu_fold_scaled_fixed10/resolved_config.yaml,True,29.2 ± 0.0,28.4 ± 0.0,0.125,0.18181818181818182,0.43886590308088164,0.0,0.0,0.0,1,29,29,0,145,145,0,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,file_oof_reaggregation,-0.11111111111111105,-0.08817293817293814
compact_cnn__l4_v2_imu_fold_scaled_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,posthoc_aggregation_only,passed,False,none,raw/compact_cnn__l4_v2_imu_fold_scaled_fixed10/resolved_config.yaml,False,40.3 ± 0.0,37.2 ± 0.0,0.125,0.2,0.3593763453412763,0.0,0.0,0.0,1,29,29,0,145,145,0,not_applicable_posthoc_view,file_oof_reaggregation,-0.11111111111111105,-0.08817293817293814
compact_cnn__l5_uniform_replacement_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,declared_source_line,passed,False,none,raw/compact_cnn__l5_uniform_replacement_fixed10/resolved_config.yaml,True,38.0 ± 0.0,36.8 ± 0.0,0.2222222222222222,0.26666666666666666,0.33567384703729974,0.0,0.0,0.0,1,29,29,0,145,145,0,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,file_oof_reaggregation,-0.07870370370370372,-0.0911850705194358
compact_cnn__l5_uniform_replacement_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,posthoc_aggregation_only,passed,False,none,raw/compact_cnn__l5_uniform_replacement_fixed10/resolved_config.yaml,False,45.8 ± 0.0,45.9 ± 0.0,0.3333333333333333,0.35294117647058826,0.2926177860129693,0.0,0.0,0.0,1,29,29,0,145,145,0,not_applicable_posthoc_view,file_oof_reaggregation,-0.07870370370370372,-0.0911850705194358
compact_cnn__l6_v2_line_b_balance_fixed10,line_a_equal_files,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,posthoc_aggregation_only,passed,False,none,raw/compact_cnn__l6_v2_line_b_balance_fixed10/resolved_config.yaml,False,49.5 ± 0.0,48.8 ± 0.0,0.4166666666666667,0.42105263157894735,0.23273124355107014,0.0,0.0,0.0,1,29,29,0,145,145,0,not_applicable_posthoc_view,file_oof_reaggregation,0.0,-0.0056672866775167585
compact_cnn__l6_v2_line_b_balance_fixed10,line_b_equal_role_families,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_selected_case_result_cell_roster_and_available_provenance,declared_source_line,passed,False,none,raw/compact_cnn__l6_v2_line_b_balance_fixed10/resolved_config.yaml,True,49.5 ± 0.0,49.4 ± 0.0,0.4166666666666667,0.42105263157894735,0.28730769429025244,0.0,0.0,0.0,1,29,29,0,145,145,0,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,file_oof_reaggregation,0.0,-0.0056672866775167585
