case_id,aggregation_view,declared_source_line,resolved_config_balance_line,source_line_provenance,source_replay_validation,evidence_role,quality_weighting,quality_weight_source,primary_ranking_eligible,participant_balanced_accuracy_mean_sd,participant_macro_f1_mean_sd,worst_class_recall,worst_class_f1,repeat_count,participant_oof_prediction_count,metric_source
compact_cnn__l0_legacy64_w15_fixed10,window_balanced_to_participant,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,42.6 ± 0.0,41.8 ± 0.0,0.3333333333333333,0.36363636363636365,1,29,same_fitted_oof_report_reaggregation
compact_cnn__l0_legacy64_w15_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,declared_training_aggregation,False,none,True,42.6 ± 0.0,41.8 ± 0.0,0.3333333333333333,0.36363636363636365,1,29,same_fitted_oof_report_reaggregation
compact_cnn__l0_legacy64_w15_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,42.1 ± 0.0,41.4 ± 0.0,0.3333333333333333,0.35294117647058826,1,29,same_fitted_oof_report_reaggregation
compact_cnn__l1_legacy64_w5_fixed10,window_balanced_to_participant,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,45.8 ± 0.0,46.3 ± 0.0,0.3333333333333333,0.375,1,29,same_fitted_oof_report_reaggregation
compact_cnn__l1_legacy64_w5_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,declared_training_aggregation,False,none,True,45.8 ± 0.0,46.3 ± 0.0,0.3333333333333333,0.375,1,29,same_fitted_oof_report_reaggregation
compact_cnn__l1_legacy64_w5_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,40.3 ± 0.0,40.9 ± 0.0,0.3333333333333333,0.35294117647058826,1,29,same_fitted_oof_report_reaggregation
compact_cnn__l2_legacy400_w5_fixed10,window_balanced_to_participant,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,53.2 ± 0.0,54.0 ± 0.0,0.375,0.46153846153846156,1,29,same_fitted_oof_report_reaggregation
compact_cnn__l2_legacy400_w5_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,declared_training_aggregation,False,none,True,53.2 ± 0.0,54.0 ± 0.0,0.375,0.46153846153846156,1,29,same_fitted_oof_report_reaggregation
compact_cnn__l2_legacy400_w5_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,45.4 ± 0.0,45.0 ± 0.0,0.25,0.3333333333333333,1,29,same_fitted_oof_report_reaggregation
compact_cnn__l3_v2_imu_window_scaled_fixed10,window_balanced_to_participant,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,39.8 ± 0.0,40.8 ± 0.0,0.25,0.36363636363636365,1,29,same_fitted_oof_report_reaggregation
compact_cnn__l3_v2_imu_window_scaled_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,declared_training_aggregation,False,none,True,39.8 ± 0.0,40.8 ± 0.0,0.25,0.36363636363636365,1,29,same_fitted_oof_report_reaggregation
