case_id,aggregation_view,declared_source_line,evidence_role,quality_weighting,quality_weight_source,class_order,class_names,confusion_matrix,metric_source
compact_cnn__l0_legacy64_w15_fixed10,window_balanced_to_participant,line_a_equal_files,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[4, 3, 2], [3, 4, 5], [1, 3, 4]]",pooled_same_fitted_oof_report_reaggregation
compact_cnn__l0_legacy64_w15_fixed10,line_a_equal_files,line_a_equal_files,declared_training_aggregation,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[4, 3, 2], [3, 4, 5], [1, 3, 4]]",pooled_same_fitted_oof_report_reaggregation
compact_cnn__l0_legacy64_w15_fixed10,line_b_equal_role_families,line_a_equal_files,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[5, 2, 2], [4, 4, 4], [1, 4, 3]]",pooled_same_fitted_oof_report_reaggregation
compact_cnn__l1_legacy64_w5_fixed10,window_balanced_to_participant,line_a_equal_files,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[3, 5, 1], [3, 8, 1], [1, 4, 3]]",pooled_same_fitted_oof_report_reaggregation
compact_cnn__l1_legacy64_w5_fixed10,line_a_equal_files,line_a_equal_files,declared_training_aggregation,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[3, 5, 1], [3, 8, 1], [1, 4, 3]]",pooled_same_fitted_oof_report_reaggregation
compact_cnn__l1_legacy64_w5_fixed10,line_b_equal_role_families,line_a_equal_files,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[3, 5, 1], [4, 6, 2], [1, 4, 3]]",pooled_same_fitted_oof_report_reaggregation
compact_cnn__l2_legacy400_w5_fixed10,window_balanced_to_participant,line_a_equal_files,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[5, 3, 1], [3, 8, 1], [0, 5, 3]]",pooled_same_fitted_oof_report_reaggregation
compact_cnn__l2_legacy400_w5_fixed10,line_a_equal_files,line_a_equal_files,declared_training_aggregation,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[5, 3, 1], [3, 8, 1], [0, 5, 3]]",pooled_same_fitted_oof_report_reaggregation
compact_cnn__l2_legacy400_w5_fixed10,line_b_equal_role_families,line_a_equal_files,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[4, 4, 1], [3, 8, 1], [2, 4, 2]]",pooled_same_fitted_oof_report_reaggregation
compact_cnn__l3_v2_imu_window_scaled_fixed10,window_balanced_to_participant,line_a_equal_files,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[4, 5, 0], [6, 6, 0], [3, 3, 2]]",pooled_same_fitted_oof_report_reaggregation
compact_cnn__l3_v2_imu_window_scaled_fixed10,line_a_equal_files,line_a_equal_files,declared_training_aggregation,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[4, 5, 0], [6, 6, 0], [3, 3, 2]]",pooled_same_fitted_oof_report_reaggregation
compact_cnn__l3_v2_imu_window_scaled_fixed10,line_b_equal_role_families,line_a_equal_files,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[4, 4, 1], [5, 5, 2], [3, 3, 2]]",pooled_same_fitted_oof_report_reaggregation
compact_cnn__l4_v2_imu_fold_scaled_fixed10,window_balanced_to_participant,line_a_equal_files,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[3, 4, 2], [7, 5, 0], [2, 5, 1]]",pooled_same_fitted_oof_report_reaggregation
