case_id,repeat,fold,balanced_accuracy,macro_f1,abstention_aware_balanced_accuracy,abstention_aware_macro_precision,abstention_aware_macro_recall,abstention_aware_macro_f1,abstention_count,abstention_counts_by_class,abstention_aware_per_class,abstention_probability_metrics_scope,coverage_rate,expected_calibration_error,confusion_matrix,class_order,per_class,status
inception_full__l0_legacy64_w15_fixed10,0,0,0.5,0.41269841269841273,,,,,,,,,1.0,0.355656019870219,"[[1, 1, 0], [0, 2, 0], [0, 2, 0]]","[0, 1, 2]","[{""f1"": 0.6666666666666666, ""label"": 0, ""precision"": 1.0, ""recall"": 0.5, ""support"": 2}, {""f1"": 0.5714285714285714, ""label"": 1, ""precision"": 0.4, ""recall"": 1.0, ""support"": 2}, {""f1"": 0.0, ""label"": 2, ""precision"": 0.0, ""recall"": 0.0, ""support"": 2}]",passed
inception_full__l0_legacy64_w15_fixed10,0,1,0.5555555555555555,0.43333333333333335,,,,,,,,,1.0,0.17040713559387563,"[[0, 0, 2], [1, 2, 0], [0, 0, 1]]","[0, 1, 2]","[{""f1"": 0.0, ""label"": 0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 2}, {""f1"": 0.8, ""label"": 1, ""precision"": 1.0, ""recall"": 0.6666666666666666, ""support"": 3}, {""f1"": 0.5, ""label"": 2, ""precision"": 0.3333333333333333, ""recall"": 1.0, ""support"": 1}]",passed
inception_full__l0_legacy64_w15_fixed10,0,2,0.5,0.4000000000000001,,,,,,,,,1.0,0.4817316292885959,"[[0, 2, 0], [0, 1, 1], [0, 0, 2]]","[0, 1, 2]","[{""f1"": 0.0, ""label"": 0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 2}, {""f1"": 0.4, ""label"": 1, ""precision"": 0.3333333333333333, ""recall"": 0.5, ""support"": 2}, {""f1"": 0.8, ""label"": 2, ""precision"": 0.6666666666666666, ""recall"": 1.0, ""support"": 2}]",passed
inception_full__l0_legacy64_w15_fixed10,0,3,1.0,1.0,,,,,,,,,1.0,0.2548915336379704,"[[2, 0, 0], [0, 2, 0], [0, 0, 2]]","[0, 1, 2]","[{""f1"": 1.0, ""label"": 0, ""precision"": 1.0, ""recall"": 1.0, ""support"": 2}, {""f1"": 1.0, ""label"": 1, ""precision"": 1.0, ""recall"": 1.0, ""support"": 2}, {""f1"": 1.0, ""label"": 2, ""precision"": 1.0, ""recall"": 1.0, ""support"": 2}]",passed
inception_full__l0_legacy64_w15_fixed10,0,4,0.4444444444444444,0.3,,,,,,,,,1.0,0.42885127764429676,"[[1, 0, 0], [2, 1, 0], [0, 1, 0]]","[0, 1, 2]","[{""f1"": 0.5, ""label"": 0, ""precision"": 0.3333333333333333, ""recall"": 1.0, ""support"": 1}, {""f1"": 0.4, ""label"": 1, ""precision"": 0.5, ""recall"": 0.3333333333333333, ""support"": 3}, {""f1"": 0.0, ""label"": 2, ""precision"": 0.0, ""recall"": 0.0, ""support"": 1}]",passed
compact_cnn__l7_v2_training_bundle_fixed10,0,0,0.5,0.41269841269841273,,,,,,,,,1.0,0.3681416053591827,"[[2, 0, 0], [1, 1, 0], [2, 0, 0]]","[0, 1, 2]","[{""f1"": 0.5714285714285714, ""label"": 0, ""precision"": 0.4, ""recall"": 1.0, ""support"": 2}, {""f1"": 0.6666666666666666, ""label"": 1, ""precision"": 1.0, ""recall"": 0.5, ""support"": 2}, {""f1"": 0.0, ""label"": 2, ""precision"": 0.0, ""recall"": 0.0, ""support"": 2}]",passed
compact_cnn__l7_v2_training_bundle_fixed10,0,1,0.7777777777777777,0.7222222222222222,,,,,,,,,1.0,0.3896623874759998,"[[2, 0, 0], [2, 1, 0], [0, 0, 1]]","[0, 1, 2]","[{""f1"": 0.6666666666666666, ""label"": 0, ""precision"": 0.5, ""recall"": 1.0, ""support"": 2}, {""f1"": 0.5, ""label"": 1, ""precision"": 1.0, ""recall"": 0.3333333333333333, ""support"": 3}, {""f1"": 1.0, ""label"": 2, ""precision"": 1.0, ""recall"": 1.0, ""support"": 1}]",passed
compact_cnn__l7_v2_training_bundle_fixed10,0,2,0.3333333333333333,0.16666666666666666,,,,,,,,,1.0,0.5838495674316562,"[[0, 2, 0], [0, 2, 0], [0, 2, 0]]","[0, 1, 2]","[{""f1"": 0.0, ""label"": 0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 2}, {""f1"": 0.5, ""label"": 1, ""precision"": 0.3333333333333333, ""recall"": 1.0, ""support"": 2}, {""f1"": 0.0, ""label"": 2, ""precision"": 0.0, ""recall"": 0.0, ""support"": 2}]",passed
compact_cnn__l7_v2_training_bundle_fixed10,0,3,0.5,0.41269841269841273,,,,,,,,,1.0,0.24984700017567807,"[[1, 0, 1], [0, 0, 2], [0, 0, 2]]","[0, 1, 2]","[{""f1"": 0.6666666666666666, ""label"": 0, ""precision"": 1.0, ""recall"": 0.5, ""support"": 2}, {""f1"": 0.0, ""label"": 1, ""precision"": 0.0, ""recall"": 0.0, ""support"": 2}, {""f1"": 0.5714285714285714, ""label"": 2, ""precision"": 0.4, ""recall"": 1.0, ""support"": 2}]",passed
compact_cnn__l7_v2_training_bundle_fixed10,0,4,0.6666666666666666,0.4666666666666666,,,,,,,,,1.0,0.6388154260497498,"[[1, 0, 0], [3, 0, 0], [0, 0, 1]]","[0, 1, 2]","[{""f1"": 0.4, ""label"": 0, ""precision"": 0.25, ""recall"": 1.0, ""support"": 1}, {""f1"": 0.0, ""label"": 1, ""precision"": 0.0, ""recall"": 0.0, ""support"": 3}, {""f1"": 1.0, ""label"": 2, ""precision"": 1.0, ""recall"": 1.0, ""support"": 1}]",passed
