case_id,repeat,class_label,class_name,precision,recall,specificity,balanced_accuracy_ovr,f1,roc_auc_ovr,pr_auc_ovr,support
inception_full__l0_legacy64_w15_fixed10,,0,Pre-Frail,0.5714285714285714,0.4444444444444444,0.85,0.6472222222222221,0.5,0.6888888888888889,0.5701644424451442,9
inception_full__l0_legacy64_w15_fixed10,,1,Robust/Non-Frail,0.5714285714285714,0.6666666666666666,0.6470588235294118,0.6568627450980392,0.6153846153846154,0.6176470588235294,0.5560475404225405,12
inception_full__l0_legacy64_w15_fixed10,,2,Young,0.625,0.625,0.8571428571428571,0.7410714285714286,0.625,0.7857142857142857,0.724115515771526,8
compact_cnn__l7_v2_training_bundle_fixed10,,0,Pre-Frail,0.42857142857142855,0.6666666666666666,0.6,0.6333333333333333,0.5217391304347826,0.6444444444444444,0.4013411052884737,9
compact_cnn__l7_v2_training_bundle_fixed10,,1,Robust/Non-Frail,0.5,0.3333333333333333,0.7647058823529411,0.5490196078431372,0.4,0.4313725490196078,0.5077656700485959,12
compact_cnn__l7_v2_training_bundle_fixed10,,2,Young,0.5714285714285714,0.5,0.8571428571428571,0.6785714285714286,0.5333333333333333,0.7321428571428571,0.5528532608695652,8
compact_cnn__l5_uniform_replacement_fixed10,,0,Pre-Frail,0.3333333333333333,0.2222222222222222,0.8,0.5111111111111111,0.26666666666666666,0.6277777777777778,0.3821766740884388,9
compact_cnn__l5_uniform_replacement_fixed10,,1,Robust/Non-Frail,0.4166666666666667,0.4166666666666667,0.5882352941176471,0.5024509803921569,0.4166666666666667,0.48529411764705876,0.5787834387589657,12
compact_cnn__l5_uniform_replacement_fixed10,,2,Young,0.36363636363636365,0.5,0.6666666666666666,0.5833333333333333,0.42105263157894735,0.6785714285714286,0.5788122002795916,8
compact_cnn__l6_v2_line_b_balance_fixed10,,0,Pre-Frail,0.4,0.4444444444444444,0.7,0.5722222222222222,0.42105263157894735,0.6777777777777778,0.41426398487801996,9
compact_cnn__l6_v2_line_b_balance_fixed10,,1,Robust/Non-Frail,0.45454545454545453,0.4166666666666667,0.6470588235294118,0.5318627450980392,0.43478260869565216,0.4705882352941176,0.5018628685979415,12
compact_cnn__l6_v2_line_b_balance_fixed10,,2,Young,0.625,0.625,0.8571428571428571,0.7410714285714286,0.625,0.7678571428571428,0.5894108005521049,8
compact_cnn__l4_v2_imu_fold_scaled_fixed10,,0,Pre-Frail,0.25,0.3333333333333333,0.55,0.44166666666666665,0.2857142857142857,0.5666666666666667,0.351550761124728,9
compact_cnn__l4_v2_imu_fold_scaled_fixed10,,1,Robust/Non-Frail,0.35714285714285715,0.4166666666666667,0.47058823529411764,0.44362745098039214,0.38461538461538464,0.4362745098039215,0.450160104341895,12
compact_cnn__l4_v2_imu_fold_scaled_fixed10,,2,Young,0.3333333333333333,0.125,0.9047619047619048,0.5148809523809523,0.18181818181818182,0.636904761904762,0.47410205535205535,8
compact_cnn__l3_v2_imu_window_scaled_fixed10,,0,Pre-Frail,0.3076923076923077,0.4444444444444444,0.55,0.49722222222222223,0.36363636363636365,0.6055555555555556,0.5446590732968442,9
compact_cnn__l3_v2_imu_window_scaled_fixed10,,1,Robust/Non-Frail,0.42857142857142855,0.5,0.5294117647058824,0.5147058823529411,0.46153846153846156,0.5490196078431373,0.4614310501017158,12
compact_cnn__l3_v2_imu_window_scaled_fixed10,,2,Young,1.0,0.25,1.0,0.625,0.4,0.7202380952380952,0.6444128787878788,8
compact_cnn__l2_legacy400_w5_fixed10,,0,Pre-Frail,0.625,0.5555555555555556,0.85,0.7027777777777777,0.5882352941176471,0.7777777777777778,0.7138187429854097,9
compact_cnn__l2_legacy400_w5_fixed10,,1,Robust/Non-Frail,0.5,0.6666666666666666,0.5294117647058824,0.5980392156862745,0.5714285714285714,0.5980392156862745,0.5711966840685376,12
compact_cnn__l2_legacy400_w5_fixed10,,2,Young,0.6,0.375,0.9047619047619048,0.6398809523809523,0.46153846153846156,0.7142857142857142,0.557858187134503,8
compact_cnn__l1_legacy64_w5_fixed10,,0,Pre-Frail,0.42857142857142855,0.3333333333333333,0.8,0.5666666666666667,0.375,0.6611111111111111,0.6017822333611808,9
compact_cnn__l1_legacy64_w5_fixed10,,1,Robust/Non-Frail,0.47058823529411764,0.6666666666666666,0.47058823529411764,0.5686274509803921,0.5517241379310345,0.5735294117647058,0.472830682389506,12
compact_cnn__l1_legacy64_w5_fixed10,,2,Young,0.6,0.375,0.9047619047619048,0.6398809523809523,0.46153846153846156,0.8154761904761905,0.7105925324675324,8
compact_cnn__l0_legacy64_w15_fixed10,,0,Pre-Frail,0.5,0.4444444444444444,0.8,0.6222222222222222,0.47058823529411764,0.6777777777777777,0.6275903109236443,9
compact_cnn__l0_legacy64_w15_fixed10,,1,Robust/Non-Frail,0.4,0.3333333333333333,0.6470588235294118,0.4901960784313726,0.36363636363636365,0.5,0.45215597253330325,12
compact_cnn__l0_legacy64_w15_fixed10,,2,Young,0.36363636363636365,0.5,0.6666666666666666,0.5833333333333333,0.42105263157894735,0.7023809523809523,0.45068473193473196,8
