case_id,role,route_state,signal_route,quality_tier,motion_state,record_count,retained_record_count,retained_coverage,direct_rate_record_count,processed_rate_record_count,dropped_record_count,abstention_count,abstention_rate,abstention_reasons,mean_motion_record_probability,mean_motion_threshold,mean_motion_window_count,motion_evidence_sha256,motion_model_artifact_sha256,motion_training_scope,motion_frailty29_relation,auxiliary_motion_evidence_valid_outer_oof,direct_q_rate_states,direct_q_morph_states,post_q_rate_states,mean_direct_q_rate_score,mean_direct_q_rate_coverage,mean_direct_q_morph_score,mean_direct_q_morph_coverage,mean_post_q_rate_score,mean_post_q_rate_coverage,denoiser_attempt_count,denoiser_success_count,denoiser_ids,denoiser_statuses,mean_unavailable_predictor_count,unavailable_predictor_rate,reducer_failure_count,reducer_failure_rate,role_oof_prediction_count,retained_role_oof_prediction_count
compact_cnn__l0_legacy64_w15_fixed10,B,direct_fresh_raw_csv,not_reported,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l0_legacy64_w15_fixed10,R1,direct_fresh_raw_csv,not_reported,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l0_legacy64_w15_fixed10,R2,direct_fresh_raw_csv,not_reported,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l0_legacy64_w15_fixed10,R3,direct_fresh_raw_csv,not_reported,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l0_legacy64_w15_fixed10,R4,direct_fresh_raw_csv,not_reported,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l1_legacy64_w5_fixed10,B,direct_fresh_raw_csv,not_reported,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l1_legacy64_w5_fixed10,R1,direct_fresh_raw_csv,not_reported,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l1_legacy64_w5_fixed10,R2,direct_fresh_raw_csv,not_reported,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l1_legacy64_w5_fixed10,R3,direct_fresh_raw_csv,not_reported,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l1_legacy64_w5_fixed10,R4,direct_fresh_raw_csv,not_reported,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l2_legacy400_w5_fixed10,B,direct_fresh_raw_csv,not_reported,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l2_legacy400_w5_fixed10,R1,direct_fresh_raw_csv,not_reported,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l2_legacy400_w5_fixed10,R2,direct_fresh_raw_csv,not_reported,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l2_legacy400_w5_fixed10,R3,direct_fresh_raw_csv,not_reported,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l2_legacy400_w5_fixed10,R4,direct_fresh_raw_csv,not_reported,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l3_v2_imu_window_scaled_fixed10,B,reference_direct_quality_nonrouting,direct_x_filter,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l3_v2_imu_window_scaled_fixed10,R1,reference_direct_quality_nonrouting,direct_x_filter,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l3_v2_imu_window_scaled_fixed10,R2,reference_direct_quality_nonrouting,direct_x_filter,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l3_v2_imu_window_scaled_fixed10,R3,reference_direct_quality_nonrouting,direct_x_filter,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l3_v2_imu_window_scaled_fixed10,R4,reference_direct_quality_nonrouting,direct_x_filter,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,B,reference_direct_quality_nonrouting,direct_x_filter,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,R1,reference_direct_quality_nonrouting,direct_x_filter,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,R2,reference_direct_quality_nonrouting,direct_x_filter,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,R3,reference_direct_quality_nonrouting,direct_x_filter,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l4_v2_imu_fold_scaled_fixed10,R4,reference_direct_quality_nonrouting,direct_x_filter,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l5_uniform_replacement_fixed10,B,reference_direct_quality_nonrouting,direct_x_filter,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l5_uniform_replacement_fixed10,R1,reference_direct_quality_nonrouting,direct_x_filter,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l5_uniform_replacement_fixed10,R2,reference_direct_quality_nonrouting,direct_x_filter,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l5_uniform_replacement_fixed10,R3,reference_direct_quality_nonrouting,direct_x_filter,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l5_uniform_replacement_fixed10,R4,reference_direct_quality_nonrouting,direct_x_filter,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l6_v2_line_b_balance_fixed10,B,reference_direct_quality_nonrouting,direct_x_filter,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,29,29
compact_cnn__l6_v2_line_b_balance_fixed10,R1,reference_direct_quality_nonrouting,direct_x_filter,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l6_v2_line_b_balance_fixed10,R2,reference_direct_quality_nonrouting,direct_x_filter,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l6_v2_line_b_balance_fixed10,R3,reference_direct_quality_nonrouting,direct_x_filter,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l6_v2_line_b_balance_fixed10,R4,reference_direct_quality_nonrouting,direct_x_filter,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l7_v2_training_bundle_fixed10,B,reference_direct_quality_nonrouting,direct_x_filter,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,29,29
compact_cnn__l7_v2_training_bundle_fixed10,R1,reference_direct_quality_nonrouting,direct_x_filter,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l7_v2_training_bundle_fixed10,R2,reference_direct_quality_nonrouting,direct_x_filter,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l7_v2_training_bundle_fixed10,R3,reference_direct_quality_nonrouting,direct_x_filter,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
compact_cnn__l7_v2_training_bundle_fixed10,R4,reference_direct_quality_nonrouting,direct_x_filter,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
inception_full__l0_legacy64_w15_fixed10,B,direct_fresh_raw_csv,not_reported,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
inception_full__l0_legacy64_w15_fixed10,R1,direct_fresh_raw_csv,not_reported,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
inception_full__l0_legacy64_w15_fixed10,R2,direct_fresh_raw_csv,not_reported,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
inception_full__l0_legacy64_w15_fixed10,R3,direct_fresh_raw_csv,not_reported,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
inception_full__l0_legacy64_w15_fixed10,R4,direct_fresh_raw_csv,not_reported,not_reported,not_reported,145,145,1.0,0,0,0,0,0.0,not_reported,,,,not_reported,not_reported,not_reported,not_reported,,not_reported,not_reported,not_reported,,,,,,,0,0,not_reported,not_reported,,,0,0.0,0,0
