algorithm_or_reducer,activity_group,channel,participant_count,segment_count,participant_macro_f1_mean_sd,participant_macro_sensitivity_mean_sd,participant_macro_positive_predictive_value_mean_sd,participant_macro_ibi_ppi_rmse_ms_mean_sd,total_runtime_s
fastica_bss,dynamic,IR,22,737,93.9 ± 5.0,95.3 ± 4.7,93.0 ± 6.7,67.4 ± 41.1,40.09302868420491
fastica_bss,dynamic,RED,22,737,93.9 ± 5.0,95.3 ± 4.7,93.0 ± 6.7,67.4 ± 41.1,43.63078828676953
pca_bss,dynamic,IR,22,751,93.7 ± 5.3,95.3 ± 4.6,92.7 ± 7.4,67.5 ± 44.5,7.603510026005097
pca_bss,dynamic,RED,22,751,93.7 ± 5.3,95.3 ± 4.6,92.7 ± 7.4,67.5 ± 44.5,7.4955676170066
spectral_mask,dynamic,IR,22,751,91.2 ± 8.3,91.3 ± 9.5,92.0 ± 8.4,69.2 ± 48.1,13.222159230994293
ssa_decomposition,dynamic,IR,22,751,91.5 ± 8.1,92.0 ± 8.3,92.0 ± 8.9,69.7 ± 51.5,591.6462247618765
identity,dynamic,IR,22,751,91.2 ± 8.0,92.6 ± 7.5,90.7 ± 9.6,72.8 ± 51.6,4.492284417792689
spectral_mask,dynamic,RED,22,751,90.9 ± 8.0,91.1 ± 8.5,91.6 ± 8.6,75.5 ± 46.2,13.132793734839652
ssa_decomposition,dynamic,RED,22,751,91.3 ± 7.9,92.0 ± 7.6,91.5 ± 9.2,77.8 ± 50.0,592.686557966721
identity,dynamic,RED,22,751,90.6 ± 7.7,92.4 ± 6.8,89.7 ± 9.9,82.4 ± 49.0,5.350722207513172
nmf_bss,dynamic,IR,22,601,87.0 ± 9.8,82.8 ± 12.6,93.9 ± 6.7,88.4 ± 45.1,32.477830630145036
nmf_bss,dynamic,RED,22,601,86.2 ± 9.1,81.9 ± 11.6,93.3 ± 6.8,92.8 ± 43.6,36.96187475317856
nlms_imu_anc,dynamic,IR,22,751,80.4 ± 5.5,92.8 ± 3.0,71.5 ± 8.8,146.9 ± 20.4,120.18929596318048
nlms_imu_anc,dynamic,RED,22,751,80.1 ± 5.4,92.4 ± 2.8,71.4 ± 8.7,147.5 ± 18.5,120.2043094743276
