denoiser,IR/RED,RMSE ± SD (ms),F1 ± SD (%),RMSE P versus identity
spectral_mask*,IR,21.1 ± 11.0*,97.7 ± 6.9,0.0092
ssa_decomposition*,IR,22.3 ± 14.0,97.7 ± 6.8*,0.0032
identity,IR,28.6 ± 21.4,97.3 ± 7.1,Reference
spectral_mask,RED,31.5 ± 30.8,96.8 ± 7.0,0.0005
ssa_decomposition,RED,33.9 ± 34.1,96.6 ± 7.2,0.0143
pca_bss,IR,34.4 ± 26.9,97.1 ± 7.1,0.0312
pca_bss,RED,34.4 ± 26.9,97.1 ± 7.1,0.4628
fastica_bss,IR,34.8 ± 20.5,96.7 ± 6.9,0.2271
fastica_bss,RED,34.8 ± 20.5,96.7 ± 6.9,0.5337
identity,RED,40.0 ± 37.0,96.3 ± 7.1,Reference
nmf_bss,IR,51.7 ± 22.5,96.9 ± 5.3,0.0006
nmf_bss,RED,58.8 ± 30.4,95.8 ± 6.4,0.0014
nlms_imu_anc,IR,119.1 ± 17.7,82.1 ± 6.7,6.00e-05
nlms_imu_anc,RED,121.6 ± 19.9,81.3 ± 6.5,6.00e-05
