denoiser,activity,channel,metric,mean_sd,participant_bootstrap_ci95,holm_p_vs_reference
ssa_decomposition*,static,IR,Beat F1,97.7 ± 6.8,"[94.8, 99.3]",0.0167
spectral_mask,static,IR,Beat F1,97.7 ± 6.9,"[94.7, 99.3]",0.2250
identity,static,IR,Beat F1,97.3 ± 7.1,"[94.2, 99.1]",Reference
pca_bss,static,IR,Beat F1,97.1 ± 7.1,"[94.0, 99.0]",0.2250
nmf_bss,static,IR,Beat F1,96.9 ± 5.3,"[94.4, 98.5]",0.5556
fastica_bss,static,IR,Beat F1,96.7 ± 6.9,"[93.6, 98.8]",0.2250
nlms_imu_anc,static,IR,Beat F1,82.1 ± 6.7,"[79.4, 84.8]",0.0005
fastica_bss*,dynamic,IR,Beat F1,93.8 ± 5.0,"[91.8, 95.8]",0.0145
pca_bss,dynamic,IR,Beat F1,93.7 ± 5.3,"[91.5, 95.8]",0.0176
ssa_decomposition,dynamic,IR,Beat F1,91.7 ± 8.0,"[88.3, 94.8]",0.4097
spectral_mask,dynamic,IR,Beat F1,91.4 ± 8.1,"[88.0, 94.6]",0.7825
identity,dynamic,IR,Beat F1,91.3 ± 8.0,"[87.9, 94.5]",Reference
nmf_bss,dynamic,IR,Beat F1,87.6 ± 9.2,"[83.8, 91.3]",0.0145
nlms_imu_anc,dynamic,IR,Beat F1,80.4 ± 5.5,"[78.1, 82.6]",6.00e-05
pca_bss*,static,RED,Beat F1,97.1 ± 7.1,"[94.0, 99.0]",0.4226
spectral_mask,static,RED,Beat F1,96.8 ± 7.0,"[93.6, 98.9]",0.3613
fastica_bss,static,RED,Beat F1,96.7 ± 6.9,"[93.6, 98.8]",1.0000
ssa_decomposition,static,RED,Beat F1,96.6 ± 7.2,"[93.3, 98.9]",0.4321
identity,static,RED,Beat F1,96.3 ± 7.1,"[93.0, 98.6]",Reference
nmf_bss,static,RED,Beat F1,95.8 ± 6.4,"[92.9, 98.1]",1.0000
nlms_imu_anc,static,RED,Beat F1,81.3 ± 6.5,"[78.7, 84.0]",0.0005
fastica_bss*,dynamic,RED,Beat F1,93.8 ± 5.0,"[91.8, 95.8]",0.0023
