algorithm_or_reducer,activity_group,channel,participant_count,segment_count,participant_macro_f1_mean_sd,participant_macro_sensitivity_mean_sd,participant_macro_positive_predictive_value_mean_sd,participant_macro_ibi_ppi_rmse_ms_mean_sd,total_runtime_s
spectral_mask,static,IR,22,374,97.7 ± 6.9,96.5 ± 10.3,99.6 ± 0.5,18.2 ± 8.7,6.500877291982761
ssa_decomposition,static,IR,22,374,97.7 ± 6.8,96.7 ± 10.2,99.5 ± 0.6,18.6 ± 10.8,266.30248239348293
identity,static,IR,22,374,97.3 ± 7.1,96.6 ± 10.6,98.9 ± 1.4,23.2 ± 18.5,2.2274842029146384
fastica_bss,static,IR,22,369,96.8 ± 7.0,96.6 ± 10.1,97.9 ± 3.9,27.2 ± 16.5,18.84819169290131
fastica_bss,static,RED,22,369,96.8 ± 7.0,96.6 ± 10.1,97.9 ± 3.9,27.2 ± 16.5,20.51904248923529
pca_bss,static,IR,22,374,97.1 ± 7.2,96.5 ± 10.6,98.7 ± 1.7,28.0 ± 23.3,3.7725818907492794
pca_bss,static,RED,22,374,97.1 ± 7.2,96.5 ± 10.6,98.7 ± 1.7,28.0 ± 23.3,3.7287172988289967
spectral_mask,static,RED,22,374,96.8 ± 7.1,95.6 ± 10.4,98.9 ± 1.7,28.6 ± 28.8,6.440570392063819
ssa_decomposition,static,RED,22,374,96.7 ± 7.3,96.2 ± 10.4,98.0 ± 3.8,30.1 ± 32.0,266.9099279947113
identity,static,RED,22,374,96.3 ± 7.2,96.2 ± 10.3,97.4 ± 4.3,33.5 ± 35.1,2.710017995617818
nmf_bss,static,IR,22,269,96.8 ± 5.5,94.6 ± 8.7,99.8 ± 0.3,48.3 ± 21.5,14.55365346459439
nmf_bss,static,RED,22,269,95.7 ± 6.6,93.3 ± 10.0,99.1 ± 1.7,55.5 ± 30.6,16.628913053049473
nlms_imu_anc,static,IR,22,374,82.2 ± 6.6,96.3 ± 1.8,72.3 ± 9.8,117.5 ± 17.9,59.10460113658337
nlms_imu_anc,static,RED,22,374,81.4 ± 6.5,95.6 ± 2.4,71.4 ± 9.5,120.0 ± 20.4,59.10864083317574
