model_id,dataset,evaluation_scope,aggregation_level,activity_class,observation_count,score_mean_sd,score_q05,score_q25,score_median,score_q75,score_q95,threshold_min,threshold_median,threshold_max
frailty29_trained_motion_detector,frailty29_outer_oof,source_grouped_oof,window,static,21267,0.0 ± 0.2,8.109686007173876e-08,3.1821092534300988e-06,2.095194395224098e-05,0.0001479198326705955,0.3979288727045061,0.49997879181262306,0.5000018200076966,0.5000324625107169
frailty29_trained_motion_detector,frailty29_outer_oof,source_grouped_oof,window,motion,518,0.9 ± 0.2,0.42609756588935865,0.9995575249195099,0.9999778270721436,0.9999986588954926,0.9999998807907104,0.49997879181262306,0.5000018200076966,0.5000324625107169
frailty29_trained_motion_detector,frailty29_trained_to_ptt22,frozen_cross_dataset,window,static,5331,0.0 ± 0.0,9.923241250930914e-08,2.2013286127275933e-07,1.7563437495482503e-06,8.751405857765349e-06,3.21764327964047e-05,0.5000013668013708,0.5000013668013708,0.5000013668013708
frailty29_trained_motion_detector,frailty29_trained_to_ptt22,frozen_cross_dataset,window,motion,10652,0.6 ± 0.5,0.00019640521059045572,0.01053533423691988,0.9252685606479645,1.0,1.0,0.5000013668013708,0.5000013668013708,0.5000013668013708
ptt22_trained_motion_detector,ptt22_outer_oof,source_grouped_oof,window,static,5331,0.0 ± 0.0,9.55643088218494e-07,1.2572786545206327e-06,1.5586545032419963e-06,1.6185130107260193e-06,1.9764518128795316e-06,0.49999887061528625,0.4999993171546748,0.49999965287139503
ptt22_trained_motion_detector,ptt22_outer_oof,source_grouped_oof,window,motion,10652,1.0 ± 0.0,0.9999960660934448,0.999996542930603,0.9999974966049194,0.999997615814209,0.9999977350234985,0.49999887061528625,0.4999993171546748,0.49999965287139503
ptt22_trained_motion_detector,ptt22_trained_to_frailty29,frozen_cross_dataset,window,static,21267,1.0 ± 0.0,0.999998927116394,0.9999990463256836,0.9999990463256836,0.9999990463256836,0.9999990463256836,0.49999955763877324,0.49999955763877324,0.49999955763877324
ptt22_trained_motion_detector,ptt22_trained_to_frailty29,frozen_cross_dataset,window,motion,518,1.0 ± 0.0,0.9999990463256836,0.9999990463256836,0.9999990463256836,0.9999990463256836,0.9999991655349731,0.49999955763877324,0.49999955763877324,0.49999955763877324
frailty29_trained_motion_detector,frailty29_outer_oof,source_grouped_oof,file,static,145,0.0 ± 0.2,9.075461946395081e-08,3.058312358916737e-06,2.2327052647597156e-05,0.00011109552724519745,0.01998627949506026,0.49997879181262306,0.5000018200076966,0.5000324625107169
frailty29_trained_motion_detector,frailty29_outer_oof,source_grouped_oof,file,motion,111,1.0 ± 0.2,0.8126332461833954,0.9997336715459824,0.9999836683273315,0.9999990463256836,0.9999997615814209,0.49997879181262306,0.5000018200076966,0.5000324625107169
frailty29_trained_motion_detector,frailty29_trained_to_ptt22,frozen_cross_dataset,file,static,22,0.0 ± 0.0,1.0106698695722116e-07,2.597819026561865e-07,2.2157479406814673e-06,8.147714197548339e-06,1.7243718571080535e-05,0.5000013668013708,0.5000013668013708,0.5000013668013708
frailty29_trained_motion_detector,frailty29_trained_to_ptt22,frozen_cross_dataset,file,motion,44,0.6 ± 0.5,0.0003803259322012308,0.013295510783791542,0.8985895961523056,1.0,1.0,0.5000013668013708,0.5000013668013708,0.5000013668013708
ptt22_trained_motion_detector,ptt22_outer_oof,source_grouped_oof,file,static,22,0.0 ± 0.0,9.584258151562608e-07,1.2590769387088585e-06,1.5590679822707898e-06,1.584974469892586e-06,1.972552115603321e-06,0.49999887061528625,0.4999993171546748,0.49999965287139503
ptt22_trained_motion_detector,ptt22_outer_oof,source_grouped_oof,file,motion,44,1.0 ± 0.0,0.9999961853027344,0.999996542930603,0.9999975562095642,0.999997615814209,0.9999977350234985,0.49999887061528625,0.4999993171546748,0.49999965287139503
ptt22_trained_motion_detector,ptt22_trained_to_frailty29,frozen_cross_dataset,file,static,145,1.0 ± 0.0,0.9999990463256836,0.9999990463256836,0.9999990463256836,0.9999990463256836,0.9999990463256836,0.49999955763877324,0.49999955763877324,0.49999955763877324
ptt22_trained_motion_detector,ptt22_trained_to_frailty29,frozen_cross_dataset,file,motion,111,1.0 ± 0.0,0.9999990463256836,0.9999990463256836,0.9999990463256836,0.9999990463256836,0.9999991655349731,0.49999955763877324,0.49999955763877324,0.49999955763877324
