model_id,evaluation,level,metric,participant_macro_mean_sd,participant_bootstrap_ci95,holm_p_vs_reference
frailty29_trained_motion_detector,frailty29_trained_to_ptt22 (frozen_cross_dataset),file,Balanced accuracy,78.4 ± 16.0,"[71.6, 85.2]",Reference
frailty29_trained_motion_detector,frailty29_trained_to_ptt22 (frozen_cross_dataset),file,Macro-F1,70.1 ± 23.5,"[60.2, 79.5]",Reference
frailty29_trained_motion_detector,frailty29_trained_to_ptt22 (frozen_cross_dataset),file,Sensitivity,56.8 ± 32.0,"[43.2, 70.5]",Reference
frailty29_trained_motion_detector,frailty29_trained_to_ptt22 (frozen_cross_dataset),file,Specificity,100.0 ± 0.0,"[100.0, 100.0]",Reference
frailty29_trained_motion_detector,frailty29_trained_to_ptt22 (frozen_cross_dataset),file,ROC-AUC,100.0 ± 0.0,"[100.0, 100.0]",Reference
frailty29_trained_motion_detector,frailty29_trained_to_ptt22 (frozen_cross_dataset),file,PR-AUC,100.0 ± 0.0,"[100.0, 100.0]",Reference
frailty29_trained_motion_detector,frailty29_trained_to_ptt22 (frozen_cross_dataset),window,Balanced accuracy,78.9 ± 12.9,"[73.5, 84.2]",Reference
frailty29_trained_motion_detector,frailty29_trained_to_ptt22 (frozen_cross_dataset),window,Macro-F1,71.2 ± 18.3,"[63.5, 78.5]",Reference
frailty29_trained_motion_detector,frailty29_trained_to_ptt22 (frozen_cross_dataset),window,Sensitivity,57.7 ± 25.9,"[47.0, 68.3]",Reference
frailty29_trained_motion_detector,frailty29_trained_to_ptt22 (frozen_cross_dataset),window,Specificity,100.0 ± 0.0,"[100.0, 100.0]",Reference
frailty29_trained_motion_detector,frailty29_trained_to_ptt22 (frozen_cross_dataset),window,ROC-AUC,100.0 ± 0.0,"[100.0, 100.0]",Reference
frailty29_trained_motion_detector,frailty29_trained_to_ptt22 (frozen_cross_dataset),window,PR-AUC,100.0 ± 0.0,"[100.0, 100.0]",Reference
ptt22_trained_motion_detector,ptt22_trained_to_frailty29 (frozen_cross_dataset),file,Balanced accuracy,50.0 ± 0.0,"[50.0, 50.0]",6.00e-05
ptt22_trained_motion_detector,ptt22_trained_to_frailty29 (frozen_cross_dataset),file,Macro-F1,30.1 ± 1.9,"[29.3, 30.6]",6.00e-05
ptt22_trained_motion_detector,ptt22_trained_to_frailty29 (frozen_cross_dataset),file,Sensitivity,100.0 ± 0.0,"[100.0, 100.0]",0.1284
ptt22_trained_motion_detector,ptt22_trained_to_frailty29 (frozen_cross_dataset),file,Specificity,0.0 ± 0.0,"[0.0, 0.0]",6.00e-05
ptt22_trained_motion_detector,ptt22_trained_to_frailty29 (frozen_cross_dataset),file,ROC-AUC,56.7 ± 12.3,"[52.7, 61.3]",6.00e-05
ptt22_trained_motion_detector,ptt22_trained_to_frailty29 (frozen_cross_dataset),file,PR-AUC,50.8 ± 12.6,"[46.5, 55.5]",6.00e-05
ptt22_trained_motion_detector,ptt22_trained_to_frailty29 (frozen_cross_dataset),window,Balanced accuracy,50.0 ± 0.0,"[50.0, 50.0]",6.00e-05
ptt22_trained_motion_detector,ptt22_trained_to_frailty29 (frozen_cross_dataset),window,Macro-F1,2.3 ± 0.8,"[2.0, 2.6]",6.00e-05
ptt22_trained_motion_detector,ptt22_trained_to_frailty29 (frozen_cross_dataset),window,Sensitivity,100.0 ± 0.0,"[100.0, 100.0]",0.0166
ptt22_trained_motion_detector,ptt22_trained_to_frailty29 (frozen_cross_dataset),window,Specificity,0.0 ± 0.0,"[0.0, 0.0]",6.00e-05
ptt22_trained_motion_detector,ptt22_trained_to_frailty29 (frozen_cross_dataset),window,ROC-AUC,56.6 ± 10.0,"[53.2, 60.3]",6.00e-05
ptt22_trained_motion_detector,ptt22_trained_to_frailty29 (frozen_cross_dataset),window,PR-AUC,9.5 ± 11.9,"[5.7, 14.2]",6.00e-05
