model_id,evaluation,level,metric,participant_macro_mean_sd,participant_bootstrap_ci95,holm_p_vs_reference
frailty29_trained_motion_detector,frailty29_outer_oof (source_grouped_oof),file,Balanced accuracy,96.9 ± 9.2,"[93.2, 99.6]",Reference
frailty29_trained_motion_detector,frailty29_outer_oof (source_grouped_oof),file,Macro-F1,96.9 ± 9.5,"[93.0, 99.6]",Reference
frailty29_trained_motion_detector,frailty29_outer_oof (source_grouped_oof),file,Sensitivity,96.6 ± 8.8,"[93.1, 99.1]",Reference
frailty29_trained_motion_detector,frailty29_outer_oof (source_grouped_oof),file,Specificity,97.2 ± 11.6,"[92.4, 100.0]",Reference
frailty29_trained_motion_detector,frailty29_outer_oof (source_grouped_oof),file,ROC-AUC,97.2 ± 12.1,"[92.4, 100.0]",Reference
frailty29_trained_motion_detector,frailty29_outer_oof (source_grouped_oof),file,PR-AUC,97.4 ± 11.0,"[93.0, 100.0]",Reference
frailty29_trained_motion_detector,frailty29_outer_oof (source_grouped_oof),window,Balanced accuracy,95.3 ± 10.7,"[90.8, 98.3]",Reference
frailty29_trained_motion_detector,frailty29_outer_oof (source_grouped_oof),window,Macro-F1,86.0 ± 18.5,"[79.0, 92.1]",Reference
frailty29_trained_motion_detector,frailty29_outer_oof (source_grouped_oof),window,Sensitivity,95.3 ± 11.4,"[90.8, 98.9]",Reference
frailty29_trained_motion_detector,frailty29_outer_oof (source_grouped_oof),window,Specificity,95.2 ± 12.0,"[90.2, 98.6]",Reference
frailty29_trained_motion_detector,frailty29_outer_oof (source_grouped_oof),window,ROC-AUC,97.1 ± 12.6,"[92.1, 99.9]",Reference
frailty29_trained_motion_detector,frailty29_outer_oof (source_grouped_oof),window,PR-AUC,89.8 ± 22.2,"[81.0, 96.4]",Reference
ptt22_trained_motion_detector,ptt22_outer_oof (source_grouped_oof),file,Balanced accuracy,100.0 ± 0.0,"[100.0, 100.0]",0.0004
ptt22_trained_motion_detector,ptt22_outer_oof (source_grouped_oof),file,Macro-F1,100.0 ± 0.0,"[100.0, 100.0]",0.0004
ptt22_trained_motion_detector,ptt22_outer_oof (source_grouped_oof),file,Sensitivity,100.0 ± 0.0,"[100.0, 100.0]",0.0004
ptt22_trained_motion_detector,ptt22_outer_oof (source_grouped_oof),file,Specificity,100.0 ± 0.0,"[100.0, 100.0]",1.0000
ptt22_trained_motion_detector,ptt22_outer_oof (source_grouped_oof),file,ROC-AUC,100.0 ± 0.0,"[100.0, 100.0]",1.0000
ptt22_trained_motion_detector,ptt22_outer_oof (source_grouped_oof),file,PR-AUC,100.0 ± 0.0,"[100.0, 100.0]",1.0000
ptt22_trained_motion_detector,ptt22_outer_oof (source_grouped_oof),window,Balanced accuracy,100.0 ± 0.0,"[100.0, 100.0]",6.00e-05
ptt22_trained_motion_detector,ptt22_outer_oof (source_grouped_oof),window,Macro-F1,100.0 ± 0.0,"[100.0, 100.0]",6.00e-05
ptt22_trained_motion_detector,ptt22_outer_oof (source_grouped_oof),window,Sensitivity,100.0 ± 0.0,"[100.0, 100.0]",6.00e-05
ptt22_trained_motion_detector,ptt22_outer_oof (source_grouped_oof),window,Specificity,100.0 ± 0.0,"[100.0, 100.0]",1.0000
ptt22_trained_motion_detector,ptt22_outer_oof (source_grouped_oof),window,ROC-AUC,100.0 ± 0.0,"[100.0, 100.0]",0.7448
ptt22_trained_motion_detector,ptt22_outer_oof (source_grouped_oof),window,PR-AUC,100.0 ± 0.0,"[100.0, 100.0]",0.7448
