table,table_status,figure,figure_status,figure_path
motion_detector_metrics,available,motion_detector_metrics,generated,figures/motion_detector_metrics.png
motion_detector_score_distributions,available,frailty29_trained_window_score_distribution,generated,figures/frailty29_trained_window_score_distribution.png
motion_detector_prediction_tsne,available,frailty29_trained_window_prediction_tsne,generated,figures/frailty29_trained_window_prediction_tsne.png
motion_detector_roc_curves,available,frailty29_trained_window_roc_auc_curve,generated,figures/frailty29_trained_window_roc_auc_curve.png
motion_detector_score_distributions,available,frailty29_trained_file_score_distribution,generated,figures/frailty29_trained_file_score_distribution.png
motion_detector_prediction_tsne,available,frailty29_trained_file_prediction_tsne,generated,figures/frailty29_trained_file_prediction_tsne.png
motion_detector_roc_curves,available,frailty29_trained_file_roc_auc_curve,generated,figures/frailty29_trained_file_roc_auc_curve.png
motion_detector_score_distributions,available,ptt22_trained_window_score_distribution,generated,figures/ptt22_trained_window_score_distribution.png
motion_detector_prediction_tsne,available,ptt22_trained_window_prediction_tsne,generated,figures/ptt22_trained_window_prediction_tsne.png
motion_detector_roc_curves,available,ptt22_trained_window_roc_auc_curve,generated,figures/ptt22_trained_window_roc_auc_curve.png
motion_detector_score_distributions,available,ptt22_trained_file_score_distribution,generated,figures/ptt22_trained_file_score_distribution.png
motion_detector_prediction_tsne,available,ptt22_trained_file_prediction_tsne,generated,figures/ptt22_trained_file_prediction_tsne.png
motion_detector_roc_curves,available,ptt22_trained_file_roc_auc_curve,generated,figures/ptt22_trained_file_roc_auc_curve.png
motion_detector_window_confusion,available,motion_internal_confusion_matrix,generated,figures/motion_internal_confusion_matrix.png
motion_detector_file_confusion,available,motion_internal_file_confusion_matrix,generated,figures/motion_internal_file_confusion_matrix.png
motion_detector_window_confusion,available,motion_ptt_confusion_matrix,generated,figures/motion_ptt_confusion_matrix.png
motion_detector_file_confusion,available,motion_ptt_file_confusion_matrix,generated,figures/motion_ptt_file_confusion_matrix.png
motion_detector_window_confusion,available,motion_ptt_training_oof_confusion_matrix,generated,figures/motion_ptt_training_oof_confusion_matrix.png
motion_detector_file_confusion,available,motion_ptt_training_oof_file_confusion_matrix,generated,figures/motion_ptt_training_oof_file_confusion_matrix.png
motion_detector_window_confusion,available,motion_internal_reverse_confusion_matrix,generated,figures/motion_internal_reverse_confusion_matrix.png
motion_detector_file_confusion,available,motion_internal_reverse_file_confusion_matrix,generated,figures/motion_internal_reverse_file_confusion_matrix.png
motion_training_history,available,motion_training_learning_curves,generated,figures/motion_training_learning_curves.png
