case_id,aggregation_view,declared_source_line,resolved_config_balance_line,source_line_provenance,source_replay_validation,evidence_role,quality_weighting,quality_weight_source,primary_ranking_eligible,participant_balanced_accuracy_mean_sd,participant_macro_f1_mean_sd,worst_class_recall,worst_class_f1,repeat_count,participant_oof_prediction_count,metric_source
compact_cnn__b0_star_fixed10,window_balanced_to_participant,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,53.8 ± 6.1,52.9 ± 5.9,0.4,0.44403162055335976,5,145,same_fitted_oof_report_reaggregation
compact_cnn__b0_star_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,declared_training_aggregation,False,none,True,53.8 ± 6.1,52.9 ± 5.9,0.4,0.44403162055335976,5,145,same_fitted_oof_report_reaggregation
compact_cnn__b0_star_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,54.7 ± 6.4,54.0 ± 6.5,0.41666666666666663,0.4783126847576975,5,145,same_fitted_oof_report_reaggregation
compact_cnn__b1_star_fixed10,window_balanced_to_participant,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,44.9 ± 8.3,43.8 ± 9.8,0.275,0.2938461538461538,5,145,same_fitted_oof_report_reaggregation
compact_cnn__b1_star_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,declared_training_aggregation,False,none,True,44.9 ± 8.3,43.9 ± 9.8,0.275,0.2989743589743589,5,145,same_fitted_oof_report_reaggregation
compact_cnn__b1_star_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,46.9 ± 4.5,46.1 ± 7.2,0.275,0.35128205128205126,5,145,same_fitted_oof_report_reaggregation
compact_cnn__b2_star_fixed10,window_balanced_to_participant,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,56.9 ± 5.3,57.2 ± 6.2,0.39444444444444443,0.44268780239368477,5,145,same_fitted_oof_report_reaggregation
compact_cnn__b2_star_fixed10,line_a_equal_files,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,declared_training_aggregation,False,none,True,56.9 ± 5.3,57.2 ± 6.2,0.39444444444444443,0.44268780239368477,5,145,same_fitted_oof_report_reaggregation
compact_cnn__b2_star_fixed10,line_b_equal_role_families,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,51.9 ± 6.7,52.0 ± 7.7,0.35277777777777775,0.4219060166886254,5,145,same_fitted_oof_report_reaggregation
compact_cnn__b3_star_fixed10,window_balanced_to_participant,line_a_equal_files,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,47.2 ± 8.4,47.6 ± 8.5,0.31666666666666665,0.37069264069264074,5,145,same_fitted_oof_report_reaggregation
