case_id,bin_index,bin_left,bin_right,count,fraction,mean_confidence,accuracy
compact_cnn__b0_star_fixed10,0,0.0,0.1,0,0.0,,
compact_cnn__b0_star_fixed10,1,0.1,0.2,0,0.0,,
compact_cnn__b0_star_fixed10,2,0.2,0.30000000000000004,0,0.0,,
compact_cnn__b0_star_fixed10,3,0.30000000000000004,0.4,2,0.013793103448275862,0.36168797352463267,0.5
compact_cnn__b0_star_fixed10,4,0.4,0.5,7,0.04827586206896552,0.4670454238073289,0.7142857142857143
compact_cnn__b0_star_fixed10,5,0.5,0.6000000000000001,35,0.2413793103448276,0.5575655205093162,0.22857142857142856
compact_cnn__b0_star_fixed10,6,0.6000000000000001,0.7000000000000001,18,0.12413793103448276,0.6539644664111024,0.6111111111111112
compact_cnn__b0_star_fixed10,7,0.7000000000000001,0.8,14,0.09655172413793103,0.7558832961442334,0.5714285714285714
compact_cnn__b0_star_fixed10,8,0.8,0.9,20,0.13793103448275862,0.843746484772374,0.7
compact_cnn__b0_star_fixed10,9,0.9,1.0,49,0.33793103448275863,0.9623605405309975,0.6122448979591837
inception_full__b0_star_fixed10,0,0.0,0.1,0,0.0,,
inception_full__b0_star_fixed10,1,0.1,0.2,0,0.0,,
inception_full__b0_star_fixed10,2,0.2,0.30000000000000004,0,0.0,,
inception_full__b0_star_fixed10,3,0.30000000000000004,0.4,1,0.006896551724137931,0.3932349563963067,0.0
inception_full__b0_star_fixed10,4,0.4,0.5,6,0.041379310344827586,0.4795297540399057,0.5
inception_full__b0_star_fixed10,5,0.5,0.6000000000000001,22,0.15172413793103448,0.5573445583160981,0.45454545454545453
inception_full__b0_star_fixed10,6,0.6000000000000001,0.7000000000000001,23,0.15862068965517243,0.6499741995762885,0.5217391304347826
inception_full__b0_star_fixed10,7,0.7000000000000001,0.8,25,0.1724137931034483,0.7456380242223507,0.36
inception_full__b0_star_fixed10,8,0.8,0.9,26,0.1793103448275862,0.8518710506682484,0.6538461538461539
inception_full__b0_star_fixed10,9,0.9,1.0,42,0.2896551724137931,0.9614449977673519,0.7142857142857143
compact_cnn__b1_star_fixed10,0,0.0,0.1,0,0.0,,
compact_cnn__b1_star_fixed10,1,0.1,0.2,0,0.0,,
compact_cnn__b1_star_fixed10,2,0.2,0.30000000000000004,0,0.0,,
compact_cnn__b1_star_fixed10,3,0.30000000000000004,0.4,1,0.006896551724137931,0.3959787702400234,0.0
compact_cnn__b1_star_fixed10,4,0.4,0.5,9,0.06206896551724138,0.4708671873081849,0.2222222222222222
compact_cnn__b1_star_fixed10,5,0.5,0.6000000000000001,32,0.2206896551724138,0.5502103863685325,0.40625
compact_cnn__b1_star_fixed10,6,0.6000000000000001,0.7000000000000001,27,0.18620689655172415,0.6606703719169302,0.37037037037037035
compact_cnn__b1_star_fixed10,7,0.7000000000000001,0.8,21,0.14482758620689656,0.7641192425489197,0.5238095238095238
compact_cnn__b1_star_fixed10,8,0.8,0.9,24,0.16551724137931034,0.849403005221513,0.5416666666666666
compact_cnn__b1_star_fixed10,9,0.9,1.0,31,0.21379310344827587,0.9559543403948323,0.5806451612903226
inception_full__b1_star_fixed10,0,0.0,0.1,0,0.0,,
inception_full__b1_star_fixed10,1,0.1,0.2,0,0.0,,
inception_full__b1_star_fixed10,2,0.2,0.30000000000000004,0,0.0,,
inception_full__b1_star_fixed10,3,0.30000000000000004,0.4,0,0.0,,
inception_full__b1_star_fixed10,4,0.4,0.5,14,0.09655172413793103,0.451467269393321,0.35714285714285715
inception_full__b1_star_fixed10,5,0.5,0.6000000000000001,31,0.21379310344827587,0.5571145256174292,0.3870967741935484
inception_full__b1_star_fixed10,6,0.6000000000000001,0.7000000000000001,21,0.14482758620689656,0.6466403060962508,0.38095238095238093
inception_full__b1_star_fixed10,7,0.7000000000000001,0.8,22,0.15172413793103448,0.7532403518864758,0.45454545454545453
inception_full__b1_star_fixed10,8,0.8,0.9,23,0.15862068965517243,0.844856375207504,0.6956521739130435
inception_full__b1_star_fixed10,9,0.9,1.0,34,0.23448275862068965,0.96274851506379,0.6764705882352942
compact_cnn__b2_star_fixed10,0,0.0,0.1,0,0.0,,
compact_cnn__b2_star_fixed10,1,0.1,0.2,0,0.0,,
compact_cnn__b2_star_fixed10,2,0.2,0.30000000000000004,0,0.0,,
compact_cnn__b2_star_fixed10,3,0.30000000000000004,0.4,1,0.006896551724137931,0.3491411304691571,1.0
compact_cnn__b2_star_fixed10,4,0.4,0.5,7,0.04827586206896552,0.47429488852468876,0.2857142857142857
compact_cnn__b2_star_fixed10,5,0.5,0.6000000000000001,37,0.25517241379310346,0.561284775890148,0.5405405405405406
compact_cnn__b2_star_fixed10,6,0.6000000000000001,0.7000000000000001,26,0.1793103448275862,0.6568892185498707,0.5
compact_cnn__b2_star_fixed10,7,0.7000000000000001,0.8,20,0.13793103448275862,0.7543981898844287,0.4
compact_cnn__b2_star_fixed10,8,0.8,0.9,25,0.1724137931034483,0.8585115861696018,0.72
compact_cnn__b2_star_fixed10,9,0.9,1.0,29,0.2,0.949369455459238,0.7241379310344828
inception_full__b2_star_fixed10,0,0.0,0.1,0,0.0,,
inception_full__b2_star_fixed10,1,0.1,0.2,0,0.0,,
inception_full__b2_star_fixed10,2,0.2,0.30000000000000004,0,0.0,,
inception_full__b2_star_fixed10,3,0.30000000000000004,0.4,3,0.020689655172413793,0.377392760260233,1.0
inception_full__b2_star_fixed10,4,0.4,0.5,9,0.06206896551724138,0.47633329957180315,0.3333333333333333
inception_full__b2_star_fixed10,5,0.5,0.6000000000000001,30,0.20689655172413793,0.5549790701202412,0.36666666666666664
inception_full__b2_star_fixed10,6,0.6000000000000001,0.7000000000000001,22,0.15172413793103448,0.6377958041513877,0.36363636363636365
inception_full__b2_star_fixed10,7,0.7000000000000001,0.8,28,0.19310344827586207,0.7542317278178201,0.6071428571428571
inception_full__b2_star_fixed10,8,0.8,0.9,24,0.16551724137931034,0.866013010811766,0.5
