artifact_root,attempt,attempt_directory,case_id,config_sha256,elapsed_seconds,finished_utc,schema_version,started_utc,status,output_group,case_directory,resolved_config_path
attempts/attempt_002/experiment,2,attempts/attempt_002,compact_cnn__b0_star_fixed10,cb0a3733d3c060221ce057b2242aa78c335b961ba127ea0fbd5daeee894b4b31,930.2203803689918,2026-08-21T15:03:10+00:00,ppg_frailty.study_case_result.v2,2026-08-21T14:47:40+00:00,passed,raw,raw/compact_cnn__b0_star_fixed10,raw/compact_cnn__b0_star_fixed10/resolved_config.yaml
attempts/attempt_001/experiment,1,attempts/attempt_001,inception_full__b0_star_fixed10,d677ebfc0ad2c3807bfe4fd081aea555d738d001f7f503845d23e5be5da56721,1879.7871612370363,2026-08-21T15:34:30+00:00,ppg_frailty.study_case_result.v2,2026-08-21T15:03:10+00:00,passed,raw,raw/inception_full__b0_star_fixed10,raw/inception_full__b0_star_fixed10/resolved_config.yaml
attempts/attempt_001/experiment,1,attempts/attempt_001,compact_cnn__b1_star_fixed10,8ac2f60e3873e70ffead7f96b03c7eac6cf7a4437f5ba19083fd7f02cf7ce77d,1409.7393733600038,2026-08-21T15:58:00+00:00,ppg_frailty.study_case_result.v2,2026-08-21T15:34:30+00:00,passed,raw,raw/compact_cnn__b1_star_fixed10,raw/compact_cnn__b1_star_fixed10/resolved_config.yaml
attempts/attempt_001/experiment,1,attempts/attempt_001,inception_full__b1_star_fixed10,a841a828a7bc9c813349857da45a90cb144d246760eb7b8b25517935bc9dd2cc,10128.354749186023,2026-08-21T18:46:48+00:00,ppg_frailty.study_case_result.v2,2026-08-21T15:58:00+00:00,passed,raw,raw/inception_full__b1_star_fixed10,raw/inception_full__b1_star_fixed10/resolved_config.yaml
attempts/attempt_001/experiment,1,attempts/attempt_001,compact_cnn__b2_star_fixed10,ef38098a09e4d418faf24986e7e1fc76dbcb3fa0e01398c0b3dfb717f3e2db22,943.9281793110422,2026-08-21T19:02:32+00:00,ppg_frailty.study_case_result.v2,2026-08-21T18:46:48+00:00,passed,raw,raw/compact_cnn__b2_star_fixed10,raw/compact_cnn__b2_star_fixed10/resolved_config.yaml
attempts/attempt_001/experiment,1,attempts/attempt_001,inception_full__b2_star_fixed10,c97202eeac287dbf19f160705def5a0c6a43682ca80788e840fdfb63ace8bb03,1608.88608897198,2026-08-21T19:29:21+00:00,ppg_frailty.study_case_result.v2,2026-08-21T19:02:32+00:00,passed,raw,raw/inception_full__b2_star_fixed10,raw/inception_full__b2_star_fixed10/resolved_config.yaml
attempts/attempt_001/experiment,1,attempts/attempt_001,compact_cnn__b3_star_fixed10,45aef71dc09bdd2349041381547018007f11453272fbd305dd396a60e610181e,18750.087335432007,2026-08-22T00:41:51+00:00,ppg_frailty.study_case_result.v2,2026-08-21T19:29:21+00:00,passed,raw,raw/compact_cnn__b3_star_fixed10,raw/compact_cnn__b3_star_fixed10/resolved_config.yaml
attempts/attempt_001/experiment,1,attempts/attempt_001,inception_full__b3_star_fixed10,b35362bc5d5c59f30a4457bd8b2b0c5dc7c9f515371de3bba080111f7cdf72d7,19441.93415111699,2026-08-22T06:05:53+00:00,ppg_frailty.study_case_result.v2,2026-08-22T00:41:51+00:00,passed,raw,raw/inception_full__b3_star_fixed10,raw/inception_full__b3_star_fixed10/resolved_config.yaml
attempts/attempt_001/experiment,1,attempts/attempt_001,compact_cnn__b4_star_fixed10,5aaf6e6de9d848a4f5aeb4ea402cf3baf189768d5b42fe3a47235099657cdc7f,860.4408121290035,2026-08-22T06:20:13+00:00,ppg_frailty.study_case_result.v2,2026-08-22T06:05:53+00:00,passed,raw,raw/compact_cnn__b4_star_fixed10,raw/compact_cnn__b4_star_fixed10/resolved_config.yaml
attempts/attempt_001/experiment,1,attempts/attempt_001,inception_full__b4_star_fixed10,d7555918c4527d045353e761b76c1cf0152ffb08b95e880e10bd26b84770b572,1790.9945959749748,2026-08-22T06:50:04+00:00,ppg_frailty.study_case_result.v2,2026-08-22T06:20:13+00:00,passed,raw,raw/inception_full__b4_star_fixed10,raw/inception_full__b4_star_fixed10/resolved_config.yaml
