classifier_id,prediction_score_status,roc_auc_curve_status,prediction_tsne_status,prediction_row_count,roc_curve_point_count,tsne_point_count
compact_cnn__b0_star_fixed10,available,available,available,145,383,145
inception_full__b0_star_fixed10,available,available,available,145,354,145
compact_cnn__b1_star_fixed10,available,available,available,145,399,145
inception_full__b1_star_fixed10,available,available,available,145,395,145
compact_cnn__b2_star_fixed10,available,available,available,145,369,145
inception_full__b2_star_fixed10,available,available,available,145,384,145
compact_cnn__b3_star_fixed10,available,available,available,145,382,145
inception_full__b3_star_fixed10,available,available,available,145,374,145
compact_cnn__b4_star_fixed10,available,available,available,145,386,145
inception_full__b4_star_fixed10,available,available,available,145,387,145
compact_cnn__b5_star_fixed10,available,available,available,145,389,145
inception_full__b5_star_fixed10,available,available,available,145,387,145
compact_cnn__b6_star_fixed10,available,available,available,145,382,145
inception_full__b6_star_fixed10,available,available,available,145,381,145
compact_cnn__b7_star_fixed10,available,available,available,145,383,145
inception_full__b7_star_fixed10,available,available,available,145,354,145
