case_id,predictive_rank,true_class,predicted_class,metric_source,count
compact_cnn__b0_star_fixed10,5,0,0,participant_oof_pooled_repeats,28.0
compact_cnn__b0_star_fixed10,5,0,1,participant_oof_pooled_repeats,13.0
compact_cnn__b0_star_fixed10,5,0,2,participant_oof_pooled_repeats,4.0
compact_cnn__b0_star_fixed10,5,1,0,participant_oof_pooled_repeats,20.0
compact_cnn__b0_star_fixed10,5,1,1,participant_oof_pooled_repeats,28.0
compact_cnn__b0_star_fixed10,5,1,2,participant_oof_pooled_repeats,12.0
compact_cnn__b0_star_fixed10,5,2,0,participant_oof_pooled_repeats,4.0
compact_cnn__b0_star_fixed10,5,2,1,participant_oof_pooled_repeats,15.0
compact_cnn__b0_star_fixed10,5,2,2,participant_oof_pooled_repeats,21.0
inception_full__b0_star_fixed10,2,0,0,participant_oof_pooled_repeats,26.0
inception_full__b0_star_fixed10,2,0,1,participant_oof_pooled_repeats,17.0
inception_full__b0_star_fixed10,2,0,2,participant_oof_pooled_repeats,2.0
inception_full__b0_star_fixed10,2,1,0,participant_oof_pooled_repeats,23.0
inception_full__b0_star_fixed10,2,1,1,participant_oof_pooled_repeats,30.0
inception_full__b0_star_fixed10,2,1,2,participant_oof_pooled_repeats,7.0
inception_full__b0_star_fixed10,2,2,0,participant_oof_pooled_repeats,0.0
inception_full__b0_star_fixed10,2,2,1,participant_oof_pooled_repeats,15.0
inception_full__b0_star_fixed10,2,2,2,participant_oof_pooled_repeats,25.0
compact_cnn__b1_star_fixed10,14,0,0,participant_oof_pooled_repeats,25.0
compact_cnn__b1_star_fixed10,14,0,1,participant_oof_pooled_repeats,17.0
compact_cnn__b1_star_fixed10,14,0,2,participant_oof_pooled_repeats,3.0
compact_cnn__b1_star_fixed10,14,1,0,participant_oof_pooled_repeats,20.0
compact_cnn__b1_star_fixed10,14,1,1,participant_oof_pooled_repeats,31.0
compact_cnn__b1_star_fixed10,14,1,2,participant_oof_pooled_repeats,9.0
compact_cnn__b1_star_fixed10,14,2,0,participant_oof_pooled_repeats,10.0
compact_cnn__b1_star_fixed10,14,2,1,participant_oof_pooled_repeats,19.0
compact_cnn__b1_star_fixed10,14,2,2,participant_oof_pooled_repeats,11.0
inception_full__b1_star_fixed10,10,0,0,participant_oof_pooled_repeats,24.0
inception_full__b1_star_fixed10,10,0,1,participant_oof_pooled_repeats,17.0
inception_full__b1_star_fixed10,10,0,2,participant_oof_pooled_repeats,4.0
inception_full__b1_star_fixed10,10,1,0,participant_oof_pooled_repeats,18.0
inception_full__b1_star_fixed10,10,1,1,participant_oof_pooled_repeats,33.0
inception_full__b1_star_fixed10,10,1,2,participant_oof_pooled_repeats,9.0
inception_full__b1_star_fixed10,10,2,0,participant_oof_pooled_repeats,6.0
inception_full__b1_star_fixed10,10,2,1,participant_oof_pooled_repeats,17.0
inception_full__b1_star_fixed10,10,2,2,participant_oof_pooled_repeats,17.0
compact_cnn__b2_star_fixed10,1,0,0,participant_oof_pooled_repeats,25.0
compact_cnn__b2_star_fixed10,1,0,1,participant_oof_pooled_repeats,20.0
compact_cnn__b2_star_fixed10,1,0,2,participant_oof_pooled_repeats,0.0
compact_cnn__b2_star_fixed10,1,1,0,participant_oof_pooled_repeats,18.0
compact_cnn__b2_star_fixed10,1,1,1,participant_oof_pooled_repeats,36.0
compact_cnn__b2_star_fixed10,1,1,2,participant_oof_pooled_repeats,6.0
compact_cnn__b2_star_fixed10,1,2,0,participant_oof_pooled_repeats,5.0
compact_cnn__b2_star_fixed10,1,2,1,participant_oof_pooled_repeats,13.0
compact_cnn__b2_star_fixed10,1,2,2,participant_oof_pooled_repeats,22.0
inception_full__b2_star_fixed10,9,0,0,participant_oof_pooled_repeats,20.0
inception_full__b2_star_fixed10,9,0,1,participant_oof_pooled_repeats,24.0
inception_full__b2_star_fixed10,9,0,2,participant_oof_pooled_repeats,1.0
inception_full__b2_star_fixed10,9,1,0,participant_oof_pooled_repeats,19.0
inception_full__b2_star_fixed10,9,1,1,participant_oof_pooled_repeats,35.0
inception_full__b2_star_fixed10,9,1,2,participant_oof_pooled_repeats,6.0
inception_full__b2_star_fixed10,9,2,0,participant_oof_pooled_repeats,4.0
inception_full__b2_star_fixed10,9,2,1,participant_oof_pooled_repeats,16.0
inception_full__b2_star_fixed10,9,2,2,participant_oof_pooled_repeats,20.0
compact_cnn__b3_star_fixed10,13,0,0,participant_oof_pooled_repeats,21.0
compact_cnn__b3_star_fixed10,13,0,1,participant_oof_pooled_repeats,24.0
compact_cnn__b3_star_fixed10,13,0,2,participant_oof_pooled_repeats,0.0
compact_cnn__b3_star_fixed10,13,1,0,participant_oof_pooled_repeats,21.0
compact_cnn__b3_star_fixed10,13,1,1,participant_oof_pooled_repeats,33.0
compact_cnn__b3_star_fixed10,13,1,2,participant_oof_pooled_repeats,6.0
compact_cnn__b3_star_fixed10,13,2,0,participant_oof_pooled_repeats,7.0
compact_cnn__b3_star_fixed10,13,2,1,participant_oof_pooled_repeats,17.0
compact_cnn__b3_star_fixed10,13,2,2,participant_oof_pooled_repeats,16.0
inception_full__b3_star_fixed10,11,0,0,participant_oof_pooled_repeats,24.0
inception_full__b3_star_fixed10,11,0,1,participant_oof_pooled_repeats,20.0
inception_full__b3_star_fixed10,11,0,2,participant_oof_pooled_repeats,1.0
inception_full__b3_star_fixed10,11,1,0,participant_oof_pooled_repeats,24.0
inception_full__b3_star_fixed10,11,1,1,participant_oof_pooled_repeats,29.0
inception_full__b3_star_fixed10,11,1,2,participant_oof_pooled_repeats,7.0
inception_full__b3_star_fixed10,11,2,0,participant_oof_pooled_repeats,5.0
inception_full__b3_star_fixed10,11,2,1,participant_oof_pooled_repeats,16.0
inception_full__b3_star_fixed10,11,2,2,participant_oof_pooled_repeats,19.0
compact_cnn__b4_star_fixed10,15,0,0,participant_oof_pooled_repeats,21.0
compact_cnn__b4_star_fixed10,15,0,1,participant_oof_pooled_repeats,18.0
compact_cnn__b4_star_fixed10,15,0,2,participant_oof_pooled_repeats,6.0
compact_cnn__b4_star_fixed10,15,1,0,participant_oof_pooled_repeats,23.0
compact_cnn__b4_star_fixed10,15,1,1,participant_oof_pooled_repeats,26.0
compact_cnn__b4_star_fixed10,15,1,2,participant_oof_pooled_repeats,11.0
compact_cnn__b4_star_fixed10,15,2,0,participant_oof_pooled_repeats,11.0
compact_cnn__b4_star_fixed10,15,2,1,participant_oof_pooled_repeats,13.0
compact_cnn__b4_star_fixed10,15,2,2,participant_oof_pooled_repeats,16.0
inception_full__b4_star_fixed10,16,0,0,participant_oof_pooled_repeats,19.0
inception_full__b4_star_fixed10,16,0,1,participant_oof_pooled_repeats,19.0
inception_full__b4_star_fixed10,16,0,2,participant_oof_pooled_repeats,7.0
inception_full__b4_star_fixed10,16,1,0,participant_oof_pooled_repeats,21.0
inception_full__b4_star_fixed10,16,1,1,participant_oof_pooled_repeats,31.0
inception_full__b4_star_fixed10,16,1,2,participant_oof_pooled_repeats,8.0
inception_full__b4_star_fixed10,16,2,0,participant_oof_pooled_repeats,11.0
inception_full__b4_star_fixed10,16,2,1,participant_oof_pooled_repeats,15.0
inception_full__b4_star_fixed10,16,2,2,participant_oof_pooled_repeats,14.0
compact_cnn__b5_star_fixed10,7,0,0,participant_oof_pooled_repeats,23.0
compact_cnn__b5_star_fixed10,7,0,1,participant_oof_pooled_repeats,21.0
compact_cnn__b5_star_fixed10,7,0,2,participant_oof_pooled_repeats,1.0
compact_cnn__b5_star_fixed10,7,1,0,participant_oof_pooled_repeats,20.0
compact_cnn__b5_star_fixed10,7,1,1,participant_oof_pooled_repeats,32.0
compact_cnn__b5_star_fixed10,7,1,2,participant_oof_pooled_repeats,8.0
compact_cnn__b5_star_fixed10,7,2,0,participant_oof_pooled_repeats,2.0
compact_cnn__b5_star_fixed10,7,2,1,participant_oof_pooled_repeats,17.0
compact_cnn__b5_star_fixed10,7,2,2,participant_oof_pooled_repeats,21.0
inception_full__b5_star_fixed10,8,0,0,participant_oof_pooled_repeats,23.0
inception_full__b5_star_fixed10,8,0,1,participant_oof_pooled_repeats,18.0
inception_full__b5_star_fixed10,8,0,2,participant_oof_pooled_repeats,4.0
inception_full__b5_star_fixed10,8,1,0,participant_oof_pooled_repeats,20.0
inception_full__b5_star_fixed10,8,1,1,participant_oof_pooled_repeats,25.0
inception_full__b5_star_fixed10,8,1,2,participant_oof_pooled_repeats,15.0
inception_full__b5_star_fixed10,8,2,0,participant_oof_pooled_repeats,0.0
inception_full__b5_star_fixed10,8,2,1,participant_oof_pooled_repeats,15.0
inception_full__b5_star_fixed10,8,2,2,participant_oof_pooled_repeats,25.0
compact_cnn__b6_star_fixed10,12,0,0,participant_oof_pooled_repeats,27.0
compact_cnn__b6_star_fixed10,12,0,1,participant_oof_pooled_repeats,14.0
compact_cnn__b6_star_fixed10,12,0,2,participant_oof_pooled_repeats,4.0
compact_cnn__b6_star_fixed10,12,1,0,participant_oof_pooled_repeats,27.0
compact_cnn__b6_star_fixed10,12,1,1,participant_oof_pooled_repeats,24.0
compact_cnn__b6_star_fixed10,12,1,2,participant_oof_pooled_repeats,9.0
compact_cnn__b6_star_fixed10,12,2,0,participant_oof_pooled_repeats,5.0
compact_cnn__b6_star_fixed10,12,2,1,participant_oof_pooled_repeats,16.0
compact_cnn__b6_star_fixed10,12,2,2,participant_oof_pooled_repeats,19.0
inception_full__b6_star_fixed10,4,0,0,participant_oof_pooled_repeats,25.0
inception_full__b6_star_fixed10,4,0,1,participant_oof_pooled_repeats,18.0
inception_full__b6_star_fixed10,4,0,2,participant_oof_pooled_repeats,2.0
inception_full__b6_star_fixed10,4,1,0,participant_oof_pooled_repeats,20.0
inception_full__b6_star_fixed10,4,1,1,participant_oof_pooled_repeats,30.0
inception_full__b6_star_fixed10,4,1,2,participant_oof_pooled_repeats,10.0
inception_full__b6_star_fixed10,4,2,0,participant_oof_pooled_repeats,2.0
inception_full__b6_star_fixed10,4,2,1,participant_oof_pooled_repeats,13.0
inception_full__b6_star_fixed10,4,2,2,participant_oof_pooled_repeats,25.0
compact_cnn__b7_star_fixed10,6,0,0,participant_oof_pooled_repeats,28.0
compact_cnn__b7_star_fixed10,6,0,1,participant_oof_pooled_repeats,13.0
compact_cnn__b7_star_fixed10,6,0,2,participant_oof_pooled_repeats,4.0
compact_cnn__b7_star_fixed10,6,1,0,participant_oof_pooled_repeats,20.0
compact_cnn__b7_star_fixed10,6,1,1,participant_oof_pooled_repeats,28.0
compact_cnn__b7_star_fixed10,6,1,2,participant_oof_pooled_repeats,12.0
compact_cnn__b7_star_fixed10,6,2,0,participant_oof_pooled_repeats,4.0
compact_cnn__b7_star_fixed10,6,2,1,participant_oof_pooled_repeats,15.0
compact_cnn__b7_star_fixed10,6,2,2,participant_oof_pooled_repeats,21.0
inception_full__b7_star_fixed10,3,0,0,participant_oof_pooled_repeats,26.0
inception_full__b7_star_fixed10,3,0,1,participant_oof_pooled_repeats,17.0
inception_full__b7_star_fixed10,3,0,2,participant_oof_pooled_repeats,2.0
inception_full__b7_star_fixed10,3,1,0,participant_oof_pooled_repeats,23.0
inception_full__b7_star_fixed10,3,1,1,participant_oof_pooled_repeats,30.0
inception_full__b7_star_fixed10,3,1,2,participant_oof_pooled_repeats,7.0
inception_full__b7_star_fixed10,3,2,0,participant_oof_pooled_repeats,0.0
inception_full__b7_star_fixed10,3,2,1,participant_oof_pooled_repeats,15.0
inception_full__b7_star_fixed10,3,2,2,participant_oof_pooled_repeats,25.0
