case_id,class_order,confusion_matrix,metric_source
compact_cnn__b0_star_fixed10,"[0, 1, 2]","[[28, 13, 4], [20, 28, 12], [4, 15, 21]]",participant_oof_pooled_repeats
inception_full__b0_star_fixed10,"[0, 1, 2]","[[26, 17, 2], [23, 30, 7], [0, 15, 25]]",participant_oof_pooled_repeats
compact_cnn__b1_star_fixed10,"[0, 1, 2]","[[25, 17, 3], [20, 31, 9], [10, 19, 11]]",participant_oof_pooled_repeats
inception_full__b1_star_fixed10,"[0, 1, 2]","[[24, 17, 4], [18, 33, 9], [6, 17, 17]]",participant_oof_pooled_repeats
compact_cnn__b2_star_fixed10,"[0, 1, 2]","[[25, 20, 0], [18, 36, 6], [5, 13, 22]]",participant_oof_pooled_repeats
inception_full__b2_star_fixed10,"[0, 1, 2]","[[20, 24, 1], [19, 35, 6], [4, 16, 20]]",participant_oof_pooled_repeats
compact_cnn__b3_star_fixed10,"[0, 1, 2]","[[21, 24, 0], [21, 33, 6], [7, 17, 16]]",participant_oof_pooled_repeats
inception_full__b3_star_fixed10,"[0, 1, 2]","[[24, 20, 1], [24, 29, 7], [5, 16, 19]]",participant_oof_pooled_repeats
compact_cnn__b4_star_fixed10,"[0, 1, 2]","[[21, 18, 6], [23, 26, 11], [11, 13, 16]]",participant_oof_pooled_repeats
inception_full__b4_star_fixed10,"[0, 1, 2]","[[19, 19, 7], [21, 31, 8], [11, 15, 14]]",participant_oof_pooled_repeats
compact_cnn__b5_star_fixed10,"[0, 1, 2]","[[23, 21, 1], [20, 32, 8], [2, 17, 21]]",participant_oof_pooled_repeats
inception_full__b5_star_fixed10,"[0, 1, 2]","[[23, 18, 4], [20, 25, 15], [0, 15, 25]]",participant_oof_pooled_repeats
compact_cnn__b6_star_fixed10,"[0, 1, 2]","[[27, 14, 4], [27, 24, 9], [5, 16, 19]]",participant_oof_pooled_repeats
inception_full__b6_star_fixed10,"[0, 1, 2]","[[25, 18, 2], [20, 30, 10], [2, 13, 25]]",participant_oof_pooled_repeats
compact_cnn__b7_star_fixed10,"[0, 1, 2]","[[28, 13, 4], [20, 28, 12], [4, 15, 21]]",participant_oof_pooled_repeats
inception_full__b7_star_fixed10,"[0, 1, 2]","[[26, 17, 2], [23, 30, 7], [0, 15, 25]]",participant_oof_pooled_repeats
