case_id,predictive_rank,true_class,predicted_class,metric_source,row_fraction
compact_cnn__b0_star_fixed10,5,0,0,participant_oof_pooled_repeats,0.6222222222222222
compact_cnn__b0_star_fixed10,5,0,1,participant_oof_pooled_repeats,0.28888888888888886
compact_cnn__b0_star_fixed10,5,0,2,participant_oof_pooled_repeats,0.08888888888888889
compact_cnn__b0_star_fixed10,5,1,0,participant_oof_pooled_repeats,0.3333333333333333
compact_cnn__b0_star_fixed10,5,1,1,participant_oof_pooled_repeats,0.4666666666666667
compact_cnn__b0_star_fixed10,5,1,2,participant_oof_pooled_repeats,0.2
compact_cnn__b0_star_fixed10,5,2,0,participant_oof_pooled_repeats,0.1
compact_cnn__b0_star_fixed10,5,2,1,participant_oof_pooled_repeats,0.375
compact_cnn__b0_star_fixed10,5,2,2,participant_oof_pooled_repeats,0.525
inception_full__b0_star_fixed10,2,0,0,participant_oof_pooled_repeats,0.5777777777777777
inception_full__b0_star_fixed10,2,0,1,participant_oof_pooled_repeats,0.37777777777777777
inception_full__b0_star_fixed10,2,0,2,participant_oof_pooled_repeats,0.044444444444444446
inception_full__b0_star_fixed10,2,1,0,participant_oof_pooled_repeats,0.38333333333333336
inception_full__b0_star_fixed10,2,1,1,participant_oof_pooled_repeats,0.5
inception_full__b0_star_fixed10,2,1,2,participant_oof_pooled_repeats,0.11666666666666667
inception_full__b0_star_fixed10,2,2,0,participant_oof_pooled_repeats,0.0
inception_full__b0_star_fixed10,2,2,1,participant_oof_pooled_repeats,0.375
inception_full__b0_star_fixed10,2,2,2,participant_oof_pooled_repeats,0.625
compact_cnn__b1_star_fixed10,14,0,0,participant_oof_pooled_repeats,0.5555555555555556
compact_cnn__b1_star_fixed10,14,0,1,participant_oof_pooled_repeats,0.37777777777777777
compact_cnn__b1_star_fixed10,14,0,2,participant_oof_pooled_repeats,0.06666666666666667
compact_cnn__b1_star_fixed10,14,1,0,participant_oof_pooled_repeats,0.3333333333333333
compact_cnn__b1_star_fixed10,14,1,1,participant_oof_pooled_repeats,0.5166666666666667
compact_cnn__b1_star_fixed10,14,1,2,participant_oof_pooled_repeats,0.15
compact_cnn__b1_star_fixed10,14,2,0,participant_oof_pooled_repeats,0.25
compact_cnn__b1_star_fixed10,14,2,1,participant_oof_pooled_repeats,0.475
compact_cnn__b1_star_fixed10,14,2,2,participant_oof_pooled_repeats,0.275
inception_full__b1_star_fixed10,10,0,0,participant_oof_pooled_repeats,0.5333333333333333
inception_full__b1_star_fixed10,10,0,1,participant_oof_pooled_repeats,0.37777777777777777
inception_full__b1_star_fixed10,10,0,2,participant_oof_pooled_repeats,0.08888888888888889
inception_full__b1_star_fixed10,10,1,0,participant_oof_pooled_repeats,0.3
inception_full__b1_star_fixed10,10,1,1,participant_oof_pooled_repeats,0.55
inception_full__b1_star_fixed10,10,1,2,participant_oof_pooled_repeats,0.15
inception_full__b1_star_fixed10,10,2,0,participant_oof_pooled_repeats,0.15
inception_full__b1_star_fixed10,10,2,1,participant_oof_pooled_repeats,0.425
inception_full__b1_star_fixed10,10,2,2,participant_oof_pooled_repeats,0.425
compact_cnn__b2_star_fixed10,1,0,0,participant_oof_pooled_repeats,0.5555555555555556
compact_cnn__b2_star_fixed10,1,0,1,participant_oof_pooled_repeats,0.4444444444444444
compact_cnn__b2_star_fixed10,1,0,2,participant_oof_pooled_repeats,0.0
compact_cnn__b2_star_fixed10,1,1,0,participant_oof_pooled_repeats,0.3
compact_cnn__b2_star_fixed10,1,1,1,participant_oof_pooled_repeats,0.6
compact_cnn__b2_star_fixed10,1,1,2,participant_oof_pooled_repeats,0.1
compact_cnn__b2_star_fixed10,1,2,0,participant_oof_pooled_repeats,0.125
compact_cnn__b2_star_fixed10,1,2,1,participant_oof_pooled_repeats,0.325
compact_cnn__b2_star_fixed10,1,2,2,participant_oof_pooled_repeats,0.55
inception_full__b2_star_fixed10,9,0,0,participant_oof_pooled_repeats,0.4444444444444444
inception_full__b2_star_fixed10,9,0,1,participant_oof_pooled_repeats,0.5333333333333333
inception_full__b2_star_fixed10,9,0,2,participant_oof_pooled_repeats,0.022222222222222223
inception_full__b2_star_fixed10,9,1,0,participant_oof_pooled_repeats,0.31666666666666665
inception_full__b2_star_fixed10,9,1,1,participant_oof_pooled_repeats,0.5833333333333334
inception_full__b2_star_fixed10,9,1,2,participant_oof_pooled_repeats,0.1
inception_full__b2_star_fixed10,9,2,0,participant_oof_pooled_repeats,0.1
inception_full__b2_star_fixed10,9,2,1,participant_oof_pooled_repeats,0.4
inception_full__b2_star_fixed10,9,2,2,participant_oof_pooled_repeats,0.5
compact_cnn__b3_star_fixed10,13,0,0,participant_oof_pooled_repeats,0.4666666666666667
compact_cnn__b3_star_fixed10,13,0,1,participant_oof_pooled_repeats,0.5333333333333333
compact_cnn__b3_star_fixed10,13,0,2,participant_oof_pooled_repeats,0.0
compact_cnn__b3_star_fixed10,13,1,0,participant_oof_pooled_repeats,0.35
compact_cnn__b3_star_fixed10,13,1,1,participant_oof_pooled_repeats,0.55
compact_cnn__b3_star_fixed10,13,1,2,participant_oof_pooled_repeats,0.1
compact_cnn__b3_star_fixed10,13,2,0,participant_oof_pooled_repeats,0.175
compact_cnn__b3_star_fixed10,13,2,1,participant_oof_pooled_repeats,0.425
compact_cnn__b3_star_fixed10,13,2,2,participant_oof_pooled_repeats,0.4
inception_full__b3_star_fixed10,11,0,0,participant_oof_pooled_repeats,0.5333333333333333
inception_full__b3_star_fixed10,11,0,1,participant_oof_pooled_repeats,0.4444444444444444
inception_full__b3_star_fixed10,11,0,2,participant_oof_pooled_repeats,0.022222222222222223
inception_full__b3_star_fixed10,11,1,0,participant_oof_pooled_repeats,0.4
inception_full__b3_star_fixed10,11,1,1,participant_oof_pooled_repeats,0.48333333333333334
inception_full__b3_star_fixed10,11,1,2,participant_oof_pooled_repeats,0.11666666666666667
inception_full__b3_star_fixed10,11,2,0,participant_oof_pooled_repeats,0.125
inception_full__b3_star_fixed10,11,2,1,participant_oof_pooled_repeats,0.4
inception_full__b3_star_fixed10,11,2,2,participant_oof_pooled_repeats,0.475
compact_cnn__b4_star_fixed10,15,0,0,participant_oof_pooled_repeats,0.4666666666666667
compact_cnn__b4_star_fixed10,15,0,1,participant_oof_pooled_repeats,0.4
compact_cnn__b4_star_fixed10,15,0,2,participant_oof_pooled_repeats,0.13333333333333333
compact_cnn__b4_star_fixed10,15,1,0,participant_oof_pooled_repeats,0.38333333333333336
compact_cnn__b4_star_fixed10,15,1,1,participant_oof_pooled_repeats,0.43333333333333335
compact_cnn__b4_star_fixed10,15,1,2,participant_oof_pooled_repeats,0.18333333333333332
compact_cnn__b4_star_fixed10,15,2,0,participant_oof_pooled_repeats,0.275
compact_cnn__b4_star_fixed10,15,2,1,participant_oof_pooled_repeats,0.325
compact_cnn__b4_star_fixed10,15,2,2,participant_oof_pooled_repeats,0.4
inception_full__b4_star_fixed10,16,0,0,participant_oof_pooled_repeats,0.4222222222222222
inception_full__b4_star_fixed10,16,0,1,participant_oof_pooled_repeats,0.4222222222222222
inception_full__b4_star_fixed10,16,0,2,participant_oof_pooled_repeats,0.15555555555555556
inception_full__b4_star_fixed10,16,1,0,participant_oof_pooled_repeats,0.35
inception_full__b4_star_fixed10,16,1,1,participant_oof_pooled_repeats,0.5166666666666667
inception_full__b4_star_fixed10,16,1,2,participant_oof_pooled_repeats,0.13333333333333333
inception_full__b4_star_fixed10,16,2,0,participant_oof_pooled_repeats,0.275
inception_full__b4_star_fixed10,16,2,1,participant_oof_pooled_repeats,0.375
inception_full__b4_star_fixed10,16,2,2,participant_oof_pooled_repeats,0.35
compact_cnn__b5_star_fixed10,7,0,0,participant_oof_pooled_repeats,0.5111111111111111
compact_cnn__b5_star_fixed10,7,0,1,participant_oof_pooled_repeats,0.4666666666666667
compact_cnn__b5_star_fixed10,7,0,2,participant_oof_pooled_repeats,0.022222222222222223
compact_cnn__b5_star_fixed10,7,1,0,participant_oof_pooled_repeats,0.3333333333333333
compact_cnn__b5_star_fixed10,7,1,1,participant_oof_pooled_repeats,0.5333333333333333
compact_cnn__b5_star_fixed10,7,1,2,participant_oof_pooled_repeats,0.13333333333333333
compact_cnn__b5_star_fixed10,7,2,0,participant_oof_pooled_repeats,0.05
compact_cnn__b5_star_fixed10,7,2,1,participant_oof_pooled_repeats,0.425
compact_cnn__b5_star_fixed10,7,2,2,participant_oof_pooled_repeats,0.525
inception_full__b5_star_fixed10,8,0,0,participant_oof_pooled_repeats,0.5111111111111111
inception_full__b5_star_fixed10,8,0,1,participant_oof_pooled_repeats,0.4
inception_full__b5_star_fixed10,8,0,2,participant_oof_pooled_repeats,0.08888888888888889
inception_full__b5_star_fixed10,8,1,0,participant_oof_pooled_repeats,0.3333333333333333
inception_full__b5_star_fixed10,8,1,1,participant_oof_pooled_repeats,0.4166666666666667
inception_full__b5_star_fixed10,8,1,2,participant_oof_pooled_repeats,0.25
inception_full__b5_star_fixed10,8,2,0,participant_oof_pooled_repeats,0.0
inception_full__b5_star_fixed10,8,2,1,participant_oof_pooled_repeats,0.375
inception_full__b5_star_fixed10,8,2,2,participant_oof_pooled_repeats,0.625
compact_cnn__b6_star_fixed10,12,0,0,participant_oof_pooled_repeats,0.6
compact_cnn__b6_star_fixed10,12,0,1,participant_oof_pooled_repeats,0.3111111111111111
compact_cnn__b6_star_fixed10,12,0,2,participant_oof_pooled_repeats,0.08888888888888889
compact_cnn__b6_star_fixed10,12,1,0,participant_oof_pooled_repeats,0.45
compact_cnn__b6_star_fixed10,12,1,1,participant_oof_pooled_repeats,0.4
compact_cnn__b6_star_fixed10,12,1,2,participant_oof_pooled_repeats,0.15
compact_cnn__b6_star_fixed10,12,2,0,participant_oof_pooled_repeats,0.125
compact_cnn__b6_star_fixed10,12,2,1,participant_oof_pooled_repeats,0.4
compact_cnn__b6_star_fixed10,12,2,2,participant_oof_pooled_repeats,0.475
inception_full__b6_star_fixed10,4,0,0,participant_oof_pooled_repeats,0.5555555555555556
inception_full__b6_star_fixed10,4,0,1,participant_oof_pooled_repeats,0.4
inception_full__b6_star_fixed10,4,0,2,participant_oof_pooled_repeats,0.044444444444444446
inception_full__b6_star_fixed10,4,1,0,participant_oof_pooled_repeats,0.3333333333333333
inception_full__b6_star_fixed10,4,1,1,participant_oof_pooled_repeats,0.5
inception_full__b6_star_fixed10,4,1,2,participant_oof_pooled_repeats,0.16666666666666666
inception_full__b6_star_fixed10,4,2,0,participant_oof_pooled_repeats,0.05
inception_full__b6_star_fixed10,4,2,1,participant_oof_pooled_repeats,0.325
inception_full__b6_star_fixed10,4,2,2,participant_oof_pooled_repeats,0.625
compact_cnn__b7_star_fixed10,6,0,0,participant_oof_pooled_repeats,0.6222222222222222
compact_cnn__b7_star_fixed10,6,0,1,participant_oof_pooled_repeats,0.28888888888888886
compact_cnn__b7_star_fixed10,6,0,2,participant_oof_pooled_repeats,0.08888888888888889
