parameter_path,value
aggregation.balance_line,line_b_equal_role_families
aggregation.direct_all_window_participant_mean,False
aggregation.file_to_role,ordinary_mean
aggregation.hierarchy,"[""window"", ""file"", ""role"", ""participant""]"
aggregation.missing_role_policy,mean_available_roles
aggregation.quality_weight_levels,[]
aggregation.quality_weight_source,none
aggregation.quality_weighting,False
aggregation.role_to_participant,ordinary_mean
aggregation.window_to_file,ordinary_mean
artifact.degraded_policy,drop
artifact.denoiser_enabled,False
artifact.failure_action,no_result_no_fallback
artifact.motion_detector.batch_size,64
artifact.motion_detector.device,cuda
artifact.motion_detector.evidence_path,
artifact.motion_detector.expected_evidence_sha256,
artifact.motion_detector.threshold_source,bundle_frozen
artifact.motion_detector.window_probability_aggregation,median
artifact.motion_detector_enabled,False
artifact.non_identity_output_contract,rate_only
artifact.reducer,identity
artifact.reducer_version,identity_v1
artifact.selection_scope,run_before_evaluation
evaluation.calibration_metrics,"[""multiclass_brier"", ""expected_calibration_error""]"
evaluation.confidence_interval,participant_cluster_bootstrap_two_sided_95
evaluation.independent_test_available,False
evaluation.metric_prefix,oof_validation_
evaluation.metrics,"[""balanced_accuracy"", ""macro_f1"", ""per_class_precision_recall_f1"", ""worst_class_recall"", ""worst_class_f1"", ""confusion_matrix"", ""coverage""]"
evaluation.paired_delta_key,"[""repeat_index"", ""fold_index"", ""participant_id""]"
evaluation.primary_metric,balanced_accuracy
evaluation.rank_incomplete_configs,False
evaluation.ranking.automatic_final_selection,False
evaluation.ranking.manual_multiple_final_versions_allowed,True
evaluation.ranking.max_qualified_per_comparison_group,10
evaluation.ranking.preserve_ablation_provenance,True
evaluation.ranking.sort_key,participant_level_mean_balanced_accuracy
evaluation.statistics.affects_automatic_selection,False
evaluation.statistics.bootstrap_replicates,10000
evaluation.statistics.cluster_unit,participant_with_all_five_repeat_oof_predictions
evaluation.statistics.confidence_interval,two_sided_95_percentile
evaluation.statistics.lcb95_metrics,"[""participant_level_mean_balanced_accuracy"", ""participant_level_mean_macro_f1""]"
evaluation.statistics.lcb95_percentile,2.5
evaluation.statistics.multiplicity_correction,holm_within_comparison_family
evaluation.statistics.paired_exchange_unit,participant
evaluation.statistics.paired_permutation_replicates,100000
evaluation.statistics.seed,42
evaluation.unit,participant
features.enabled_groups,"[""ppi_basic_rate"", ""hrv_time_domain"", ""hrv_spectral"", ""hrv_nonlinear"", ""morphology"", ""dual_optical"", ""engineering_summary""]"
