case_id,mean_coverage_rate,minimum_coverage_rate,reported_cell_count,quality_diagnostic_row_count
compact_cnn__b0_star_fixed10,1.0,1.0,25,3625
inception_full__b0_star_fixed10,1.0,1.0,25,3625
compact_cnn__b1_star_fixed10,1.0,1.0,25,3625
inception_full__b1_star_fixed10,1.0,1.0,25,3625
compact_cnn__b2_star_fixed10,1.0,1.0,25,3625
inception_full__b2_star_fixed10,1.0,1.0,25,3625
compact_cnn__b3_star_fixed10,1.0,1.0,25,3625
inception_full__b3_star_fixed10,1.0,1.0,25,3625
compact_cnn__b4_star_fixed10,1.0,1.0,25,3625
inception_full__b4_star_fixed10,1.0,1.0,25,3625
compact_cnn__b5_star_fixed10,1.0,1.0,25,3625
inception_full__b5_star_fixed10,1.0,1.0,25,3625
compact_cnn__b6_star_fixed10,1.0,1.0,25,3625
inception_full__b6_star_fixed10,1.0,1.0,25,3625
compact_cnn__b7_star_fixed10,1.0,1.0,25,3625
inception_full__b7_star_fixed10,1.0,1.0,25,3625
