case_id,metric,metric_source,n,mean_sd,ci95
compact_cnn__b0_star_fixed10,balanced_accuracy,participant_oof,5,53.8 ± 6.8,"[45.3, 62.2]"
compact_cnn__b0_star_fixed10,macro_f1,participant_oof,5,52.9 ± 6.6,"[44.7, 61.2]"
compact_cnn__b0_star_fixed10,macro_roc_auc_ovr,participant_oof,5,69.2 ± 4.3,"[63.8, 74.6]"
compact_cnn__b0_star_fixed10,macro_pr_auc_ovr,participant_oof,5,61.0 ± 7.0,"[52.3, 69.7]"
compact_cnn__b0_star_fixed10,abstention_aware_balanced_accuracy,participant_oof,5,53.8 ± 6.8,"[45.3, 62.2]"
compact_cnn__b0_star_fixed10,abstention_aware_macro_f1,participant_oof,5,52.9 ± 6.6,"[44.7, 61.2]"
inception_full__b0_star_fixed10,balanced_accuracy,participant_oof,5,56.8 ± 2.4,"[53.8, 59.7]"
inception_full__b0_star_fixed10,macro_f1,participant_oof,5,57.2 ± 2.5,"[54.2, 60.3]"
inception_full__b0_star_fixed10,macro_roc_auc_ovr,participant_oof,5,72.8 ± 2.5,"[69.7, 76.0]"
inception_full__b0_star_fixed10,macro_pr_auc_ovr,participant_oof,5,64.6 ± 4.0,"[59.6, 69.5]"
inception_full__b0_star_fixed10,abstention_aware_balanced_accuracy,participant_oof,5,56.8 ± 2.4,"[53.8, 59.7]"
inception_full__b0_star_fixed10,abstention_aware_macro_f1,participant_oof,5,57.2 ± 2.5,"[54.2, 60.3]"
compact_cnn__b1_star_fixed10,balanced_accuracy,participant_oof,5,44.9 ± 9.3,"[33.4, 56.5]"
compact_cnn__b1_star_fixed10,macro_f1,participant_oof,5,43.9 ± 11.0,"[30.3, 57.5]"
compact_cnn__b1_star_fixed10,macro_roc_auc_ovr,participant_oof,5,63.7 ± 2.9,"[60.1, 67.4]"
compact_cnn__b1_star_fixed10,macro_pr_auc_ovr,participant_oof,5,54.2 ± 4.5,"[48.6, 59.7]"
compact_cnn__b1_star_fixed10,abstention_aware_balanced_accuracy,participant_oof,5,44.9 ± 9.3,"[33.4, 56.5]"
compact_cnn__b1_star_fixed10,abstention_aware_macro_f1,participant_oof,5,43.9 ± 11.0,"[30.3, 57.5]"
inception_full__b1_star_fixed10,balanced_accuracy,participant_oof,5,50.3 ± 2.3,"[47.5, 53.1]"
inception_full__b1_star_fixed10,macro_f1,participant_oof,5,50.5 ± 2.3,"[47.6, 53.3]"
inception_full__b1_star_fixed10,macro_roc_auc_ovr,participant_oof,5,68.0 ± 6.6,"[59.8, 76.2]"
inception_full__b1_star_fixed10,macro_pr_auc_ovr,participant_oof,5,61.5 ± 5.0,"[55.3, 67.7]"
inception_full__b1_star_fixed10,abstention_aware_balanced_accuracy,participant_oof,5,50.3 ± 2.3,"[47.5, 53.1]"
inception_full__b1_star_fixed10,abstention_aware_macro_f1,participant_oof,5,50.5 ± 2.3,"[47.6, 53.3]"
compact_cnn__b2_star_fixed10,balanced_accuracy,participant_oof,5,56.9 ± 5.9,"[49.5, 64.2]"
compact_cnn__b2_star_fixed10,macro_f1,participant_oof,5,57.2 ± 6.9,"[48.6, 65.8]"
compact_cnn__b2_star_fixed10,macro_roc_auc_ovr,participant_oof,5,74.7 ± 4.4,"[69.2, 80.2]"
compact_cnn__b2_star_fixed10,macro_pr_auc_ovr,participant_oof,5,66.1 ± 5.6,"[59.2, 73.1]"
compact_cnn__b2_star_fixed10,abstention_aware_balanced_accuracy,participant_oof,5,56.9 ± 5.9,"[49.5, 64.2]"
compact_cnn__b2_star_fixed10,abstention_aware_macro_f1,participant_oof,5,57.2 ± 6.9,"[48.6, 65.8]"
inception_full__b2_star_fixed10,balanced_accuracy,participant_oof,5,50.9 ± 5.2,"[44.5, 57.4]"
inception_full__b2_star_fixed10,macro_f1,participant_oof,5,51.8 ± 4.7,"[45.9, 57.7]"
inception_full__b2_star_fixed10,macro_roc_auc_ovr,participant_oof,5,71.5 ± 2.9,"[67.8, 75.1]"
inception_full__b2_star_fixed10,macro_pr_auc_ovr,participant_oof,5,64.2 ± 1.2,"[62.7, 65.7]"
inception_full__b2_star_fixed10,abstention_aware_balanced_accuracy,participant_oof,5,50.9 ± 5.2,"[44.5, 57.4]"
inception_full__b2_star_fixed10,abstention_aware_macro_f1,participant_oof,5,51.8 ± 4.7,"[45.9, 57.7]"
compact_cnn__b3_star_fixed10,balanced_accuracy,participant_oof,5,47.2 ± 9.4,"[35.6, 58.9]"
compact_cnn__b3_star_fixed10,macro_f1,participant_oof,5,47.6 ± 9.5,"[35.8, 59.5]"
compact_cnn__b3_star_fixed10,macro_roc_auc_ovr,participant_oof,5,66.9 ± 4.0,"[61.9, 71.9]"
compact_cnn__b3_star_fixed10,macro_pr_auc_ovr,participant_oof,5,57.7 ± 4.0,"[52.8, 62.6]"
compact_cnn__b3_star_fixed10,abstention_aware_balanced_accuracy,participant_oof,5,47.2 ± 9.4,"[35.6, 58.9]"
compact_cnn__b3_star_fixed10,abstention_aware_macro_f1,participant_oof,5,47.6 ± 9.5,"[35.8, 59.5]"
inception_full__b3_star_fixed10,balanced_accuracy,participant_oof,5,49.7 ± 5.9,"[42.4, 57.0]"
inception_full__b3_star_fixed10,macro_f1,participant_oof,5,50.3 ± 7.3,"[41.2, 59.4]"
inception_full__b3_star_fixed10,macro_roc_auc_ovr,participant_oof,5,68.8 ± 1.4,"[67.1, 70.6]"
inception_full__b3_star_fixed10,macro_pr_auc_ovr,participant_oof,5,60.7 ± 4.1,"[55.6, 65.8]"
inception_full__b3_star_fixed10,abstention_aware_balanced_accuracy,participant_oof,5,49.7 ± 5.9,"[42.4, 57.0]"
inception_full__b3_star_fixed10,abstention_aware_macro_f1,participant_oof,5,50.3 ± 7.3,"[41.2, 59.4]"
compact_cnn__b4_star_fixed10,balanced_accuracy,participant_oof,5,43.3 ± 3.7,"[38.8, 47.9]"
compact_cnn__b4_star_fixed10,macro_f1,participant_oof,5,42.8 ± 3.4,"[38.5, 47.1]"
compact_cnn__b4_star_fixed10,macro_roc_auc_ovr,participant_oof,5,59.5 ± 6.3,"[51.7, 67.3]"
compact_cnn__b4_star_fixed10,macro_pr_auc_ovr,participant_oof,5,51.8 ± 6.3,"[44.0, 59.6]"
compact_cnn__b4_star_fixed10,abstention_aware_balanced_accuracy,participant_oof,5,43.3 ± 3.7,"[38.8, 47.9]"
compact_cnn__b4_star_fixed10,abstention_aware_macro_f1,participant_oof,5,42.8 ± 3.4,"[38.5, 47.1]"
inception_full__b4_star_fixed10,balanced_accuracy,participant_oof,5,43.0 ± 7.3,"[33.9, 52.1]"
inception_full__b4_star_fixed10,macro_f1,participant_oof,5,43.1 ± 7.3,"[34.0, 52.1]"
inception_full__b4_star_fixed10,macro_roc_auc_ovr,participant_oof,5,57.2 ± 6.3,"[49.4, 65.0]"
inception_full__b4_star_fixed10,macro_pr_auc_ovr,participant_oof,5,47.7 ± 7.1,"[38.9, 56.5]"
inception_full__b4_star_fixed10,abstention_aware_balanced_accuracy,participant_oof,5,43.0 ± 7.3,"[33.9, 52.1]"
inception_full__b4_star_fixed10,abstention_aware_macro_f1,participant_oof,5,43.1 ± 7.3,"[34.0, 52.1]"
compact_cnn__b5_star_fixed10,balanced_accuracy,participant_oof,5,52.3 ± 3.5,"[47.9, 56.7]"
compact_cnn__b5_star_fixed10,macro_f1,participant_oof,5,53.4 ± 4.5,"[47.7, 59.0]"
compact_cnn__b5_star_fixed10,macro_roc_auc_ovr,participant_oof,5,69.4 ± 3.1,"[65.6, 73.2]"
