case_id,class_label,class_name,metric,n,mean_sd
compact_cnn__b0_star_fixed10,0,Pre-Frail,balanced_accuracy_ovr,5,69.1 ± 5.3
compact_cnn__b0_star_fixed10,0,Pre-Frail,f1,5,57.0 ± 7.0
compact_cnn__b0_star_fixed10,0,Pre-Frail,recall,5,62.2 ± 16.9
compact_cnn__b0_star_fixed10,0,Pre-Frail,specificity,5,76.0 ± 8.2
compact_cnn__b0_star_fixed10,0,Pre-Frail,roc_auc_ovr,5,74.8 ± 6.7
compact_cnn__b0_star_fixed10,0,Pre-Frail,pr_auc_ovr,5,68.6 ± 7.3
compact_cnn__b0_star_fixed10,1,Robust/Non-Frail,balanced_accuracy_ovr,5,56.9 ± 6.0
compact_cnn__b0_star_fixed10,1,Robust/Non-Frail,f1,5,48.1 ± 8.4
compact_cnn__b0_star_fixed10,1,Robust/Non-Frail,recall,5,46.7 ± 9.5
compact_cnn__b0_star_fixed10,1,Robust/Non-Frail,specificity,5,67.1 ± 3.2
compact_cnn__b0_star_fixed10,1,Robust/Non-Frail,roc_auc_ovr,5,58.7 ± 5.9
compact_cnn__b0_star_fixed10,1,Robust/Non-Frail,pr_auc_ovr,5,52.3 ± 5.7
compact_cnn__b0_star_fixed10,2,Young,balanced_accuracy_ovr,5,68.6 ± 8.1
compact_cnn__b0_star_fixed10,2,Young,f1,5,53.7 ± 12.0
compact_cnn__b0_star_fixed10,2,Young,recall,5,52.5 ± 18.5
compact_cnn__b0_star_fixed10,2,Young,specificity,5,84.8 ± 12.3
compact_cnn__b0_star_fixed10,2,Young,roc_auc_ovr,5,74.0 ± 2.7
compact_cnn__b0_star_fixed10,2,Young,pr_auc_ovr,5,62.0 ± 10.5
compact_cnn__b1_star_fixed10,0,Pre-Frail,balanced_accuracy_ovr,5,62.8 ± 9.6
compact_cnn__b1_star_fixed10,0,Pre-Frail,f1,5,51.0 ± 10.5
compact_cnn__b1_star_fixed10,0,Pre-Frail,recall,5,55.6 ± 7.9
compact_cnn__b1_star_fixed10,0,Pre-Frail,specificity,5,70.0 ± 15.8
compact_cnn__b1_star_fixed10,0,Pre-Frail,roc_auc_ovr,5,70.3 ± 5.9
compact_cnn__b1_star_fixed10,0,Pre-Frail,pr_auc_ovr,5,59.6 ± 7.6
compact_cnn__b1_star_fixed10,1,Robust/Non-Frail,balanced_accuracy_ovr,5,54.7 ± 5.8
compact_cnn__b1_star_fixed10,1,Robust/Non-Frail,f1,5,48.5 ± 7.3
