case_id,repeat,class_label,class_name,precision,recall,specificity,balanced_accuracy_ovr,f1,roc_auc_ovr,pr_auc_ovr,support
compact_cnn__b0_star_fixed10,,0,Pre-Frail,0.5384615384615384,0.6222222222222222,0.76,0.6911111111111111,0.5773195876288659,0.7375555555555555,0.6227281126366122,45
compact_cnn__b0_star_fixed10,,1,Robust/Non-Frail,0.5,0.4666666666666667,0.6705882352941176,0.5686274509803921,0.4827586206896552,0.5864705882352941,0.4831992529875861,60
compact_cnn__b0_star_fixed10,,2,Young,0.5675675675675675,0.525,0.8476190476190476,0.6863095238095238,0.5454545454545454,0.7530952380952382,0.594961620315047,40
inception_full__b0_star_fixed10,,0,Pre-Frail,0.5306122448979592,0.5777777777777777,0.77,0.6738888888888889,0.5531914893617021,0.7562222222222222,0.5781066892473538,45
inception_full__b0_star_fixed10,,1,Robust/Non-Frail,0.4838709677419355,0.5,0.6235294117647059,0.5617647058823529,0.4918032786885246,0.6015686274509804,0.5071079186221941,60
inception_full__b0_star_fixed10,,2,Young,0.7352941176470589,0.625,0.9142857142857143,0.7696428571428571,0.6756756756756757,0.8321428571428572,0.7612280426261439,40
compact_cnn__b1_star_fixed10,,0,Pre-Frail,0.45454545454545453,0.5555555555555556,0.7,0.6277777777777778,0.5,0.6960000000000001,0.5388100211930661,45
compact_cnn__b1_star_fixed10,,1,Robust/Non-Frail,0.4626865671641791,0.5166666666666667,0.5764705882352941,0.5465686274509804,0.4881889763779528,0.5770588235294117,0.49314219268428566,60
compact_cnn__b1_star_fixed10,,2,Young,0.4782608695652174,0.275,0.8857142857142857,0.5803571428571428,0.3492063492063492,0.6340476190476191,0.5176535302008356,40
inception_full__b1_star_fixed10,,0,Pre-Frail,0.5,0.5333333333333333,0.76,0.6466666666666667,0.5161290322580645,0.7433333333333332,0.6371577622553413,45
inception_full__b1_star_fixed10,,1,Robust/Non-Frail,0.4925373134328358,0.55,0.6,0.575,0.5196850393700787,0.6052941176470588,0.505103393525403,60
inception_full__b1_star_fixed10,,2,Young,0.5666666666666667,0.425,0.8761904761904762,0.6505952380952381,0.4857142857142857,0.6957142857142857,0.5618167309414596,40
compact_cnn__b2_star_fixed10,,0,Pre-Frail,0.5208333333333334,0.5555555555555556,0.77,0.6627777777777778,0.5376344086021505,0.7691111111111111,0.6174354121021794,45
compact_cnn__b2_star_fixed10,,1,Robust/Non-Frail,0.5217391304347826,0.6,0.611764705882353,0.6058823529411765,0.5581395348837209,0.6396078431372548,0.5504434513949881,60
compact_cnn__b2_star_fixed10,,2,Young,0.7857142857142857,0.55,0.9428571428571428,0.7464285714285714,0.6470588235294118,0.8007142857142857,0.672195502376457,40
inception_full__b2_star_fixed10,,0,Pre-Frail,0.46511627906976744,0.4444444444444444,0.77,0.6072222222222222,0.45454545454545453,0.7077777777777777,0.5679090951588794,45
inception_full__b2_star_fixed10,,1,Robust/Non-Frail,0.4666666666666667,0.5833333333333334,0.5294117647058824,0.5563725490196079,0.5185185185185185,0.5745098039215687,0.4919953479515882,60
