case_id,repeat,balanced_accuracy,macro_f1,macro_roc_auc_ovr,macro_pr_auc_ovr,worst_class_recall,worst_class_f1,n_predictions,class_order,abstention_aware_balanced_accuracy,abstention_aware_macro_precision,abstention_aware_macro_recall,abstention_aware_macro_f1,abstention_count,abstention_counts_by_class,abstention_aware_per_class,coverage_rate,abstention_probability_metrics_scope,metric_source
compact_cnn__b0_star_fixed10,0,0.4259259259259259,0.4184257435031429,0.6267195767195767,0.5101436717972265,0.3333333333333333,0.36363636363636365,29,"[0, 1, 2]",0.4259259259259259,0.4212121212121212,0.4259259259259259,0.4184257435031429,0,"[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.47058823529411764, ""false_negative"": 5, ""false_positive"": 4, ""label"": 0, ""precision"": 0.5, ""recall"": 0.4444444444444444, ""retained_support"": 9, ""support"": 9, ""true_positive"": 4}, {""abstention_count"": 0, ""f1"": 0.3636363636363636, ""false_negative"": 8, ""false_positive"": 6, ""label"": 1, ""precision"": 0.4, ""recall"": 0.3333333333333333, ""retained_support"": 12, ""support"": 12, ""true_positive"": 4}, {""abstention_count"": 0, ""f1"": 0.4210526315789474, ""false_negative"": 4, ""false_positive"": 7, ""label"": 2, ""precision"": 0.36363636363636365, ""recall"": 0.5, ""retained_support"": 8, ""support"": 8, ""true_positive"": 4}]",1.0,retained_only,participant_oof_recomputed_conditional_and_abstention_aware
compact_cnn__b0_star_fixed10,1,0.5740740740740741,0.5499999999999999,0.7457671957671957,0.6968398870746652,0.25,0.4,29,"[0, 1, 2]",0.5740740740740741,0.7055555555555556,0.5740740740740741,0.5499999999999999,0,"[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.6666666666666667, ""false_negative"": 1, ""false_positive"": 7, ""label"": 0, ""precision"": 0.5333333333333333, ""recall"": 0.8888888888888888, ""retained_support"": 9, ""support"": 9, ""true_positive"": 8}, {""abstention_count"": 0, ""f1"": 0.5833333333333334, ""false_negative"": 5, ""false_positive"": 5, ""label"": 1, ""precision"": 0.5833333333333334, ""recall"": 0.5833333333333334, ""retained_support"": 12, ""support"": 12, ""true_positive"": 7}, {""abstention_count"": 0, ""f1"": 0.4, ""false_negative"": 6, ""false_positive"": 0, ""label"": 2, ""precision"": 1.0, ""recall"": 0.25, ""retained_support"": 8, ""support"": 8, ""true_positive"": 2}]",1.0,retained_only,participant_oof_recomputed_conditional_and_abstention_aware
compact_cnn__b0_star_fixed10,2,0.6018518518518519,0.5922136970730322,0.7051198257080609,0.6445093237165129,0.5,0.5217391304347826,29,"[0, 1, 2]",0.6018518518518519,0.5901515151515152,0.6018518518518519,0.5922136970730321,0,"[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.5882352941176471, ""false_negative"": 4, ""false_positive"": 3, ""label"": 0, ""precision"": 0.625, ""recall"": 0.5555555555555556, ""retained_support"": 9, ""support"": 9, ""true_positive"": 5}, {""abstention_count"": 0, ""f1"": 0.5217391304347826, ""false_negative"": 6, ""false_positive"": 5, ""label"": 1, ""precision"": 0.5454545454545454, ""recall"": 0.5, ""retained_support"": 12, ""support"": 12, ""true_positive"": 6}, {""abstention_count"": 0, ""f1"": 0.6666666666666665, ""false_negative"": 2, ""false_positive"": 4, ""label"": 2, ""precision"": 0.6, ""recall"": 0.75, ""retained_support"": 8, ""support"": 8, ""true_positive"": 6}]",1.0,retained_only,participant_oof_recomputed_conditional_and_abstention_aware
compact_cnn__b0_star_fixed10,3,0.5601851851851852,0.5601851851851852,0.6808278867102396,0.5788848284068872,0.5,0.5,29,"[0, 1, 2]",0.5601851851851852,0.5601851851851852,0.5601851851851852,0.5601851851851852,0,"[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.5555555555555556, ""false_negative"": 4, ""false_positive"": 4, ""label"": 0, ""precision"": 0.5555555555555556, ""recall"": 0.5555555555555556, ""retained_support"": 9, ""support"": 9, ""true_positive"": 5}, {""abstention_count"": 0, ""f1"": 0.5, ""false_negative"": 6, ""false_positive"": 6, ""label"": 1, ""precision"": 0.5, ""recall"": 0.5, ""retained_support"": 12, ""support"": 12, ""true_positive"": 6}, {""abstention_count"": 0, ""f1"": 0.625, ""false_negative"": 3, ""false_positive"": 3, ""label"": 2, ""precision"": 0.625, ""recall"": 0.625, ""retained_support"": 8, ""support"": 8, ""true_positive"": 5}]",1.0,retained_only,participant_oof_recomputed_conditional_and_abstention_aware
compact_cnn__b0_star_fixed10,4,0.5277777777777778,0.525879917184265,0.7007469654528479,0.6188274452410588,0.4166666666666667,0.43478260869565216,29,"[0, 1, 2]",0.5277777777777778,0.5404040404040403,0.5277777777777778,0.5258799171842651,0,"[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.5714285714285715, ""false_negative"": 3, ""false_positive"": 6, ""label"": 0, ""precision"": 0.5, ""recall"": 0.6666666666666666, ""retained_support"": 9, ""support"": 9, ""true_positive"": 6}, {""abstention_count"": 0, ""f1"": 0.43478260869565216, ""false_negative"": 7, ""false_positive"": 6, ""label"": 1, ""precision"": 0.45454545454545453, ""recall"": 0.4166666666666667, ""retained_support"": 12, ""support"": 12, ""true_positive"": 5}, {""abstention_count"": 0, ""f1"": 0.5714285714285715, ""false_negative"": 4, ""false_positive"": 2, ""label"": 2, ""precision"": 0.6666666666666666, ""recall"": 0.5, ""retained_support"": 8, ""support"": 8, ""true_positive"": 4}]",1.0,retained_only,participant_oof_recomputed_conditional_and_abstention_aware
inception_full__b0_star_fixed10,0,0.5787037037037037,0.5801282051282052,0.697416744475568,0.6167758328797369,0.4444444444444444,0.5,29,"[0, 1, 2]",0.5787037037037037,0.5892857142857143,0.5787037037037037,0.5801282051282052,0,"[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.5, ""false_negative"": 5, ""false_positive"": 3, ""label"": 0, ""precision"": 0.5714285714285714, ""recall"": 0.4444444444444444, ""retained_support"": 9, ""support"": 9, ""true_positive"": 4}, {""abstention_count"": 0, ""f1"": 0.6153846153846153, ""false_negative"": 4, ""false_positive"": 6, ""label"": 1, ""precision"": 0.5714285714285714, ""recall"": 0.6666666666666666, ""retained_support"": 12, ""support"": 12, ""true_positive"": 8}, {""abstention_count"": 0, ""f1"": 0.625, ""false_negative"": 3, ""false_positive"": 3, ""label"": 2, ""precision"": 0.625, ""recall"": 0.625, ""retained_support"": 8, ""support"": 8, ""true_positive"": 5}]",1.0,retained_only,participant_oof_recomputed_conditional_and_abstention_aware
inception_full__b0_star_fixed10,1,0.5694444444444444,0.5734989648033126,0.7041861188920012,0.5900729023468205,0.4166666666666667,0.43478260869565216,29,"[0, 1, 2]",0.5694444444444444,0.595959595959596,0.5694444444444444,0.5734989648033126,0,"[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.5714285714285715, ""false_negative"": 3, ""false_positive"": 6, ""label"": 0, ""precision"": 0.5, ""recall"": 0.6666666666666666, ""retained_support"": 9, ""support"": 9, ""true_positive"": 6}, {""abstention_count"": 0, ""f1"": 0.43478260869565216, ""false_negative"": 7, ""false_positive"": 6, ""label"": 1, ""precision"": 0.45454545454545453, ""recall"": 0.4166666666666667, ""retained_support"": 12, ""support"": 12, ""true_positive"": 5}, {""abstention_count"": 0, ""f1"": 0.7142857142857143, ""false_negative"": 3, ""false_positive"": 1, ""label"": 2, ""precision"": 0.8333333333333334, ""recall"": 0.625, ""retained_support"": 8, ""support"": 8, ""true_positive"": 5}]",1.0,retained_only,participant_oof_recomputed_conditional_and_abstention_aware
inception_full__b0_star_fixed10,2,0.5601851851851852,0.5674074074074075,0.746164021164021,0.6748588039704311,0.5,0.48,29,"[0, 1, 2]",0.5601851851851852,0.5771265771265771,0.5601851851851852,0.5674074074074075,0,"[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.5555555555555556, ""false_negative"": 4, ""false_positive"": 4, ""label"": 0, ""precision"": 0.5555555555555556, ""recall"": 0.5555555555555556, ""retained_support"": 9, ""support"": 9, ""true_positive"": 5}, {""abstention_count"": 0, ""f1"": 0.48000000000000004, ""false_negative"": 6, ""false_positive"": 7, ""label"": 1, ""precision"": 0.46153846153846156, ""recall"": 0.5, ""retained_support"": 12, ""support"": 12, ""true_positive"": 6}, {""abstention_count"": 0, ""f1"": 0.6666666666666666, ""false_negative"": 3, ""false_positive"": 2, ""label"": 2, ""precision"": 0.7142857142857143, ""recall"": 0.625, ""retained_support"": 8, ""support"": 8, ""true_positive"": 5}]",1.0,retained_only,participant_oof_recomputed_conditional_and_abstention_aware
inception_full__b0_star_fixed10,3,0.5972222222222222,0.6047619047619048,0.751384998443822,0.6733380951948202,0.5,0.5,29,"[0, 1, 2]",0.5972222222222222,0.6262626262626263,0.5972222222222222,0.6047619047619048,0,"[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.6, ""false_negative"": 3, ""false_positive"": 5, ""label"": 0, ""precision"": 0.5454545454545454, ""recall"": 0.6666666666666666, ""retained_support"": 9, ""support"": 9, ""true_positive"": 6}, {""abstention_count"": 0, ""f1"": 0.5, ""false_negative"": 6, ""false_positive"": 6, ""label"": 1, ""precision"": 0.5, ""recall"": 0.5, ""retained_support"": 12, ""support"": 12, ""true_positive"": 6}, {""abstention_count"": 0, ""f1"": 0.7142857142857143, ""false_negative"": 3, ""false_positive"": 1, ""label"": 2, ""precision"": 0.8333333333333334, ""recall"": 0.625, ""retained_support"": 8, ""support"": 8, ""true_positive"": 5}]",1.0,retained_only,participant_oof_recomputed_conditional_and_abstention_aware
inception_full__b0_star_fixed10,4,0.5324074074074074,0.5365497076023392,0.7420634920634921,0.6734852189085597,0.4166666666666667,0.4166666666666667,29,"[0, 1, 2]",0.5324074074074074,0.5436507936507936,0.5324074074074074,0.5365497076023392,0,"[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.5263157894736842, ""false_negative"": 4, ""false_positive"": 5, ""label"": 0, ""precision"": 0.5, ""recall"": 0.5555555555555556, ""retained_support"": 9, ""support"": 9, ""true_positive"": 5}, {""abstention_count"": 0, ""f1"": 0.4166666666666667, ""false_negative"": 7, ""false_positive"": 7, ""label"": 1, ""precision"": 0.4166666666666667, ""recall"": 0.4166666666666667, ""retained_support"": 12, ""support"": 12, ""true_positive"": 5}, {""abstention_count"": 0, ""f1"": 0.6666666666666666, ""false_negative"": 3, ""false_positive"": 2, ""label"": 2, ""precision"": 0.7142857142857143, ""recall"": 0.625, ""retained_support"": 8, ""support"": 8, ""true_positive"": 5}]",1.0,retained_only,participant_oof_recomputed_conditional_and_abstention_aware
compact_cnn__b1_star_fixed10,0,0.5740740740740741,0.5836419753086419,0.6264394646747588,0.520509369857196,0.5,0.5333333333333333,29,"[0, 1, 2]",0.5740740740740741,0.6063492063492063,0.5740740740740741,0.5836419753086419,0,"[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.6250000000000001, ""false_negative"": 4, ""false_positive"": 2, ""label"": 0, ""precision"": 0.7142857142857143, ""recall"": 0.5555555555555556, ""retained_support"": 9, ""support"": 9, ""true_positive"": 5}, {""abstention_count"": 0, ""f1"": 0.5925925925925926, ""false_negative"": 4, ""false_positive"": 7, ""label"": 1, ""precision"": 0.5333333333333333, ""recall"": 0.6666666666666666, ""retained_support"": 12, ""support"": 12, ""true_positive"": 8}, {""abstention_count"": 0, ""f1"": 0.5333333333333333, ""false_negative"": 4, ""false_positive"": 3, ""label"": 2, ""precision"": 0.5714285714285714, ""recall"": 0.5, ""retained_support"": 8, ""support"": 8, ""true_positive"": 4}]",1.0,retained_only,participant_oof_recomputed_conditional_and_abstention_aware
