model,profile,factor_id,case_id,catalog_case_id,reference_case_id,native_aggregation_view,case_status,complete_for_requested_execution,expected_cell_count,passed_cell_count,declared_changed_control_paths,actual_changed_control_paths,single_factor_audit,controls_sha256,declared_controls_sha256,declared_controls_hash_matches,cross_model_profile_controls_match,interpretation,BA_W_sensitivity,macroF1_W_sensitivity,worst_class_F1_W_sensitivity,BA_A_sensitivity,macroF1_A_sensitivity,worst_class_F1_A_sensitivity,BA_B_sensitivity,macroF1_B_sensitivity,worst_class_F1_B_sensitivity,native_balanced_accuracy,native_macro_f1,native_worst_class_f1,native_metrics_available
CompactCNN1D,B0,baseline,compact_cnn__B0_star_fixed10,compact_cnn__b0_star_fixed10,,window_balanced_to_participant,passed,True,25,25,[],[],baseline_no_contrast,c8dcd75d9ccd4f363ed7d0f4b3e6b2f25940b5fe6a594e1da1cc82095253148d,c8dcd75d9ccd4f363ed7d0f4b3e6b2f25940b5fe6a594e1da1cc82095253148d,True,True,complete legacy baseline,0.537962962962963,0.529340908589125,0.44403162055335976,0.537962962962963,0.529340908589125,0.44403162055335976,0.5472222222222223,0.5402839958533862,0.4783126847576975,0.537962962962963,0.529340908589125,0.44403162055335976,True
InceptionTimeFull,B0,baseline,inception_full__B0_star_fixed10,inception_full__b0_star_fixed10,,window_balanced_to_participant,passed,True,25,25,[],[],baseline_no_contrast,c8dcd75d9ccd4f363ed7d0f4b3e6b2f25940b5fe6a594e1da1cc82095253148d,c8dcd75d9ccd4f363ed7d0f4b3e6b2f25940b5fe6a594e1da1cc82095253148d,True,True,complete legacy baseline,0.5675925925925926,0.572469237940634,0.4662898550724638,0.5675925925925926,0.572469237940634,0.4662898550724638,0.5731481481481481,0.5793725224055463,0.4698705608117373,0.5675925925925926,0.572469237940634,0.4662898550724638,True
CompactCNN1D,B1,sampling_rate,compact_cnn__B1_star_fixed10,compact_cnn__b1_star_fixed10,compact_cnn__B0_star_fixed10,window_balanced_to_participant,passed,True,25,25,"[""controls.target_fs_hz""]","[""controls.target_fs_hz""]",pass_exact_declared_paths,78a06f91022034b52bda3fcaf5b3e41202a585a28c0058f42b507e6017a965d8,78a06f91022034b52bda3fcaf5b3e41202a585a28c0058f42b507e6017a965d8,True,True,Target sample rate only: 64 to 400 Hz.,0.44907407407407407,0.4383311133311133,0.2938461538461538,0.44907407407407407,0.4387706737706737,0.2989743589743589,0.46944444444444444,0.4613015925709424,0.35128205128205126,0.44907407407407407,0.4383311133311133,0.2938461538461538,True
InceptionTimeFull,B1,sampling_rate,inception_full__B1_star_fixed10,inception_full__b1_star_fixed10,inception_full__B0_star_fixed10,window_balanced_to_participant,passed,True,25,25,"[""controls.target_fs_hz""]","[""controls.target_fs_hz""]",pass_exact_declared_paths,78a06f91022034b52bda3fcaf5b3e41202a585a28c0058f42b507e6017a965d8,78a06f91022034b52bda3fcaf5b3e41202a585a28c0058f42b507e6017a965d8,True,True,Target sample rate only: 64 to 400 Hz.,0.5027777777777778,0.5044802111468778,0.43364413364413357,0.5027777777777778,0.5047976714643381,0.43364413364413357,0.4935185185185185,0.4981263281989234,0.4615384615384615,0.5027777777777778,0.5044802111468778,0.43364413364413357,True
CompactCNN1D,B2,window_plan,compact_cnn__B2_star_fixed10,compact_cnn__b2_star_fixed10,compact_cnn__B0_star_fixed10,window_balanced_to_participant,passed,True,25,25,"[""controls.hop_seconds"", ""controls.window_seconds""]","[""controls.hop_seconds"", ""controls.window_seconds""]",pass_exact_declared_paths,9ed2c8b649171cd4c46468444c7e8097aff71e5fbaa2769010abf78abbf289e7,9ed2c8b649171cd4c46468444c7e8097aff71e5fbaa2769010abf78abbf289e7,True,True,Window plan only: 15/3 to 5/2.5 seconds; retain fraction 0.9 and no cap.,0.5685185185185185,0.5717506349859292,0.44268780239368477,0.5685185185185185,0.5717506349859292,0.44268780239368477,0.5194444444444445,0.5200425205438022,0.4219060166886254,0.5685185185185185,0.5717506349859292,0.44268780239368477,True
InceptionTimeFull,B2,window_plan,inception_full__B2_star_fixed10,inception_full__b2_star_fixed10,inception_full__B0_star_fixed10,window_balanced_to_participant,passed,True,25,25,"[""controls.hop_seconds"", ""controls.window_seconds""]","[""controls.hop_seconds"", ""controls.window_seconds""]",pass_exact_declared_paths,9ed2c8b649171cd4c46468444c7e8097aff71e5fbaa2769010abf78abbf289e7,9ed2c8b649171cd4c46468444c7e8097aff71e5fbaa2769010abf78abbf289e7,True,True,Window plan only: 15/3 to 5/2.5 seconds; retain fraction 0.9 and no cap.,0.5092592592592593,0.5179768116721278,0.4160856687172476,0.5092592592592593,0.5181863383377949,0.41621933621933627,0.5,0.5091715952776212,0.4101708817498292,0.5092592592592593,0.5179768116721278,0.4160856687172476,True
CompactCNN1D,B3,imu_preprocessing,compact_cnn__B3_star_fixed10,compact_cnn__b3_star_fixed10,compact_cnn__B0_star_fixed10,window_balanced_to_participant,passed,True,25,25,"[""controls.imu_preprocessing""]","[""controls.imu_preprocessing""]",pass_exact_declared_paths,79c93fa7a031a775b0c53db29de6b05e9199d5aacf59f0ba6dc58e2a98fc76ca,79c93fa7a031a775b0c53db29de6b05e9199d5aacf59f0ba6dc58e2a98fc76ca,True,True,IMU semantics only: legacy axes to calibrated EKF dynamic acceleration.,0.4722222222222222,0.4764479965714671,0.37069264069264074,0.4722222222222222,0.4764479965714671,0.37069264069264074,0.46388888888888885,0.46530617337706665,0.3542758857929137,0.4722222222222222,0.4764479965714671,0.37069264069264074,True
InceptionTimeFull,B3,imu_preprocessing,inception_full__B3_star_fixed10,inception_full__b3_star_fixed10,inception_full__B0_star_fixed10,window_balanced_to_participant,passed,True,25,25,"[""controls.imu_preprocessing""]","[""controls.imu_preprocessing""]",pass_exact_declared_paths,79c93fa7a031a775b0c53db29de6b05e9199d5aacf59f0ba6dc58e2a98fc76ca,79c93fa7a031a775b0c53db29de6b05e9199d5aacf59f0ba6dc58e2a98fc76ca,True,True,IMU semantics only: legacy axes to calibrated EKF dynamic acceleration.,0.49722222222222223,0.503421212048663,0.40295390883626175,0.49722222222222223,0.503421212048663,0.40295390883626175,0.512037037037037,0.5174045012816941,0.40896686159844053,0.49722222222222223,0.503421212048663,0.40295390883626175,True
CompactCNN1D,B4,normalization,compact_cnn__B4_star_fixed10,compact_cnn__b4_star_fixed10,compact_cnn__B0_star_fixed10,window_balanced_to_participant,passed,True,25,25,"[""controls.normalization""]","[""controls.normalization""]",pass_exact_declared_paths,c6fff508674ef56cf5606d1a6cf3b3be511f056c1590438933bedbe2aac46cec,c6fff508674ef56cf5606d1a6cf3b3be511f056c1590438933bedbe2aac46cec,True,True,Normalization only: all-eight per-window to PPG-window plus outer-train IMU-fold scaling.,0.4333333333333333,0.427898542196384,0.34326993955476925,0.4333333333333333,0.427898542196384,0.34326993955476925,0.4203703703703704,0.4222084311710551,0.3305050505050505,0.4333333333333333,0.427898542196384,0.34326993955476925,True
InceptionTimeFull,B4,normalization,inception_full__B4_star_fixed10,inception_full__b4_star_fixed10,inception_full__B0_star_fixed10,window_balanced_to_participant,passed,True,25,25,"[""controls.normalization""]","[""controls.normalization""]",pass_exact_declared_paths,c6fff508674ef56cf5606d1a6cf3b3be511f056c1590438933bedbe2aac46cec,c6fff508674ef56cf5606d1a6cf3b3be511f056c1590438933bedbe2aac46cec,True,True,Normalization only: all-eight per-window to PPG-window plus outer-train IMU-fold scaling.,0.4296296296296297,0.4308200763273227,0.3466666666666666,0.4296296296296297,0.4308200763273227,0.3466666666666666,0.41574074074074074,0.4144678741322524,0.3175438596491228,0.4296296296296297,0.4308200763273227,0.3466666666666666,True
