model,factor_id,reference_profile,variant_profile,reference_case_id,variant_case_id,reference_catalog_case_id,variant_catalog_case_id,reference_native_aggregation_view,variant_native_aggregation_view,native_comparison_semantics,declared_changed_control_paths,actual_changed_control_paths,single_factor_audit,all_requested_cells,seed_match,split_hash_match,heldout_roster_hash_match,single_factor_match,controls_integrity_match,all_requested_native_fold_metrics_available,cases_complete,contrast_metrics_available,unavailable_reasons,fold_delta_inference,shared_reference_warning,report_view_factor_training_controls_identical,window_oof_identity_audit_status,reference_native_balanced_accuracy,variant_native_balanced_accuracy,delta_native_balanced_accuracy,delta_balanced_accuracy_W_sensitivity_only,delta_balanced_accuracy_A_sensitivity_only,delta_balanced_accuracy_B_sensitivity_only,reference_native_macro_f1,variant_native_macro_f1,delta_native_macro_f1,delta_macro_f1_W_sensitivity_only,delta_macro_f1_A_sensitivity_only,delta_macro_f1_B_sensitivity_only,reference_native_worst_class_f1,variant_native_worst_class_f1,delta_native_worst_class_f1,delta_worst_class_f1_W_sensitivity_only,delta_worst_class_f1_A_sensitivity_only,delta_worst_class_f1_B_sensitivity_only,report_view_factor_window_oof_probabilities_identical,reference_window_oof_row_count,variant_window_oof_row_count,matched_window_oof_row_count,window_oof_probability_max_abs_diff,reference_window_oof_identity_sha256,variant_window_oof_identity_sha256,reference_window_oof_probability_sha256,variant_window_oof_probability_sha256
CompactCNN1D,sampling_rate,B0,B1,compact_cnn__B0_star_fixed10,compact_cnn__B1_star_fixed10,compact_cnn__b0_star_fixed10,compact_cnn__b1_star_fixed10,window_balanced_to_participant,window_balanced_to_participant,same_window_balanced_endpoint,"[""controls.target_fs_hz""]","[""controls.target_fs_hz""]",pass_exact_declared_paths,True,True,True,True,True,True,True,True,True,[],descriptive_only_no_ci_no_significance,same_model_B0_is_reused_across_seven_correlated_contrasts,,not_applicable_non_report_view_factor,0.537962962962963,0.44907407407407407,-0.0888888888888889,-0.0888888888888889,-0.0888888888888889,-0.07777777777777783,0.529340908589125,0.4383311133311133,-0.09100979525801167,-0.09100979525801167,-0.09057023481845128,-0.07898240328244377,0.44403162055335976,0.2938461538461538,-0.15018546670720595,-0.15018546670720595,-0.14505726157900084,-0.12703063347564625,,,,,,,,,
InceptionTimeFull,sampling_rate,B0,B1,inception_full__B0_star_fixed10,inception_full__B1_star_fixed10,inception_full__b0_star_fixed10,inception_full__b1_star_fixed10,window_balanced_to_participant,window_balanced_to_participant,same_window_balanced_endpoint,"[""controls.target_fs_hz""]","[""controls.target_fs_hz""]",pass_exact_declared_paths,True,True,True,True,True,True,True,True,True,[],descriptive_only_no_ci_no_significance,same_model_B0_is_reused_across_seven_correlated_contrasts,,not_applicable_non_report_view_factor,0.5675925925925926,0.5027777777777778,-0.06481481481481488,-0.06481481481481488,-0.06481481481481488,-0.07962962962962955,0.572469237940634,0.5044802111468778,-0.06798902679375618,-0.06798902679375618,-0.06767156647629591,-0.08124619420662288,0.4662898550724638,0.43364413364413357,-0.03264572142833022,-0.03264572142833022,-0.03264572142833022,-0.008332099273275773,,,,,,,,,
CompactCNN1D,window_plan,B0,B2,compact_cnn__B0_star_fixed10,compact_cnn__B2_star_fixed10,compact_cnn__b0_star_fixed10,compact_cnn__b2_star_fixed10,window_balanced_to_participant,window_balanced_to_participant,same_window_balanced_endpoint,"[""controls.hop_seconds"", ""controls.window_seconds""]","[""controls.hop_seconds"", ""controls.window_seconds""]",pass_exact_declared_paths,True,True,True,True,True,True,True,True,True,[],descriptive_only_no_ci_no_significance,same_model_B0_is_reused_across_seven_correlated_contrasts,,not_applicable_non_report_view_factor,0.537962962962963,0.5685185185185185,0.030555555555555558,0.030555555555555558,0.030555555555555558,-0.02777777777777779,0.529340908589125,0.5717506349859292,0.04240972639680418,0.04240972639680418,0.04240972639680418,-0.02024147530958398,0.44403162055335976,0.44268780239368477,-0.001343818159674992,-0.001343818159674992,-0.001343818159674992,-0.05640666806907213,,,,,,,,,
InceptionTimeFull,window_plan,B0,B2,inception_full__B0_star_fixed10,inception_full__B2_star_fixed10,inception_full__b0_star_fixed10,inception_full__b2_star_fixed10,window_balanced_to_participant,window_balanced_to_participant,same_window_balanced_endpoint,"[""controls.hop_seconds"", ""controls.window_seconds""]","[""controls.hop_seconds"", ""controls.window_seconds""]",pass_exact_declared_paths,True,True,True,True,True,True,True,True,True,[],descriptive_only_no_ci_no_significance,same_model_B0_is_reused_across_seven_correlated_contrasts,,not_applicable_non_report_view_factor,0.5675925925925926,0.5092592592592593,-0.05833333333333335,-0.05833333333333335,-0.05833333333333335,-0.07314814814814807,0.572469237940634,0.5179768116721278,-0.054492426268506144,-0.054492426268506144,-0.05428289960283905,-0.07020092712792503,0.4662898550724638,0.4160856687172476,-0.050204186355216174,-0.050204186355216174,-0.05007051885312752,-0.059699679061908095,,,,,,,,,
CompactCNN1D,imu_preprocessing,B0,B3,compact_cnn__B0_star_fixed10,compact_cnn__B3_star_fixed10,compact_cnn__b0_star_fixed10,compact_cnn__b3_star_fixed10,window_balanced_to_participant,window_balanced_to_participant,same_window_balanced_endpoint,"[""controls.imu_preprocessing""]","[""controls.imu_preprocessing""]",pass_exact_declared_paths,True,True,True,True,True,True,True,True,True,[],descriptive_only_no_ci_no_significance,same_model_B0_is_reused_across_seven_correlated_contrasts,,not_applicable_non_report_view_factor,0.537962962962963,0.4722222222222222,-0.06574074074074077,-0.06574074074074077,-0.06574074074074077,-0.08333333333333343,0.529340908589125,0.4764479965714671,-0.05289291201765789,-0.05289291201765789,-0.05289291201765789,-0.07497782247631951,0.44403162055335976,0.37069264069264074,-0.07333897986071902,-0.07333897986071902,-0.07333897986071902,-0.12403679896478381,,,,,,,,,
InceptionTimeFull,imu_preprocessing,B0,B3,inception_full__B0_star_fixed10,inception_full__B3_star_fixed10,inception_full__b0_star_fixed10,inception_full__b3_star_fixed10,window_balanced_to_participant,window_balanced_to_participant,same_window_balanced_endpoint,"[""controls.imu_preprocessing""]","[""controls.imu_preprocessing""]",pass_exact_declared_paths,True,True,True,True,True,True,True,True,True,[],descriptive_only_no_ci_no_significance,same_model_B0_is_reused_across_seven_correlated_contrasts,,not_applicable_non_report_view_factor,0.5675925925925926,0.49722222222222223,-0.07037037037037042,-0.07037037037037042,-0.07037037037037042,-0.061111111111111116,0.572469237940634,0.503421212048663,-0.06904802589197101,-0.06904802589197101,-0.06904802589197101,-0.061968021123852135,0.4662898550724638,0.40295390883626175,-0.06333594623620203,-0.06333594623620203,-0.06333594623620203,-0.06090369921329675,,,,,,,,,
CompactCNN1D,normalization,B0,B4,compact_cnn__B0_star_fixed10,compact_cnn__B4_star_fixed10,compact_cnn__b0_star_fixed10,compact_cnn__b4_star_fixed10,window_balanced_to_participant,window_balanced_to_participant,same_window_balanced_endpoint,"[""controls.normalization""]","[""controls.normalization""]",pass_exact_declared_paths,True,True,True,True,True,True,True,True,True,[],descriptive_only_no_ci_no_significance,same_model_B0_is_reused_across_seven_correlated_contrasts,,not_applicable_non_report_view_factor,0.537962962962963,0.4333333333333333,-0.10462962962962968,-0.10462962962962968,-0.10462962962962968,-0.12685185185185188,0.529340908589125,0.427898542196384,-0.10144236639274096,-0.10144236639274096,-0.10144236639274096,-0.11807556468233105,0.44403162055335976,0.34326993955476925,-0.10076168099859051,-0.10076168099859051,-0.10076168099859051,-0.14780763425264698,,,,,,,,,
InceptionTimeFull,normalization,B0,B4,inception_full__B0_star_fixed10,inception_full__B4_star_fixed10,inception_full__b0_star_fixed10,inception_full__b4_star_fixed10,window_balanced_to_participant,window_balanced_to_participant,same_window_balanced_endpoint,"[""controls.normalization""]","[""controls.normalization""]",pass_exact_declared_paths,True,True,True,True,True,True,True,True,True,[],descriptive_only_no_ci_no_significance,same_model_B0_is_reused_across_seven_correlated_contrasts,,not_applicable_non_report_view_factor,0.5675925925925926,0.4296296296296297,-0.13796296296296295,-0.13796296296296295,-0.13796296296296295,-0.15740740740740733,0.572469237940634,0.4308200763273227,-0.14164916161331126,-0.14164916161331126,-0.14164916161331126,-0.16490464827329387,0.4662898550724638,0.3466666666666666,-0.11962318840579717,-0.11962318840579717,-0.11962318840579717,-0.1523267011626145,,,,,,,,,
CompactCNN1D,sampler,B0,B5,compact_cnn__B0_star_fixed10,compact_cnn__B5_star_fixed10,compact_cnn__b0_star_fixed10,compact_cnn__b5_star_fixed10,window_balanced_to_participant,window_balanced_to_participant,same_window_balanced_endpoint,"[""controls.sampler""]","[""controls.sampler""]",pass_exact_declared_paths,True,True,True,True,True,True,True,True,True,[],descriptive_only_no_ci_no_significance,same_model_B0_is_reused_across_seven_correlated_contrasts,,not_applicable_non_report_view_factor,0.537962962962963,0.5231481481481481,-0.014814814814814836,-0.014814814814814836,-0.014814814814814836,-0.061111111111111116,0.529340908589125,0.5338214460928243,0.004480537503699367,0.004480537503699367,0.004480537503699367,-0.04496115702141962,0.44403162055335976,0.4490920060331825,0.005060385479822738,0.005060385479822738,0.005060385479822738,-0.045306148809985125,,,,,,,,,
InceptionTimeFull,sampler,B0,B5,inception_full__B0_star_fixed10,inception_full__B5_star_fixed10,inception_full__b0_star_fixed10,inception_full__b5_star_fixed10,window_balanced_to_participant,window_balanced_to_participant,same_window_balanced_endpoint,"[""controls.sampler""]","[""controls.sampler""]",pass_exact_declared_paths,True,True,True,True,True,True,True,True,True,[],descriptive_only_no_ci_no_significance,same_model_B0_is_reused_across_seven_correlated_contrasts,,not_applicable_non_report_view_factor,0.5675925925925926,0.5231481481481481,-0.04444444444444451,-0.04444444444444451,-0.050000000000000044,-0.062037037037037,0.572469237940634,0.5208535402269419,-0.05161569771369212,-0.05161569771369212,-0.05727771600728948,-0.07175260041222276,0.4662898550724638,0.43076179858788555,-0.03552805648457824,-0.03552805648457824,-0.04441694537346719,-0.06276148377131008,,,,,,,,,
