model,factor_id,reference_profile,variant_profile,reference_case_id,variant_case_id,repeat,fold,reference_native_aggregation_view,variant_native_aggregation_view,contrast_metrics_available,inference,reference_native_balanced_accuracy,variant_native_balanced_accuracy,delta_native_balanced_accuracy,reference_native_macro_f1,variant_native_macro_f1,delta_native_macro_f1,reference_native_worst_class_f1,variant_native_worst_class_f1,delta_native_worst_class_f1
CompactCNN1D,sampling_rate,B0,B1,compact_cnn__B0_star_fixed10,compact_cnn__B1_star_fixed10,0,0,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.5,0.5,0.0,0.5,0.4444444444444444,-0.05555555555555558,0.5,0.0,-0.5
CompactCNN1D,sampling_rate,B0,B1,compact_cnn__B0_star_fixed10,compact_cnn__B1_star_fixed10,0,1,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.611111111111111,0.7222222222222222,0.11111111111111116,0.5,0.7222222222222222,0.2222222222222222,0.5,0.5,0.0
CompactCNN1D,sampling_rate,B0,B1,compact_cnn__B0_star_fixed10,compact_cnn__B1_star_fixed10,0,2,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.09523809523809523,0.27777777777777773,0.1825396825396825,0.0,0.0,0.0
CompactCNN1D,sampling_rate,B0,B1,compact_cnn__B0_star_fixed10,compact_cnn__B1_star_fixed10,0,3,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.5,0.8333333333333334,0.33333333333333337,0.5,0.8222222222222223,0.3222222222222223,0.5,0.6666666666666666,0.16666666666666663
CompactCNN1D,sampling_rate,B0,B1,compact_cnn__B0_star_fixed10,compact_cnn__B1_star_fixed10,0,4,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.6666666666666666,0.5555555555555555,-0.11111111111111116,0.38888888888888884,0.4444444444444444,0.05555555555555558,0.0,0.0,0.0
CompactCNN1D,sampling_rate,B0,B1,compact_cnn__B0_star_fixed10,compact_cnn__B1_star_fixed10,1,0,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.5,0.3333333333333333,-0.16666666666666669,0.4166666666666667,0.2857142857142857,-0.130952380952381,0.0,0.0,0.0
CompactCNN1D,sampling_rate,B0,B1,compact_cnn__B0_star_fixed10,compact_cnn__B1_star_fixed10,1,1,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.7222222222222222,0.611111111111111,-0.11111111111111116,0.6666666666666666,0.5222222222222223,-0.14444444444444438,0.6666666666666666,0.4,-0.2666666666666666
CompactCNN1D,sampling_rate,B0,B1,compact_cnn__B0_star_fixed10,compact_cnn__B1_star_fixed10,1,2,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.3333333333333333,0.3333333333333333,0.0,0.19047619047619047,0.19047619047619047,0.0,0.0,0.0,0.0
CompactCNN1D,sampling_rate,B0,B1,compact_cnn__B0_star_fixed10,compact_cnn__B1_star_fixed10,1,3,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.5,0.16666666666666666,-0.33333333333333337,0.43333333333333335,0.1111111111111111,-0.32222222222222224,0.0,0.0,0.0
CompactCNN1D,sampling_rate,B0,B1,compact_cnn__B0_star_fixed10,compact_cnn__B1_star_fixed10,1,4,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.8333333333333334,0.3333333333333333,-0.5,0.8222222222222223,0.19047619047619047,-0.6317460317460318,0.6666666666666666,0.0,-0.6666666666666666
CompactCNN1D,sampling_rate,B0,B1,compact_cnn__B0_star_fixed10,compact_cnn__B1_star_fixed10,2,0,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.611111111111111,0.38888888888888884,-0.2222222222222222,0.5222222222222221,0.41269841269841273,-0.10952380952380941,0.4,0.0,-0.4
CompactCNN1D,sampling_rate,B0,B1,compact_cnn__B0_star_fixed10,compact_cnn__B1_star_fixed10,2,1,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.8333333333333334,0.5,-0.33333333333333337,0.8222222222222223,0.38888888888888884,-0.43333333333333346,0.6666666666666666,0.0,-0.6666666666666666
CompactCNN1D,sampling_rate,B0,B1,compact_cnn__B0_star_fixed10,compact_cnn__B1_star_fixed10,2,2,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.43333333333333335,0.13333333333333333,-0.30000000000000004,0.0,0.0,0.0
CompactCNN1D,sampling_rate,B0,B1,compact_cnn__B0_star_fixed10,compact_cnn__B1_star_fixed10,2,3,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.6666666666666666,0.5,-0.16666666666666663,0.6666666666666666,0.38888888888888884,-0.2777777777777778,0.6666666666666666,0.0,-0.6666666666666666
CompactCNN1D,sampling_rate,B0,B1,compact_cnn__B0_star_fixed10,compact_cnn__B1_star_fixed10,2,4,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.3333333333333333,0.5,0.16666666666666669,0.19047619047619047,0.43333333333333335,0.24285714285714288,0.0,0.0,0.0
CompactCNN1D,sampling_rate,B0,B1,compact_cnn__B0_star_fixed10,compact_cnn__B1_star_fixed10,3,0,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.7777777777777777,0.6666666666666666,-0.11111111111111105,0.7222222222222222,0.4444444444444444,-0.2777777777777778,0.5,0.0,-0.5
CompactCNN1D,sampling_rate,B0,B1,compact_cnn__B0_star_fixed10,compact_cnn__B1_star_fixed10,3,1,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.5,0.5,0.0,0.41269841269841273,0.41269841269841273,0.0,0.0,0.0,0.0
CompactCNN1D,sampling_rate,B0,B1,compact_cnn__B0_star_fixed10,compact_cnn__B1_star_fixed10,3,2,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.5,0.6666666666666666,0.16666666666666663,0.41269841269841273,0.6666666666666666,0.2539682539682539,0.0,0.5,0.5
CompactCNN1D,sampling_rate,B0,B1,compact_cnn__B0_star_fixed10,compact_cnn__B1_star_fixed10,3,3,window_balanced_to_participant,window_balanced_to_participant,True,descriptive_only_no_ci_no_significance,0.5,0.3333333333333333,-0.16666666666666669,0.4444444444444444,0.27777777777777773,-0.16666666666666669,0.0,0.0,0.0
