table,table_status,figure,figure_status,figure_path,reason
classification_prediction_scores,available,classification_prediction_scores,generated,figures/classification_prediction_scores.png,
classification_diagnostic_status,available,classification_prediction_scores,generated,figures/classification_prediction_scores.png,
classification_prediction_tsne,available,classification_prediction_tsne,generated,figures/classification_prediction_tsne.png,
classification_diagnostic_status,available,classification_prediction_tsne,generated,figures/classification_prediction_tsne.png,
classification_roc_curves,available,classification_roc_auc_curves,generated,figures/classification_roc_auc_curves.png,
classification_diagnostic_status,available,classification_roc_auc_curves,generated,figures/classification_roc_auc_curves.png,
predictive_leaderboard,available,leaderboard,generated,figures/leaderboard.png,
repeat_metrics,available,stability,generated,figures/stability.png,
repeat_metrics,available,macro_f1_stability,generated,figures/macro_f1_stability.png,
repeat_metrics,available,roc_pr_auc_stability,generated,figures/roc_pr_auc_stability.png,
repeat_per_class_metrics,available,per_class_metric_stability,generated,figures/per_class_metric_stability.png,
per_class_metric_distribution_summary,available,per_class_metric_stability,generated,figures/per_class_metric_stability.png,
worst_class_f1_stability,available,worst_class_f1_stability,generated,figures/worst_class_f1_stability.png,
fold_metrics,available,fold_heatmap,generated,figures/fold_heatmap.png,
paired_deltas,available,paired_deltas,N/A,figures/paired_deltas.NA.txt,ValueError: reference-paired repeat deltas unavailable
paired_deltas,available,ablation_sensitivity_metrics,generated,figures/ablation_sensitivity_metrics.png,
stage3_star_fold_contrasts,available,ablation_sensitivity_metrics,generated,figures/ablation_sensitivity_metrics.png,
coverage,available,coverage,generated,figures/coverage.png,
route_role_coverage,available,route_role_coverage,generated,figures/route_role_coverage.png,
denoiser_hr_comparison,available,denoiser_hr_comparison,N/A,figures/denoiser_hr_comparison.NA.txt,ValueError: paired direct/post-denoiser HR evidence unavailable
quality_distributions,available,quality_distributions,N/A,figures/quality_distributions.NA.txt,ValueError: route/role quality-component distributions unavailable
calibration_bins,available,calibration,generated,figures/calibration.png,
confusion_matrices,available,confusion_matrices,generated,figures/confusion_matrices.png,
confusion_row_normalized,available,confusion_matrices_row_normalized,generated,figures/confusion_matrices_row_normalized.png,
per_class_metrics,available,per_class,generated,figures/per_class.png,
aggregation_view_comparison,available,aggregation_view_metrics,generated,figures/aggregation_view_metrics.png,
aggregation_hierarchy_coverage,available,aggregation_hierarchy_coverage,generated,figures/aggregation_hierarchy_coverage.png,
aggregation_view_confusion_matrices,available,aggregation_view_confusion_matrices,generated,figures/aggregation_view_confusion_matrices.png,
aggregation_view_confusion_matrices,available,aggregation_view_confusion_matrices_row_normalized,generated,figures/aggregation_view_confusion_matrices_row_normalized.png,
aggregation_view_per_class_metrics,available,aggregation_view_per_class,generated,figures/aggregation_view_per_class.png,
training_history_raw,available,learning_curves,generated,figures/learning_curves.png,
training_history_raw,available,top_learning_curves,generated,figures/top_learning_curves.png,
predictive_leaderboard,available,top_learning_curves,generated,figures/top_learning_curves.png,
training_history_raw,available,balanced_accuracy_learning_curves,generated,figures/balanced_accuracy_learning_curves.png,
training_history_raw,available,top_balanced_accuracy_learning_curves,generated,figures/top_balanced_accuracy_learning_curves.png,
predictive_leaderboard,available,top_balanced_accuracy_learning_curves,generated,figures/top_balanced_accuracy_learning_curves.png,
varied_parameters,available,parameter_effects,N/A,figures/parameter_effects.NA.txt,ValueError: no declared varied axis
repeat_metrics,available,parameter_effects,N/A,figures/parameter_effects.NA.txt,ValueError: no declared varied axis
varied_parameters,available,parameter_interaction,N/A,figures/parameter_interaction.NA.txt,ValueError: requires at least two declared varied axes
repeat_metrics,available,parameter_interaction,N/A,figures/parameter_interaction.NA.txt,ValueError: requires at least two declared varied axes
stage3_star_contrasts,available,stage3_star_model_deltas,generated,figures/stage3_star_model_deltas.png,
stage3_star_fold_contrasts,available,stage3_star_fold_delta_heatmap,generated,figures/stage3_star_fold_delta_heatmap.png,
