worst_class_f1_stability_rank,predictive_rank,case_id,abstention_aware_worst_class_f1,abstention_aware_worst_class_recall,worst_class_f1,worst_class_recall,participant_abstention_aware_balanced_accuracy_mean_sd,participant_balanced_accuracy_mean_sd,balanced_accuracy_lcb95
1,1,compact_cnn__b2_star_fixed10,0.5376344086021506,0.55,0.5376344086021505,0.55,56.9 ± 5.3,56.9 ± 5.3,0.5119592463336416
2,4,inception_full__b6_star_fixed10,0.49586776859504134,0.5,0.49586776859504134,0.5,56.0 ± 3.4,56.0 ± 3.4,0.5239217349331545
3,7,compact_cnn__b5_star_fixed10,0.4923076923076923,0.5111111111111111,0.49230769230769234,0.5111111111111111,52.3 ± 3.2,52.3 ± 3.2,0.48938871320583954
4,2,inception_full__b0_star_fixed10,0.4918032786885246,0.5,0.4918032786885246,0.5,56.8 ± 2.1,56.8 ± 2.1,0.5447426752775419
5,3,inception_full__b7_star_fixed10,0.4918032786885246,0.5,0.4918032786885246,0.5,56.8 ± 2.1,56.8 ± 2.1,0.5447426752775419
6,10,inception_full__b1_star_fixed10,0.48571428571428565,0.425,0.4857142857142857,0.425,50.3 ± 2.0,50.3 ± 2.0,0.48124471956986226
7,5,compact_cnn__b0_star_fixed10,0.4827586206896552,0.4666666666666667,0.4827586206896552,0.4666666666666667,53.8 ± 6.1,53.8 ± 6.1,0.47306290559974684
8,6,compact_cnn__b7_star_fixed10,0.4827586206896552,0.4666666666666667,0.4827586206896552,0.4666666666666667,53.8 ± 6.1,53.8 ± 6.1,0.47306290559974684
9,11,inception_full__b3_star_fixed10,0.464,0.475,0.464,0.475,49.7 ± 5.3,49.7 ± 5.3,0.44107781582525646
10,9,inception_full__b2_star_fixed10,0.4545454545454546,0.4444444444444444,0.45454545454545453,0.4444444444444444,50.9 ± 4.7,50.9 ± 4.7,0.45961574716829895
