case_id,predictive_rank,true_class,predicted_class,metric_source,row_fraction
b16_lr1e-4,2,0,0,participant_oof_pooled_repeats,0.6222222222222222
b16_lr1e-4,2,0,1,participant_oof_pooled_repeats,0.3333333333333333
b16_lr1e-4,2,0,2,participant_oof_pooled_repeats,0.044444444444444446
b16_lr1e-4,2,1,0,participant_oof_pooled_repeats,0.36666666666666664
b16_lr1e-4,2,1,1,participant_oof_pooled_repeats,0.45
b16_lr1e-4,2,1,2,participant_oof_pooled_repeats,0.18333333333333332
b16_lr1e-4,2,2,0,participant_oof_pooled_repeats,0.15
b16_lr1e-4,2,2,1,participant_oof_pooled_repeats,0.275
b16_lr1e-4,2,2,2,participant_oof_pooled_repeats,0.575
b32_lr1e-4,3,0,0,participant_oof_pooled_repeats,0.5555555555555556
b32_lr1e-4,3,0,1,participant_oof_pooled_repeats,0.35555555555555557
b32_lr1e-4,3,0,2,participant_oof_pooled_repeats,0.08888888888888889
b32_lr1e-4,3,1,0,participant_oof_pooled_repeats,0.2833333333333333
b32_lr1e-4,3,1,1,participant_oof_pooled_repeats,0.5
b32_lr1e-4,3,1,2,participant_oof_pooled_repeats,0.21666666666666667
b32_lr1e-4,3,2,0,participant_oof_pooled_repeats,0.175
b32_lr1e-4,3,2,1,participant_oof_pooled_repeats,0.325
b32_lr1e-4,3,2,2,participant_oof_pooled_repeats,0.5
b32_lr1e-3,1,0,0,participant_oof_pooled_repeats,0.7333333333333333
b32_lr1e-3,1,0,1,participant_oof_pooled_repeats,0.24444444444444444
b32_lr1e-3,1,0,2,participant_oof_pooled_repeats,0.022222222222222223
b32_lr1e-3,1,1,0,participant_oof_pooled_repeats,0.38333333333333336
b32_lr1e-3,1,1,1,participant_oof_pooled_repeats,0.5
b32_lr1e-3,1,1,2,participant_oof_pooled_repeats,0.11666666666666667
b32_lr1e-3,1,2,0,participant_oof_pooled_repeats,0.15
b32_lr1e-3,1,2,1,participant_oof_pooled_repeats,0.4
b32_lr1e-3,1,2,2,participant_oof_pooled_repeats,0.45
