case_id,metric,metric_source,n,mean_sd,ci95
b16_lr1e-4,balanced_accuracy,participant_oof,5,54.9 ± 4.1,"[49.8, 60.1]"
b16_lr1e-4,macro_f1,participant_oof,5,54.6 ± 4.5,"[49.0, 60.1]"
b16_lr1e-4,macro_roc_auc_ovr,participant_oof,5,73.0 ± 2.4,"[70.0, 76.1]"
b16_lr1e-4,macro_pr_auc_ovr,participant_oof,5,64.7 ± 3.7,"[60.1, 69.3]"
b16_lr1e-4,abstention_aware_balanced_accuracy,participant_oof,5,54.9 ± 4.1,"[49.8, 60.1]"
b16_lr1e-4,abstention_aware_macro_f1,participant_oof,5,54.6 ± 4.5,"[49.0, 60.1]"
b32_lr1e-4,balanced_accuracy,participant_oof,5,51.9 ± 7.2,"[42.9, 60.8]"
b32_lr1e-4,macro_f1,participant_oof,5,51.3 ± 6.8,"[42.8, 59.7]"
b32_lr1e-4,macro_roc_auc_ovr,participant_oof,5,71.4 ± 1.1,"[70.1, 72.8]"
b32_lr1e-4,macro_pr_auc_ovr,participant_oof,5,61.5 ± 1.0,"[60.3, 62.8]"
b32_lr1e-4,abstention_aware_balanced_accuracy,participant_oof,5,51.9 ± 7.2,"[42.9, 60.8]"
b32_lr1e-4,abstention_aware_macro_f1,participant_oof,5,51.3 ± 6.8,"[42.8, 59.7]"
b32_lr1e-3,balanced_accuracy,participant_oof,5,56.1 ± 6.4,"[48.2, 64.0]"
b32_lr1e-3,macro_f1,participant_oof,5,55.4 ± 8.1,"[45.4, 65.4]"
b32_lr1e-3,macro_roc_auc_ovr,participant_oof,5,73.3 ± 2.6,"[70.0, 76.6]"
b32_lr1e-3,macro_pr_auc_ovr,participant_oof,5,64.2 ± 5.3,"[57.7, 70.8]"
b32_lr1e-3,abstention_aware_balanced_accuracy,participant_oof,5,56.1 ± 6.4,"[48.2, 64.0]"
b32_lr1e-3,abstention_aware_macro_f1,participant_oof,5,55.4 ± 8.1,"[45.4, 65.4]"
