case_id,class_label,class_name,metric,n,mean_sd,ci95
b16_lr1e-4,0,Pre-Frail,balanced_accuracy_ovr,5,67.1 ± 7.8,"[57.4, 76.8]"
b16_lr1e-4,0,Pre-Frail,f1,5,54.7 ± 11.3,"[40.6, 68.8]"
b16_lr1e-4,0,Pre-Frail,recall,5,62.2 ± 16.9,"[41.3, 83.1]"
b16_lr1e-4,0,Pre-Frail,specificity,5,72.0 ± 4.5,"[66.4, 77.6]"
b16_lr1e-4,0,Pre-Frail,roc_auc_ovr,5,78.0 ± 3.4,"[73.8, 82.2]"
b16_lr1e-4,0,Pre-Frail,pr_auc_ovr,5,61.7 ± 4.1,"[56.7, 66.8]"
b16_lr1e-4,1,Robust/Non-Frail,balanced_accuracy_ovr,5,57.2 ± 3.8,"[52.5, 61.9]"
b16_lr1e-4,1,Robust/Non-Frail,f1,5,47.6 ± 3.3,"[43.6, 51.7]"
b16_lr1e-4,1,Robust/Non-Frail,recall,5,45.0 ± 7.5,"[35.7, 54.3]"
b16_lr1e-4,1,Robust/Non-Frail,specificity,5,69.4 ± 12.8,"[53.6, 85.2]"
b16_lr1e-4,1,Robust/Non-Frail,roc_auc_ovr,5,61.0 ± 3.9,"[56.1, 65.8]"
b16_lr1e-4,1,Robust/Non-Frail,pr_auc_ovr,5,60.8 ± 5.8,"[53.6, 68.0]"
b16_lr1e-4,2,Young,balanced_accuracy_ovr,5,72.6 ± 7.0,"[63.8, 81.3]"
b16_lr1e-4,2,Young,f1,5,61.3 ± 10.2,"[48.6, 74.0]"
b16_lr1e-4,2,Young,recall,5,57.5 ± 6.8,"[49.0, 66.0]"
b16_lr1e-4,2,Young,specificity,5,87.6 ± 9.9,"[75.4, 99.9]"
b16_lr1e-4,2,Young,roc_auc_ovr,5,80.1 ± 6.3,"[72.3, 88.0]"
b16_lr1e-4,2,Young,pr_auc_ovr,5,71.6 ± 11.2,"[57.6, 85.5]"
b32_lr1e-3,0,Pre-Frail,balanced_accuracy_ovr,5,72.2 ± 4.9,"[66.0, 78.3]"
b32_lr1e-3,0,Pre-Frail,f1,5,61.6 ± 6.3,"[53.8, 69.4]"
b32_lr1e-3,0,Pre-Frail,recall,5,73.3 ± 12.7,"[57.6, 89.1]"
b32_lr1e-3,0,Pre-Frail,specificity,5,71.0 ± 9.6,"[59.1, 82.9]"
b32_lr1e-3,0,Pre-Frail,roc_auc_ovr,5,78.0 ± 4.0,"[73.0, 83.0]"
b32_lr1e-3,0,Pre-Frail,pr_auc_ovr,5,62.4 ± 6.2,"[54.7, 70.1]"
b32_lr1e-3,1,Robust/Non-Frail,balanced_accuracy_ovr,5,59.1 ± 6.6,"[51.0, 67.3]"
b32_lr1e-3,1,Robust/Non-Frail,f1,5,50.4 ± 11.3,"[36.4, 64.4]"
b32_lr1e-3,1,Robust/Non-Frail,recall,5,50.0 ± 15.6,"[30.6, 69.4]"
b32_lr1e-3,1,Robust/Non-Frail,specificity,5,68.2 ± 5.3,"[61.7, 74.8]"
b32_lr1e-3,1,Robust/Non-Frail,roc_auc_ovr,5,62.8 ± 3.6,"[58.4, 67.3]"
b32_lr1e-3,1,Robust/Non-Frail,pr_auc_ovr,5,58.6 ± 5.9,"[51.3, 65.9]"
b32_lr1e-3,2,Young,balanced_accuracy_ovr,5,68.7 ± 8.2,"[58.5, 78.8]"
b32_lr1e-3,2,Young,f1,5,54.1 ± 15.0,"[35.5, 72.8]"
