case_id,repeat,balanced_accuracy,macro_f1,macro_roc_auc_ovr,macro_pr_auc_ovr,worst_class_recall,worst_class_f1,n_predictions,class_order,abstention_aware_balanced_accuracy,abstention_aware_macro_precision,abstention_aware_macro_recall,abstention_aware_macro_f1,abstention_count,abstention_counts_by_class,abstention_aware_per_class,coverage_rate,abstention_probability_metrics_scope,metric_source
b16_lr1e-4,0,0.5694444444444444,0.5598484848484848,0.7403906006847184,0.6525125822351223,0.4166666666666667,0.45454545454545453,29,"[0, 1, 2]",0.5694444444444444,0.5568181818181818,0.5694444444444444,0.5598484848484848,0,"[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.6, ""false_negative"": 3, ""false_positive"": 5, ""label"": 0, ""precision"": 0.5454545454545454, ""recall"": 0.6666666666666666, ""retained_support"": 9, ""support"": 9, ""true_positive"": 6}, {""abstention_count"": 0, ""f1"": 0.45454545454545453, ""false_negative"": 7, ""false_positive"": 5, ""label"": 1, ""precision"": 0.5, ""recall"": 0.4166666666666667, ""retained_support"": 12, ""support"": 12, ""true_positive"": 5}, {""abstention_count"": 0, ""f1"": 0.625, ""false_negative"": 3, ""false_positive"": 3, ""label"": 2, ""precision"": 0.625, ""recall"": 0.625, ""retained_support"": 8, ""support"": 8, ""true_positive"": 5}]",1.0,retained_only,participant_oof_recomputed_conditional_and_abstention_aware
b16_lr1e-4,1,0.5555555555555555,0.5608594304246478,0.753781512605042,0.6597955400404231,0.5,0.5217391304347826,29,"[0, 1, 2]",0.5555555555555555,0.6023310023310023,0.5555555555555555,0.5608594304246478,0,"[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.5454545454545455, ""false_negative"": 3, ""false_positive"": 7, ""label"": 0, ""precision"": 0.46153846153846156, ""recall"": 0.6666666666666666, ""retained_support"": 9, ""support"": 9, ""true_positive"": 6}, {""abstention_count"": 0, ""f1"": 0.5217391304347826, ""false_negative"": 6, ""false_positive"": 5, ""label"": 1, ""precision"": 0.5454545454545454, ""recall"": 0.5, ""retained_support"": 12, ""support"": 12, ""true_positive"": 6}, {""abstention_count"": 0, ""f1"": 0.6153846153846154, ""false_negative"": 4, ""false_positive"": 1, ""label"": 2, ""precision"": 0.8, ""recall"": 0.5, ""retained_support"": 8, ""support"": 8, ""true_positive"": 4}]",1.0,retained_only,participant_oof_recomputed_conditional_and_abstention_aware
b16_lr1e-4,2,0.5370370370370371,0.5084175084175084,0.6895502645502646,0.596986782137711,0.3333333333333333,0.4444444444444444,29,"[0, 1, 2]",0.5370370370370371,0.535042735042735,0.5370370370370371,0.5084175084175084,0,"[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.6363636363636364, ""false_negative"": 2, ""false_positive"": 6, ""label"": 0, ""precision"": 0.5384615384615384, ""recall"": 0.7777777777777778, ""retained_support"": 9, ""support"": 9, ""true_positive"": 7}, {""abstention_count"": 0, ""f1"": 0.4444444444444444, ""false_negative"": 8, ""false_positive"": 2, ""label"": 1, ""precision"": 0.6666666666666666, ""recall"": 0.3333333333333333, ""retained_support"": 12, ""support"": 12, ""true_positive"": 4}, {""abstention_count"": 0, ""f1"": 0.4444444444444445, ""false_negative"": 4, ""false_positive"": 6, ""label"": 2, ""precision"": 0.4, ""recall"": 0.5, ""retained_support"": 8, ""support"": 8, ""true_positive"": 4}]",1.0,retained_only,participant_oof_recomputed_conditional_and_abstention_aware
b16_lr1e-4,3,0.4861111111111111,0.4937154348919055,0.7390600684718333,0.6959509337951367,0.3333333333333333,0.35294117647058826,29,"[0, 1, 2]",0.4861111111111111,0.5059523809523809,0.4861111111111111,0.4937154348919055,0,"[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.35294117647058826, ""false_negative"": 6, ""false_positive"": 5, ""label"": 0, ""precision"": 0.375, ""recall"": 0.3333333333333333, ""retained_support"": 9, ""support"": 9, ""true_positive"": 3}, {""abstention_count"": 0, ""f1"": 0.4615384615384615, ""false_negative"": 6, ""false_positive"": 8, ""label"": 1, ""precision"": 0.42857142857142855, ""recall"": 0.5, ""retained_support"": 12, ""support"": 12, ""true_positive"": 6}, {""abstention_count"": 0, ""f1"": 0.6666666666666666, ""false_negative"": 3, ""false_positive"": 2, ""label"": 2, ""precision"": 0.7142857142857143, ""recall"": 0.625, ""retained_support"": 8, ""support"": 8, ""true_positive"": 5}]",1.0,retained_only,participant_oof_recomputed_conditional_and_abstention_aware
b16_lr1e-4,4,0.5972222222222222,0.6047619047619048,0.728874883286648,0.6299385569487909,0.5,0.5,29,"[0, 1, 2]",0.5972222222222222,0.6262626262626263,0.5972222222222222,0.6047619047619048,0,"[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.6, ""false_negative"": 3, ""false_positive"": 5, ""label"": 0, ""precision"": 0.5454545454545454, ""recall"": 0.6666666666666666, ""retained_support"": 9, ""support"": 9, ""true_positive"": 6}, {""abstention_count"": 0, ""f1"": 0.5, ""false_negative"": 6, ""false_positive"": 6, ""label"": 1, ""precision"": 0.5, ""recall"": 0.5, ""retained_support"": 12, ""support"": 12, ""true_positive"": 6}, {""abstention_count"": 0, ""f1"": 0.7142857142857143, ""false_negative"": 3, ""false_positive"": 1, ""label"": 2, ""precision"": 0.8333333333333334, ""recall"": 0.625, ""retained_support"": 8, ""support"": 8, ""true_positive"": 5}]",1.0,retained_only,participant_oof_recomputed_conditional_and_abstention_aware
b32_lr1e-4,0,0.5416666666666666,0.5182474903837133,0.7275521319638968,0.6176307955598136,0.3333333333333333,0.42105263157894735,29,"[0, 1, 2]",0.5416666666666666,0.5295075295075294,0.5416666666666666,0.5182474903837133,0,"[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.5454545454545455, ""false_negative"": 3, ""false_positive"": 7, ""label"": 0, ""precision"": 0.46153846153846156, ""recall"": 0.6666666666666666, ""retained_support"": 9, ""support"": 9, ""true_positive"": 6}, {""abstention_count"": 0, ""f1"": 0.4210526315789474, ""false_negative"": 8, ""false_positive"": 3, ""label"": 1, ""precision"": 0.5714285714285714, ""recall"": 0.3333333333333333, ""retained_support"": 12, ""support"": 12, ""true_positive"": 4}, {""abstention_count"": 0, ""f1"": 0.5882352941176471, ""false_negative"": 3, ""false_positive"": 4, ""label"": 2, ""precision"": 0.5555555555555556, ""recall"": 0.625, ""retained_support"": 8, ""support"": 8, ""true_positive"": 5}]",1.0,retained_only,participant_oof_recomputed_conditional_and_abstention_aware
b32_lr1e-4,1,0.6064814814814815,0.6022222222222222,0.723428260192966,0.6197522095621512,0.375,0.5,29,"[0, 1, 2]",0.6064814814814815,0.6495726495726496,0.6064814814814815,0.6022222222222222,0,"[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.6666666666666666, ""false_negative"": 2, ""false_positive"": 5, ""label"": 0, ""precision"": 0.5833333333333334, ""recall"": 0.7777777777777778, ""retained_support"": 9, ""support"": 9, ""true_positive"": 7}, {""abstention_count"": 0, ""f1"": 0.64, ""false_negative"": 4, ""false_positive"": 5, ""label"": 1, ""precision"": 0.6153846153846154, ""recall"": 0.6666666666666666, ""retained_support"": 12, ""support"": 12, ""true_positive"": 8}, {""abstention_count"": 0, ""f1"": 0.5, ""false_negative"": 5, ""false_positive"": 1, ""label"": 2, ""precision"": 0.75, ""recall"": 0.375, ""retained_support"": 8, ""support"": 8, ""true_positive"": 3}]",1.0,retained_only,participant_oof_recomputed_conditional_and_abstention_aware
b32_lr1e-4,2,0.5138888888888888,0.5099915564311849,0.714433551198257,0.6150765398212293,0.375,0.35294117647058826,29,"[0, 1, 2]",0.5138888888888888,0.5111111111111111,0.5138888888888888,0.5099915564311849,0,"[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.631578947368421, ""false_negative"": 3, ""false_positive"": 4, ""label"": 0, ""precision"": 0.6, ""recall"": 0.6666666666666666, ""retained_support"": 9, ""support"": 9, ""true_positive"": 6}, {""abstention_count"": 0, ""f1"": 0.5454545454545454, ""false_negative"": 6, ""false_positive"": 4, ""label"": 1, ""precision"": 0.6, ""recall"": 0.5, ""retained_support"": 12, ""support"": 12, ""true_positive"": 6}, {""abstention_count"": 0, ""f1"": 0.35294117647058826, ""false_negative"": 5, ""false_positive"": 6, ""label"": 2, ""precision"": 0.3333333333333333, ""recall"": 0.375, ""retained_support"": 8, ""support"": 8, ""true_positive"": 3}]",1.0,retained_only,participant_oof_recomputed_conditional_and_abstention_aware
b32_lr1e-4,3,0.5231481481481481,0.5231481481481481,0.7037581699346406,0.6259665354393597,0.4444444444444444,0.4444444444444444,29,"[0, 1, 2]",0.5231481481481481,0.5231481481481481,0.5231481481481481,0.5231481481481481,0,"[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.4444444444444444, ""false_negative"": 5, ""false_positive"": 5, ""label"": 0, ""precision"": 0.4444444444444444, ""recall"": 0.4444444444444444, ""retained_support"": 9, ""support"": 9, ""true_positive"": 4}, {""abstention_count"": 0, ""f1"": 0.5, ""false_negative"": 6, ""false_positive"": 6, ""label"": 1, ""precision"": 0.5, ""recall"": 0.5, ""retained_support"": 12, ""support"": 12, ""true_positive"": 6}, {""abstention_count"": 0, ""f1"": 0.625, ""false_negative"": 3, ""false_positive"": 3, ""label"": 2, ""precision"": 0.625, ""recall"": 0.625, ""retained_support"": 8, ""support"": 8, ""true_positive"": 5}]",1.0,retained_only,participant_oof_recomputed_conditional_and_abstention_aware
b32_lr1e-4,4,0.40740740740740744,0.41094690749863166,0.7031901649548709,0.5983026250518464,0.2222222222222222,0.2857142857142857,29,"[0, 1, 2]",0.40740740740740744,0.4414565826330532,0.40740740740740744,0.41094690749863166,0,"[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.2857142857142857, ""false_negative"": 7, ""false_positive"": 3, ""label"": 0, ""precision"": 0.4, ""recall"": 0.2222222222222222, ""retained_support"": 9, ""support"": 9, ""true_positive"": 2}, {""abstention_count"": 0, ""f1"": 0.41379310344827586, ""false_negative"": 6, ""false_positive"": 11, ""label"": 1, ""precision"": 0.35294117647058826, ""recall"": 0.5, ""retained_support"": 12, ""support"": 12, ""true_positive"": 6}, {""abstention_count"": 0, ""f1"": 0.5333333333333333, ""false_negative"": 4, ""false_positive"": 3, ""label"": 2, ""precision"": 0.5714285714285714, ""recall"": 0.5, ""retained_support"": 8, ""support"": 8, ""true_positive"": 4}]",1.0,retained_only,participant_oof_recomputed_conditional_and_abstention_aware
