case_id,predictive_rank,true_class,predicted_class,metric_source,count
b16_lr3e-4,1,0,0,participant_oof_pooled_repeats,29.0
b16_lr3e-4,1,0,1,participant_oof_pooled_repeats,15.0
b16_lr3e-4,1,0,2,participant_oof_pooled_repeats,1.0
b16_lr3e-4,1,1,0,participant_oof_pooled_repeats,19.0
b16_lr3e-4,1,1,1,participant_oof_pooled_repeats,31.0
b16_lr3e-4,1,1,2,participant_oof_pooled_repeats,10.0
b16_lr3e-4,1,2,0,participant_oof_pooled_repeats,3.0
b16_lr3e-4,1,2,1,participant_oof_pooled_repeats,12.0
b16_lr3e-4,1,2,2,participant_oof_pooled_repeats,25.0
b16_lr1e-3,2,0,0,participant_oof_pooled_repeats,25.0
b16_lr1e-3,2,0,1,participant_oof_pooled_repeats,20.0
b16_lr1e-3,2,0,2,participant_oof_pooled_repeats,0.0
b16_lr1e-3,2,1,0,participant_oof_pooled_repeats,17.0
b16_lr1e-3,2,1,1,participant_oof_pooled_repeats,33.0
b16_lr1e-3,2,1,2,participant_oof_pooled_repeats,10.0
b16_lr1e-3,2,2,0,participant_oof_pooled_repeats,3.0
b16_lr1e-3,2,2,1,participant_oof_pooled_repeats,15.0
b16_lr1e-3,2,2,2,participant_oof_pooled_repeats,22.0
b32_lr3e-4,3,0,0,participant_oof_pooled_repeats,23.0
b32_lr3e-4,3,0,1,participant_oof_pooled_repeats,20.0
b32_lr3e-4,3,0,2,participant_oof_pooled_repeats,2.0
b32_lr3e-4,3,1,0,participant_oof_pooled_repeats,17.0
b32_lr3e-4,3,1,1,participant_oof_pooled_repeats,31.0
b32_lr3e-4,3,1,2,participant_oof_pooled_repeats,12.0
b32_lr3e-4,3,2,0,participant_oof_pooled_repeats,5.0
b32_lr3e-4,3,2,1,participant_oof_pooled_repeats,11.0
b32_lr3e-4,3,2,2,participant_oof_pooled_repeats,24.0
