case_id,metric,metric_source,n,mean_sd,ci95
b16_lr3e-4,balanced_accuracy,participant_oof,5,59.5 ± 6.2,"[51.9, 67.2]"
b16_lr3e-4,macro_f1,participant_oof,5,59.4 ± 6.3,"[51.6, 67.3]"
b16_lr3e-4,macro_roc_auc_ovr,participant_oof,5,75.7 ± 3.1,"[71.9, 79.5]"
b16_lr3e-4,macro_pr_auc_ovr,participant_oof,5,66.7 ± 4.1,"[61.6, 71.9]"
b16_lr3e-4,abstention_aware_balanced_accuracy,participant_oof,5,59.5 ± 6.2,"[51.9, 67.2]"
b16_lr3e-4,abstention_aware_macro_f1,participant_oof,5,59.4 ± 6.3,"[51.6, 67.3]"
b16_lr1e-3,balanced_accuracy,participant_oof,5,55.2 ± 5.1,"[48.8, 61.6]"
b16_lr1e-3,macro_f1,participant_oof,5,55.4 ± 6.3,"[47.5, 63.2]"
b16_lr1e-3,macro_roc_auc_ovr,participant_oof,5,74.9 ± 3.6,"[70.4, 79.4]"
b16_lr1e-3,macro_pr_auc_ovr,participant_oof,5,66.8 ± 5.1,"[60.4, 73.1]"
b16_lr1e-3,abstention_aware_balanced_accuracy,participant_oof,5,55.2 ± 5.1,"[48.8, 61.6]"
b16_lr1e-3,abstention_aware_macro_f1,participant_oof,5,55.4 ± 6.3,"[47.5, 63.2]"
b32_lr3e-4,balanced_accuracy,participant_oof,5,54.3 ± 3.0,"[50.5, 58.0]"
b32_lr3e-4,macro_f1,participant_oof,5,53.4 ± 3.6,"[48.9, 57.9]"
b32_lr3e-4,macro_roc_auc_ovr,participant_oof,5,72.3 ± 2.7,"[68.9, 75.6]"
b32_lr3e-4,macro_pr_auc_ovr,participant_oof,5,63.0 ± 3.6,"[58.6, 67.5]"
b32_lr3e-4,abstention_aware_balanced_accuracy,participant_oof,5,54.3 ± 3.0,"[50.5, 58.0]"
b32_lr3e-4,abstention_aware_macro_f1,participant_oof,5,53.4 ± 3.6,"[48.9, 57.9]"
