case_id,class_label,class_name,metric,n,mean_sd,ci95
b16_lr1e-3,0,Pre-Frail,balanced_accuracy_ovr,5,67.8 ± 5.4,"[61.1, 74.5]"
b16_lr1e-3,0,Pre-Frail,f1,5,54.7 ± 9.0,"[43.5, 65.9]"
b16_lr1e-3,0,Pre-Frail,recall,5,55.6 ± 17.6,"[33.7, 77.4]"
b16_lr1e-3,0,Pre-Frail,specificity,5,80.0 ± 10.6,"[66.8, 93.2]"
b16_lr1e-3,0,Pre-Frail,roc_auc_ovr,5,79.4 ± 2.7,"[76.0, 82.9]"
b16_lr1e-3,0,Pre-Frail,pr_auc_ovr,5,64.1 ± 3.0,"[60.3, 67.9]"
b16_lr1e-3,1,Robust/Non-Frail,balanced_accuracy_ovr,5,56.9 ± 5.1,"[50.6, 63.2]"
b16_lr1e-3,1,Robust/Non-Frail,f1,5,50.9 ± 8.2,"[40.6, 61.1]"
b16_lr1e-3,1,Robust/Non-Frail,recall,5,55.0 ± 15.1,"[36.2, 73.8]"
b16_lr1e-3,1,Robust/Non-Frail,specificity,5,58.8 ± 8.3,"[48.5, 69.2]"
b16_lr1e-3,1,Robust/Non-Frail,roc_auc_ovr,5,63.9 ± 8.0,"[54.0, 73.8]"
b16_lr1e-3,1,Robust/Non-Frail,pr_auc_ovr,5,61.6 ± 9.1,"[50.3, 72.9]"
b16_lr1e-3,2,Young,balanced_accuracy_ovr,5,72.7 ± 11.2,"[58.8, 86.7]"
b16_lr1e-3,2,Young,f1,5,60.6 ± 19.4,"[36.5, 84.6]"
b16_lr1e-3,2,Young,recall,5,55.0 ± 19.0,"[31.5, 78.5]"
b16_lr1e-3,2,Young,specificity,5,90.5 ± 7.5,"[81.1, 99.8]"
b16_lr1e-3,2,Young,roc_auc_ovr,5,81.4 ± 6.8,"[73.0, 89.9]"
b16_lr1e-3,2,Young,pr_auc_ovr,5,74.7 ± 11.3,"[60.7, 88.7]"
b16_lr3e-4,0,Pre-Frail,balanced_accuracy_ovr,5,71.2 ± 9.0,"[60.0, 82.4]"
b16_lr3e-4,0,Pre-Frail,f1,5,59.8 ± 11.8,"[45.2, 74.4]"
b16_lr3e-4,0,Pre-Frail,recall,5,64.4 ± 18.3,"[41.8, 87.1]"
b16_lr3e-4,0,Pre-Frail,specificity,5,78.0 ± 7.6,"[68.6, 87.4]"
b16_lr3e-4,0,Pre-Frail,roc_auc_ovr,5,80.0 ± 3.6,"[75.6, 84.4]"
b16_lr3e-4,0,Pre-Frail,pr_auc_ovr,5,63.2 ± 7.8,"[53.5, 72.9]"
b16_lr3e-4,1,Robust/Non-Frail,balanced_accuracy_ovr,5,60.0 ± 5.6,"[53.0, 66.9]"
b16_lr3e-4,1,Robust/Non-Frail,f1,5,52.3 ± 7.1,"[43.4, 61.1]"
b16_lr3e-4,1,Robust/Non-Frail,recall,5,51.7 ± 10.9,"[38.2, 65.2]"
b16_lr3e-4,1,Robust/Non-Frail,specificity,5,68.2 ± 9.8,"[56.0, 80.5]"
b16_lr3e-4,1,Robust/Non-Frail,roc_auc_ovr,5,64.0 ± 5.3,"[57.5, 70.6]"
b16_lr3e-4,1,Robust/Non-Frail,pr_auc_ovr,5,62.1 ± 5.1,"[55.8, 68.4]"
b16_lr3e-4,2,Young,balanced_accuracy_ovr,5,76.0 ± 6.1,"[68.4, 83.6]"
b16_lr3e-4,2,Young,f1,5,66.3 ± 9.8,"[54.0, 78.5]"
b16_lr3e-4,2,Young,recall,5,62.5 ± 8.8,"[51.5, 73.5]"
b16_lr3e-4,2,Young,specificity,5,89.5 ± 8.5,"[78.9, 100.1]"
b16_lr3e-4,2,Young,roc_auc_ovr,5,83.1 ± 7.5,"[73.8, 92.4]"
b16_lr3e-4,2,Young,pr_auc_ovr,5,74.9 ± 13.2,"[58.5, 91.3]"
b32_lr3e-4,0,Pre-Frail,balanced_accuracy_ovr,5,64.6 ± 7.4,"[55.3, 73.8]"
b32_lr3e-4,0,Pre-Frail,f1,5,49.4 ± 12.9,"[33.5, 65.4]"
b32_lr3e-4,0,Pre-Frail,recall,5,51.1 ± 20.2,"[26.0, 76.2]"
b32_lr3e-4,0,Pre-Frail,specificity,5,78.0 ± 7.6,"[68.6, 87.4]"
b32_lr3e-4,0,Pre-Frail,roc_auc_ovr,5,77.3 ± 5.8,"[70.1, 84.6]"
b32_lr3e-4,0,Pre-Frail,pr_auc_ovr,5,60.4 ± 7.5,"[51.0, 69.7]"
b32_lr3e-4,1,Robust/Non-Frail,balanced_accuracy_ovr,5,57.6 ± 4.9,"[51.6, 63.6]"
b32_lr3e-4,1,Robust/Non-Frail,f1,5,49.4 ± 11.3,"[35.4, 63.4]"
b32_lr3e-4,1,Robust/Non-Frail,recall,5,51.7 ± 19.0,"[28.1, 75.3]"
b32_lr3e-4,1,Robust/Non-Frail,specificity,5,63.5 ± 12.1,"[48.6, 78.5]"
b32_lr3e-4,1,Robust/Non-Frail,roc_auc_ovr,5,58.5 ± 4.6,"[52.9, 64.2]"
b32_lr3e-4,1,Robust/Non-Frail,pr_auc_ovr,5,55.5 ± 6.1,"[47.9, 63.1]"
b32_lr3e-4,2,Young,balanced_accuracy_ovr,5,73.3 ± 7.6,"[63.9, 82.7]"
b32_lr3e-4,2,Young,f1,5,61.3 ± 11.7,"[46.8, 75.8]"
b32_lr3e-4,2,Young,recall,5,60.0 ± 16.3,"[39.8, 80.2]"
b32_lr3e-4,2,Young,specificity,5,86.7 ± 10.3,"[73.8, 99.5]"
b32_lr3e-4,2,Young,roc_auc_ovr,5,81.0 ± 5.2,"[74.4, 87.5]"
b32_lr3e-4,2,Young,pr_auc_ovr,5,73.3 ± 7.5,"[63.9, 82.7]"
