case_id,repeat,class_label,class_name,precision,recall,specificity,balanced_accuracy_ovr,f1,roc_auc_ovr,pr_auc_ovr,support,metric_source
b16_lr3e-4,0,0,Pre-Frail,0.4,0.4444444444444444,0.7,0.5722222222222222,0.42105263157894735,0.7666666666666666,0.5101228473777494,9,participant_oof_per_repeat
b16_lr3e-4,0,1,Robust/Non-Frail,0.4166666666666667,0.4166666666666667,0.5882352941176471,0.5024509803921569,0.4166666666666667,0.5833333333333333,0.5794268043474701,12,participant_oof_per_repeat
b16_lr3e-4,0,2,Young,0.7142857142857143,0.625,0.9047619047619048,0.7648809523809523,0.6666666666666666,0.8333333333333334,0.7856657608695652,8,participant_oof_per_repeat
b16_lr3e-4,1,0,Pre-Frail,0.5833333333333334,0.7777777777777778,0.75,0.7638888888888888,0.6666666666666666,0.8111111111111111,0.6387426900584796,9,participant_oof_per_repeat
b16_lr3e-4,1,1,Robust/Non-Frail,0.5454545454545454,0.5,0.7058823529411765,0.6029411764705883,0.5217391304347826,0.6666666666666667,0.633938834643169,12,participant_oof_per_repeat
b16_lr3e-4,1,2,Young,0.6666666666666666,0.5,0.9047619047619048,0.7023809523809523,0.5714285714285714,0.8154761904761905,0.7204573934837093,8,participant_oof_per_repeat
b16_lr3e-4,2,0,Pre-Frail,0.6363636363636364,0.7777777777777778,0.8,0.788888888888889,0.7,0.8555555555555555,0.7244468007625904,9,participant_oof_per_repeat
b16_lr3e-4,2,1,Robust/Non-Frail,0.625,0.4166666666666667,0.8235294117647058,0.6200980392156863,0.5,0.6029411764705883,0.6419964162421089,12,participant_oof_per_repeat
b16_lr3e-4,2,2,Young,0.5,0.625,0.7619047619047619,0.6934523809523809,0.5555555555555556,0.7142857142857143,0.5351636904761905,8,participant_oof_per_repeat
b16_lr3e-4,3,0,Pre-Frail,0.6666666666666666,0.4444444444444444,0.9,0.6722222222222223,0.5333333333333333,0.7722222222222221,0.6246477087056796,9,participant_oof_per_repeat
b16_lr3e-4,3,1,Robust/Non-Frail,0.5333333333333333,0.6666666666666666,0.5882352941176471,0.6274509803921569,0.5925925925925926,0.7156862745098038,0.6878174603174604,12,participant_oof_per_repeat
