split_identity_sha256,repeat,fold,split_seed,split_registry_path,materialized_split_csv_sha256,declared_source_registry_json_file_sha256,declared_source_registry_payload_sha256,train_participant_count,oof_participant_count,train_oof_overlap_count,train_participant_roster_sha256,oof_participant_roster_sha256,train_participant_ids,oof_participant_ids,case_ids,audit_status
74a9abe341803e19561e3f8325621de387e0a6f3cc76e79a468dca12d814052a,0,0,42,splits/sgkf5_repeated_grouped_5x5_v2.csv,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,23,6,0,2fbf0a4c3b9dbe117d57ddf4c93d080268886c9a3909704197661da7d7f60ab6,743dba7388ad71b33db1e5a8ca9526e3985422727412c88a2588b2c018fef454,"[""AB_01"", ""AKE28_03"", ""AKO19_01"", ""ATA20_01"", ""BRA36_02"", ""ERL70_04"", ""ERO01_02"", ""GDO22_03"", ""GME22_02"", ""GRU27_01"", ""HEA19_04"", ""HZA20_02"", ""INE13_04"", ""KMO19_01"", ""MIA82_04"", ""MIE14_02"", ""MKU07_04"", ""MOA19_03"", ""MSE28_01"", ""SDI19_04"", ""SJI29_02"", ""STE072_01"", ""UTI13_04""]","[""AMI33_01"", ""EE_02"", ""FNA75_03"", ""IGB00_03"", ""MHT21_03"", ""TSR08_01""]","[""b16_lr1e-3"", ""b16_lr3e-4"", ""b32_lr3e-4""]",PASS
57bb106ec2ff5d3c168e33998b4a7936c39cbbb1e996b929652dd6e1a36da8e8,0,1,42,splits/sgkf5_repeated_grouped_5x5_v2.csv,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,23,6,0,e658965a570173690f5a6b5e442541bcf870888938c22cc76c1de36a17bc0883,c2be8e1e67355857db696dd7cc27a2792b3cc19d715eb17764f845b4319a9de6,"[""AB_01"", ""AKE28_03"", ""AMI33_01"", ""ATA20_01"", ""BRA36_02"", ""EE_02"", ""ERL70_04"", ""ERO01_02"", ""FNA75_03"", ""GME22_02"", ""GRU27_01"", ""HEA19_04"", ""HZA20_02"", ""IGB00_03"", ""MHT21_03"", ""MIA82_04"", ""MIE14_02"", ""MOA19_03"", ""MSE28_01"", ""SDI19_04"", ""SJI29_02"", ""STE072_01"", ""TSR08_01""]","[""AKO19_01"", ""GDO22_03"", ""INE13_04"", ""KMO19_01"", ""MKU07_04"", ""UTI13_04""]","[""b16_lr1e-3"", ""b16_lr3e-4"", ""b32_lr3e-4""]",PASS
dc46fdbd11329275083d417b2d5d720396b21cbc072994433e7dc7a6b06a666d,0,2,42,splits/sgkf5_repeated_grouped_5x5_v2.csv,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,23,6,0,9bfaf988c23f38949bb1471a4ceda40581f4c459889b55aa0bd7d96efc6dd2ff,4dc466afd9c1c36a6c8617d288c33193a358bde2d170cfbdec68a23b8d0042a9,"[""AKE28_03"", ""AKO19_01"", ""AMI33_01"", ""ATA20_01"", ""BRA36_02"", ""EE_02"", ""ERL70_04"", ""ERO01_02"", ""FNA75_03"", ""GDO22_03"", ""HEA19_04"", ""IGB00_03"", ""INE13_04"", ""KMO19_01"", ""MHT21_03"", ""MIA82_04"", ""MIE14_02"", ""MKU07_04"", ""MOA19_03"", ""SDI19_04"", ""STE072_01"", ""TSR08_01"", ""UTI13_04""]","[""AB_01"", ""GME22_02"", ""GRU27_01"", ""HZA20_02"", ""MSE28_01"", ""SJI29_02""]","[""b16_lr1e-3"", ""b16_lr3e-4"", ""b32_lr3e-4""]",PASS
0f885f271eff150fced6d2c9acdddbf0fcdf8f994d2e0bed36169eee28c2bc90,0,3,42,splits/sgkf5_repeated_grouped_5x5_v2.csv,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,23,6,0,982a34eea9b418515c1f4dca3fd8538d737f014b472f7b6b1689625b4d1233cf,4bf7304ba29f5f0670bf819dd1d0f8c1fc4254200c656ac0642ec0da3c60d3f0,"[""AB_01"", ""AKO19_01"", ""AMI33_01"", ""ATA20_01"", ""EE_02"", ""ERO01_02"", ""FNA75_03"", ""GDO22_03"", ""GME22_02"", ""GRU27_01"", ""HEA19_04"", ""HZA20_02"", ""IGB00_03"", ""INE13_04"", ""KMO19_01"", ""MHT21_03"", ""MIE14_02"", ""MKU07_04"", ""MSE28_01"", ""SDI19_04"", ""SJI29_02"", ""TSR08_01"", ""UTI13_04""]","[""AKE28_03"", ""BRA36_02"", ""ERL70_04"", ""MIA82_04"", ""MOA19_03"", ""STE072_01""]","[""b16_lr1e-3"", ""b16_lr3e-4"", ""b32_lr3e-4""]",PASS
d94e3292b845a0950210e2e3294bf00e43a1f33c65c16b35be9d37b8362422ad,0,4,42,splits/sgkf5_repeated_grouped_5x5_v2.csv,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,24,5,0,cc75a28be4c511969e177744cfc7bc7118967490d79884b9ef0ab5485bcd5213,88ebc817e6468307ee1ed5f11f46605039f7626a3087436152c96b3c4c6d1d06,"[""AB_01"", ""AKE28_03"", ""AKO19_01"", ""AMI33_01"", ""BRA36_02"", ""EE_02"", ""ERL70_04"", ""FNA75_03"", ""GDO22_03"", ""GME22_02"", ""GRU27_01"", ""HZA20_02"", ""IGB00_03"", ""INE13_04"", ""KMO19_01"", ""MHT21_03"", ""MIA82_04"", ""MKU07_04"", ""MOA19_03"", ""MSE28_01"", ""SJI29_02"", ""STE072_01"", ""TSR08_01"", ""UTI13_04""]","[""ATA20_01"", ""ERO01_02"", ""HEA19_04"", ""MIE14_02"", ""SDI19_04""]","[""b16_lr1e-3"", ""b16_lr3e-4"", ""b32_lr3e-4""]",PASS
91233bf0f9ab6ae43b78c5014b5d48d26b6d091b34f83211383bcaeef1e148e7,1,0,10042,splits/sgkf5_repeated_grouped_5x5_v2.csv,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,22,7,0,7013380de279ad95e4d93890fdcc0e6b5db94cfc671e4f7bece9d7cc035e6c14,64b7a2e19812605374dbc26c7709cc09e70ce40ce4141db2b659cc5042da58e5,"[""AB_01"", ""AKO19_01"", ""ATA20_01"", ""BRA36_02"", ""ERL70_04"", ""ERO01_02"", ""FNA75_03"", ""GME22_02"", ""GRU27_01"", ""HEA19_04"", ""HZA20_02"", ""IGB00_03"", ""INE13_04"", ""KMO19_01"", ""MIA82_04"", ""MIE14_02"", ""MSE28_01"", ""SDI19_04"", ""SJI29_02"", ""STE072_01"", ""TSR08_01"", ""UTI13_04""]","[""AKE28_03"", ""AMI33_01"", ""EE_02"", ""GDO22_03"", ""MHT21_03"", ""MKU07_04"", ""MOA19_03""]","[""b16_lr1e-3"", ""b16_lr3e-4"", ""b32_lr3e-4""]",PASS
39abfdc29e01293bf55542e427ffc608689093236594d1fc0ae1b3b2694dd544,1,1,10042,splits/sgkf5_repeated_grouped_5x5_v2.csv,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,23,6,0,fd11d2723a270c898ab112d5f6fa7583ece3f502df451915d70238e8249d4e97,b763234cdebd78be5176002f5056c65f9f74f0d3acd37c733811a7ecf171395f,"[""AB_01"", ""AKE28_03"", ""AMI33_01"", ""ATA20_01"", ""BRA36_02"", ""EE_02"", ""ERL70_04"", ""ERO01_02"", ""FNA75_03"", ""GDO22_03"", ""GME22_02"", ""GRU27_01"", ""HEA19_04"", ""IGB00_03"", ""INE13_04"", ""MHT21_03"", ""MIA82_04"", ""MIE14_02"", ""MKU07_04"", ""MOA19_03"", ""SJI29_02"", ""TSR08_01"", ""UTI13_04""]","[""AKO19_01"", ""HZA20_02"", ""KMO19_01"", ""MSE28_01"", ""SDI19_04"", ""STE072_01""]","[""b16_lr1e-3"", ""b16_lr3e-4"", ""b32_lr3e-4""]",PASS
49933d7fb3f72995803ccefc8aedbfdfe0cbff92366fbcb3f76f4f4cf6946e56,1,2,10042,splits/sgkf5_repeated_grouped_5x5_v2.csv,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,23,6,0,2312d28cda75443000adf307065f3cc11eda794cb1e9359414f9502c21392016,f8accea02b1f827e8b59db9c71a2f45defbf96077fdc352ef54d478bc3c384f8,"[""AB_01"", ""AKE28_03"", ""AKO19_01"", ""AMI33_01"", ""ATA20_01"", ""BRA36_02"", ""EE_02"", ""ERO01_02"", ""FNA75_03"", ""GDO22_03"", ""GME22_02"", ""HEA19_04"", ""HZA20_02"", ""KMO19_01"", ""MHT21_03"", ""MKU07_04"", ""MOA19_03"", ""MSE28_01"", ""SDI19_04"", ""SJI29_02"", ""STE072_01"", ""TSR08_01"", ""UTI13_04""]","[""ERL70_04"", ""GRU27_01"", ""IGB00_03"", ""INE13_04"", ""MIA82_04"", ""MIE14_02""]","[""b16_lr1e-3"", ""b16_lr3e-4"", ""b32_lr3e-4""]",PASS
c842847d07fa69f86821292aded7d0e3377607446cdce92996ab0445430ef39d,1,3,10042,splits/sgkf5_repeated_grouped_5x5_v2.csv,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,24,5,0,cac8fc150361bda6816cc80fde91fd8de2621167b28aac67a49bbf6b1406d44c,6785dfe2df05e8bbc283d2ba5c2b481f59499447a7e61cd3cfca5f72703307e2,"[""AB_01"", ""AKE28_03"", ""AKO19_01"", ""AMI33_01"", ""ATA20_01"", ""BRA36_02"", ""EE_02"", ""ERL70_04"", ""ERO01_02"", ""FNA75_03"", ""GDO22_03"", ""GRU27_01"", ""HZA20_02"", ""IGB00_03"", ""INE13_04"", ""KMO19_01"", ""MHT21_03"", ""MIA82_04"", ""MIE14_02"", ""MKU07_04"", ""MOA19_03"", ""MSE28_01"", ""SDI19_04"", ""STE072_01""]","[""GME22_02"", ""HEA19_04"", ""SJI29_02"", ""TSR08_01"", ""UTI13_04""]","[""b16_lr1e-3"", ""b16_lr3e-4"", ""b32_lr3e-4""]",PASS
fbcbb0d4b376f34633ea4c4f3db887e665f87ea21ed8e7dcd0931ec726aad916,1,4,10042,splits/sgkf5_repeated_grouped_5x5_v2.csv,1693fc71b79411d166b79b56f840bce89b2bfca3d51ab755c85d567ad560b702,c80e780d60162ff1132101ee368ee3a55d95f3c7a6d51a5c9a8feec8605d388c,0bca827fa8e4f9679b6ee9435b5497a60d91e74ddb366e058fc69614fb007f46,24,5,0,51c7fbd1afa7f248c656ddb7f11202df6e7e91bbbbb06ef40eda2d2cec4cd2c6,30eb8a82f8181c78a0d2f1e60e7acf7243f47d4239cef8eb2932653a63bcba28,"[""AKE28_03"", ""AKO19_01"", ""AMI33_01"", ""EE_02"", ""ERL70_04"", ""GDO22_03"", ""GME22_02"", ""GRU27_01"", ""HEA19_04"", ""HZA20_02"", ""IGB00_03"", ""INE13_04"", ""KMO19_01"", ""MHT21_03"", ""MIA82_04"", ""MIE14_02"", ""MKU07_04"", ""MOA19_03"", ""MSE28_01"", ""SDI19_04"", ""SJI29_02"", ""STE072_01"", ""TSR08_01"", ""UTI13_04""]","[""AB_01"", ""ATA20_01"", ""BRA36_02"", ""ERO01_02"", ""FNA75_03""]","[""b16_lr1e-3"", ""b16_lr3e-4"", ""b32_lr3e-4""]",PASS
