case_id,repeat,aggregation_level,aggregation_view,group_label,oof_unit_count,retained_oof_unit_count,dropped_oof_unit_count,retained_coverage,participant_count,total_participant_count,retained_participant_count,dropped_participant_count
b16_lr1e-3,0,file,line_a_equal_files,ALL,30,30,0,1.0,6,6,6,0
b16_lr1e-3,0,file,line_a_equal_files,B,6,6,0,1.0,6,6,6,0
b16_lr1e-3,0,file,line_a_equal_files,R1,6,6,0,1.0,6,6,6,0
b16_lr1e-3,0,file,line_a_equal_files,R2,6,6,0,1.0,6,6,6,0
b16_lr1e-3,0,file,line_a_equal_files,R3,6,6,0,1.0,6,6,6,0
b16_lr1e-3,0,file,line_a_equal_files,R4,6,6,0,1.0,6,6,6,0
b16_lr1e-3,0,participant,participant_balanced_endpoint,ALL,6,6,0,1.0,6,6,6,0
b16_lr1e-3,0,role,line_b_equal_role_families,ALL,12,12,0,1.0,6,6,6,0
b16_lr1e-3,0,role,line_b_equal_role_families,B,6,6,0,1.0,6,6,6,0
b16_lr1e-3,0,role,line_b_equal_role_families,R,6,6,0,1.0,6,6,6,0
b16_lr1e-3,0,window,window_balanced_to_participant,ALL,3596,3596,0,1.0,6,6,6,0
b16_lr1e-3,0,window,window_balanced_to_participant,B,718,718,0,1.0,6,6,6,0
b16_lr1e-3,0,window,window_balanced_to_participant,R1,719,719,0,1.0,6,6,6,0
b16_lr1e-3,0,window,window_balanced_to_participant,R2,718,718,0,1.0,6,6,6,0
b16_lr1e-3,0,window,window_balanced_to_participant,R3,718,718,0,1.0,6,6,6,0
b16_lr1e-3,0,window,window_balanced_to_participant,R4,723,723,0,1.0,6,6,6,0
b16_lr1e-3,1,file,line_a_equal_files,ALL,35,35,0,1.0,7,7,7,0
b16_lr1e-3,1,file,line_a_equal_files,B,7,7,0,1.0,7,7,7,0
b16_lr1e-3,1,file,line_a_equal_files,R1,7,7,0,1.0,7,7,7,0
b16_lr1e-3,1,file,line_a_equal_files,R2,7,7,0,1.0,7,7,7,0
b16_lr1e-3,1,file,line_a_equal_files,R3,7,7,0,1.0,7,7,7,0
b16_lr1e-3,1,file,line_a_equal_files,R4,7,7,0,1.0,7,7,7,0
b16_lr1e-3,1,participant,participant_balanced_endpoint,ALL,7,7,0,1.0,7,7,7,0
b16_lr1e-3,1,role,line_b_equal_role_families,ALL,14,14,0,1.0,7,7,7,0
b16_lr1e-3,1,role,line_b_equal_role_families,B,7,7,0,1.0,7,7,7,0
b16_lr1e-3,1,role,line_b_equal_role_families,R,7,7,0,1.0,7,7,7,0
b16_lr1e-3,1,window,window_balanced_to_participant,ALL,4195,4195,0,1.0,7,7,7,0
b16_lr1e-3,1,window,window_balanced_to_participant,B,840,840,0,1.0,7,7,7,0
b16_lr1e-3,1,window,window_balanced_to_participant,R1,839,839,0,1.0,7,7,7,0
b16_lr1e-3,1,window,window_balanced_to_participant,R2,838,838,0,1.0,7,7,7,0
b16_lr1e-3,1,window,window_balanced_to_participant,R3,838,838,0,1.0,7,7,7,0
b16_lr1e-3,1,window,window_balanced_to_participant,R4,840,840,0,1.0,7,7,7,0
b16_lr1e-3,2,file,line_a_equal_files,ALL,30,30,0,1.0,6,6,6,0
b16_lr1e-3,2,file,line_a_equal_files,B,6,6,0,1.0,6,6,6,0
b16_lr1e-3,2,file,line_a_equal_files,R1,6,6,0,1.0,6,6,6,0
b16_lr1e-3,2,file,line_a_equal_files,R2,6,6,0,1.0,6,6,6,0
b16_lr1e-3,2,file,line_a_equal_files,R3,6,6,0,1.0,6,6,6,0
b16_lr1e-3,2,file,line_a_equal_files,R4,6,6,0,1.0,6,6,6,0
b16_lr1e-3,2,participant,participant_balanced_endpoint,ALL,6,6,0,1.0,6,6,6,0
b16_lr1e-3,2,role,line_b_equal_role_families,ALL,12,12,0,1.0,6,6,6,0
