case_id,repeat,balanced_accuracy,macro_f1,macro_roc_auc_ovr,macro_pr_auc_ovr,worst_class_recall,worst_class_f1,n_predictions,class_order,balance_line,declared_source_line,view_role,quality_weighting,quality_weight_source,metric_source,expected_calibration_error
b16_lr1e-3,0,0.5,0.41269841269841273,0.625,0.7055555555555556,0.0,0.0,6,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.18724405660696533
b16_lr1e-3,1,0.6666666666666666,0.6944444444444443,0.7111111111111111,0.7444444444444445,0.5,0.6666666666666666,7,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.18566078844646705
b16_lr1e-3,2,0.5555555555555555,0.41269841269841273,0.8222222222222223,0.7777777777777777,0.0,0.0,6,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.3135009780760274
b16_lr1e-3,3,0.7777777777777777,0.7222222222222222,0.8425925925925926,0.8166666666666668,0.3333333333333333,0.5,6,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.22613555081675799
b16_lr1e-3,4,0.6666666666666666,0.5555555555555555,0.875,0.8333333333333334,0.0,0.0,6,"[0, 1, 2]",line_a_equal_files,line_b_equal_role_families,posthoc_aggregation_only,False,none,file_oof_reaggregation,0.3198164873388172
b16_lr1e-3,0,0.3333333333333333,0.27777777777777773,0.5833333333333334,0.6388888888888888,0.0,0.0,6,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.3929869821636881
b16_lr1e-3,1,0.5,0.4166666666666667,0.7444444444444445,0.7611111111111111,0.0,0.0,7,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.1682890650854742
b16_lr1e-3,2,0.7222222222222222,0.6666666666666666,0.8222222222222223,0.7777777777777777,0.5,0.6666666666666666,6,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.3122318709770038
b16_lr1e-3,3,0.8888888888888888,0.8666666666666667,0.8425925925925926,0.8166666666666668,0.6666666666666666,0.8,6,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.40861611620919075
b16_lr1e-3,4,0.6666666666666666,0.5555555555555555,0.875,0.8333333333333334,0.0,0.0,6,"[0, 1, 2]",line_b_equal_role_families,line_b_equal_role_families,declared_source_line,False,none,file_oof_reaggregation,0.34318306788892855
