case_id,aggregation_view,declared_source_line,resolved_config_balance_line,source_line_provenance,source_replay_validation,evidence_role,quality_weighting,quality_weight_source,primary_ranking_eligible,participant_balanced_accuracy_mean_sd,participant_macro_f1_mean_sd,worst_class_recall,worst_class_f1,repeat_count,participant_oof_prediction_count,metric_source
b16_lr1e-3,window_balanced_to_participant,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,63.3 ± 9.7,56.0 ± 13.3,0.16666666666666666,0.2333333333333333,5,31,same_fitted_oof_report_reaggregation
b16_lr1e-3,line_a_equal_files,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,63.3 ± 9.7,56.0 ± 13.3,0.16666666666666666,0.2333333333333333,5,31,same_fitted_oof_report_reaggregation
b16_lr1e-3,line_b_equal_role_families,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,declared_training_aggregation,False,none,True,62.2 ± 19.1,55.7 ± 20.3,0.2333333333333333,0.29333333333333333,5,31,same_fitted_oof_report_reaggregation
b16_lr1e-4,window_balanced_to_participant,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,55.6 ± 16.1,45.6 ± 18.6,0.2,0.2333333333333333,5,31,same_fitted_oof_report_reaggregation
b16_lr1e-4,line_a_equal_files,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,55.6 ± 16.1,45.6 ± 18.6,0.2,0.2333333333333333,5,31,same_fitted_oof_report_reaggregation
b16_lr1e-4,line_b_equal_role_families,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,declared_training_aggregation,False,none,True,54.4 ± 23.1,47.9 ± 23.2,0.26666666666666666,0.3333333333333333,5,31,same_fitted_oof_report_reaggregation
b16_lr3e-4,window_balanced_to_participant,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,45.6 ± 14.2,33.9 ± 13.7,0.0,0.0,5,31,same_fitted_oof_report_reaggregation
b16_lr3e-4,line_a_equal_files,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,45.6 ± 14.2,33.9 ± 13.7,0.0,0.0,5,31,same_fitted_oof_report_reaggregation
b16_lr3e-4,line_b_equal_role_families,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,declared_training_aggregation,False,none,True,55.6 ± 23.3,48.8 ± 25.4,0.26666666666666666,0.3466666666666667,5,31,same_fitted_oof_report_reaggregation
b32_lr1e-3,window_balanced_to_participant,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,53.3 ± 11.4,46.0 ± 16.6,0.16666666666666666,0.18,5,31,same_fitted_oof_report_reaggregation
b32_lr1e-3,line_a_equal_files,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,53.3 ± 11.4,46.0 ± 16.6,0.16666666666666666,0.18,5,31,same_fitted_oof_report_reaggregation
b32_lr1e-3,line_b_equal_role_families,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,declared_training_aggregation,False,none,True,51.1 ± 20.9,43.6 ± 21.6,0.16666666666666666,0.2,5,31,same_fitted_oof_report_reaggregation
b32_lr1e-4,window_balanced_to_participant,line_b_equal_role_families,line_b_equal_role_families,selected_file_oof_effective_line,exact_match_persisted_subject_oof_atol_1e-7_with_dropped_coverage,posthoc_same_oof_sensitivity_only,False,none,False,52.2 ± 12.0,44.5 ± 16.4,0.16666666666666666,0.18,5,31,same_fitted_oof_report_reaggregation
