case_id,aggregation_view,declared_source_line,evidence_role,quality_weighting,quality_weight_source,class_order,class_names,confusion_matrix,metric_source
b16_lr1e-3,window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[6, 4, 0], [4, 8, 1], [0, 3, 5]]",pooled_same_fitted_oof_report_reaggregation
b16_lr1e-3,line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[6, 4, 0], [4, 8, 1], [0, 3, 5]]",pooled_same_fitted_oof_report_reaggregation
b16_lr1e-3,line_b_equal_role_families,line_b_equal_role_families,declared_training_aggregation,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[7, 3, 0], [4, 8, 1], [1, 3, 4]]",pooled_same_fitted_oof_report_reaggregation
b16_lr1e-4,window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[6, 3, 1], [4, 7, 2], [1, 4, 3]]",pooled_same_fitted_oof_report_reaggregation
b16_lr1e-4,line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[6, 3, 1], [4, 7, 2], [1, 4, 3]]",pooled_same_fitted_oof_report_reaggregation
b16_lr1e-4,line_b_equal_role_families,line_b_equal_role_families,declared_training_aggregation,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[6, 4, 0], [4, 7, 2], [1, 4, 3]]",pooled_same_fitted_oof_report_reaggregation
b16_lr3e-4,window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[3, 7, 0], [5, 6, 2], [2, 2, 4]]",pooled_same_fitted_oof_report_reaggregation
b16_lr3e-4,line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[3, 7, 0], [5, 6, 2], [2, 2, 4]]",pooled_same_fitted_oof_report_reaggregation
b16_lr3e-4,line_b_equal_role_families,line_b_equal_role_families,declared_training_aggregation,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[6, 4, 0], [5, 6, 2], [2, 2, 4]]",pooled_same_fitted_oof_report_reaggregation
b32_lr1e-3,window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[3, 6, 1], [2, 9, 2], [2, 2, 4]]",pooled_same_fitted_oof_report_reaggregation
b32_lr1e-3,line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[3, 6, 1], [2, 9, 2], [2, 2, 4]]",pooled_same_fitted_oof_report_reaggregation
b32_lr1e-3,line_b_equal_role_families,line_b_equal_role_families,declared_training_aggregation,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[4, 6, 0], [3, 7, 3], [2, 2, 4]]",pooled_same_fitted_oof_report_reaggregation
b32_lr1e-4,window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[5, 3, 2], [4, 7, 2], [2, 3, 3]]",pooled_same_fitted_oof_report_reaggregation
b32_lr1e-4,line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[5, 3, 2], [4, 7, 2], [2, 3, 3]]",pooled_same_fitted_oof_report_reaggregation
b32_lr1e-4,line_b_equal_role_families,line_b_equal_role_families,declared_training_aggregation,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[5, 3, 2], [4, 7, 2], [2, 3, 3]]",pooled_same_fitted_oof_report_reaggregation
b32_lr3e-4,window_balanced_to_participant,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[4, 5, 1], [1, 10, 2], [1, 3, 4]]",pooled_same_fitted_oof_report_reaggregation
b32_lr3e-4,line_a_equal_files,line_b_equal_role_families,posthoc_same_oof_sensitivity_only,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[4, 5, 1], [1, 10, 2], [1, 3, 4]]",pooled_same_fitted_oof_report_reaggregation
b32_lr3e-4,line_b_equal_role_families,line_b_equal_role_families,declared_training_aggregation,False,none,"[0, 1, 2]","[""Pre-Frail"", ""Robust/Non-Frail"", ""Young""]","[[4, 5, 1], [1, 10, 2], [2, 2, 4]]",pooled_same_fitted_oof_report_reaggregation
