case_id,status,repeat,fold,split_seed,training_seed,model_id,representation_mode,elapsed_seconds,retained_train_record_count,retained_oof_record_count,selected_record_count,oof_window_prediction_count,balanced_accuracy,macro_f1,abstention_aware_balanced_accuracy,abstention_aware_macro_precision,abstention_aware_macro_recall,abstention_aware_macro_f1,abstention_count,multiclass_log_loss,multiclass_brier,expected_calibration_error,worst_class_precision,worst_class_recall,worst_class_f1,coverage_rate,n_total,n_retained,n_dropped,confusion_matrix,class_order,per_class,abstention_counts_by_class,abstention_aware_per_class,abstention_probability_metrics_scope,operational_status,parameter_count,model_latency_p50_ms,model_latency_p95_ms
b16_lr1e-4,passed,0,0,42,42,inception_full,raw,118.50597800401738,115,30,145,3596,0.16666666666666666,0.09523809523809523,0.16666666666666666,0.06666666666666667,0.16666666666666666,0.09523809523809525,0,1.5891603132588346,0.8838900142934646,0.5280892101730607,0.0,0.0,0.0,1.0,6,6,0,"[[0, 2, 0], [1, 1, 0], [0, 2, 0]]","[0, 1, 2]","[{""f1"": 0.0, ""label"": 0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 2}, {""f1"": 0.2857142857142857, ""label"": 1, ""precision"": 0.2, ""recall"": 0.5, ""support"": 2}, {""f1"": 0.0, ""label"": 2, ""precision"": 0.0, ""recall"": 0.0, ""support"": 2}]","[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.0, ""false_negative"": 2, ""false_positive"": 1, ""label"": 0, ""precision"": 0.0, ""recall"": 0.0, ""retained_support"": 2, ""support"": 2, ""true_positive"": 0}, {""abstention_count"": 0, ""f1"": 0.28571428571428575, ""false_negative"": 1, ""false_positive"": 4, ""label"": 1, ""precision"": 0.2, ""recall"": 0.5, ""retained_support"": 2, ""support"": 2, ""true_positive"": 1}, {""abstention_count"": 0, ""f1"": 0.0, ""false_negative"": 2, ""false_positive"": 0, ""label"": 2, ""precision"": 0.0, ""recall"": 0.0, ""retained_support"": 2, ""support"": 2, ""true_positive"": 0}]",retained_only,not_requested,,,
b16_lr1e-4,passed,1,0,10042,10042,inception_full,raw,112.61122941999929,110,35,145,4195,0.38888888888888884,0.3238095238095238,0.38888888888888884,0.27777777777777773,0.38888888888888884,0.3238095238095238,0,1.1498909455396549,0.578254396065719,0.2996257489386697,0.0,0.0,0.0,1.0,7,7,0,"[[1, 1, 0], [1, 2, 0], [1, 1, 0]]","[0, 1, 2]","[{""f1"": 0.4, ""label"": 0, ""precision"": 0.3333333333333333, ""recall"": 0.5, ""support"": 2}, {""f1"": 0.5714285714285714, ""label"": 1, ""precision"": 0.5, ""recall"": 0.6666666666666666, ""support"": 3}, {""f1"": 0.0, ""label"": 2, ""precision"": 0.0, ""recall"": 0.0, ""support"": 2}]","[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.4, ""false_negative"": 1, ""false_positive"": 2, ""label"": 0, ""precision"": 0.3333333333333333, ""recall"": 0.5, ""retained_support"": 2, ""support"": 2, ""true_positive"": 1}, {""abstention_count"": 0, ""f1"": 0.5714285714285715, ""false_negative"": 1, ""false_positive"": 2, ""label"": 1, ""precision"": 0.5, ""recall"": 0.6666666666666666, ""retained_support"": 3, ""support"": 3, ""true_positive"": 2}, {""abstention_count"": 0, ""f1"": 0.0, ""false_negative"": 2, ""false_positive"": 0, ""label"": 2, ""precision"": 0.0, ""recall"": 0.0, ""retained_support"": 2, ""support"": 2, ""true_positive"": 0}]",retained_only,not_requested,,,
b16_lr1e-4,passed,2,0,20042,20042,inception_full,raw,114.54310752497986,115,30,145,3601,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.6666666666666666,0,0.8445853210442483,0.5014116209639126,0.35444645675472897,1.0,0.5,0.6666666666666666,1.0,6,6,0,"[[1, 1, 0], [0, 2, 1], [0, 0, 1]]","[0, 1, 2]","[{""f1"": 0.6666666666666666, ""label"": 0, ""precision"": 1.0, ""recall"": 0.5, ""support"": 2}, {""f1"": 0.6666666666666666, ""label"": 1, ""precision"": 0.6666666666666666, ""recall"": 0.6666666666666666, ""support"": 3}, {""f1"": 0.6666666666666666, ""label"": 2, ""precision"": 0.5, ""recall"": 1.0, ""support"": 1}]","[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.6666666666666666, ""false_negative"": 1, ""false_positive"": 0, ""label"": 0, ""precision"": 1.0, ""recall"": 0.5, ""retained_support"": 2, ""support"": 2, ""true_positive"": 1}, {""abstention_count"": 0, ""f1"": 0.6666666666666666, ""false_negative"": 1, ""false_positive"": 1, ""label"": 1, ""precision"": 0.6666666666666666, ""recall"": 0.6666666666666666, ""retained_support"": 3, ""support"": 3, ""true_positive"": 2}, {""abstention_count"": 0, ""f1"": 0.6666666666666666, ""false_negative"": 0, ""false_positive"": 1, ""label"": 2, ""precision"": 0.5, ""recall"": 1.0, ""retained_support"": 1, ""support"": 1, ""true_positive"": 1}]",retained_only,not_requested,,,
b16_lr1e-4,passed,3,0,30042,30042,inception_full,raw,115.06570999795804,115,30,145,3604,0.7777777777777777,0.6555555555555556,0.7777777777777777,0.7222222222222222,0.7777777777777777,0.6555555555555556,0,1.1419723727878395,0.5740231092816841,0.22419343933879113,1.0,0.3333333333333333,0.5,1.0,6,6,0,"[[2, 0, 0], [1, 1, 1], [0, 0, 1]]","[0, 1, 2]","[{""f1"": 0.8, ""label"": 0, ""precision"": 0.6666666666666666, ""recall"": 1.0, ""support"": 2}, {""f1"": 0.5, ""label"": 1, ""precision"": 1.0, ""recall"": 0.3333333333333333, ""support"": 3}, {""f1"": 0.6666666666666666, ""label"": 2, ""precision"": 0.5, ""recall"": 1.0, ""support"": 1}]","[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.8, ""false_negative"": 0, ""false_positive"": 1, ""label"": 0, ""precision"": 0.6666666666666666, ""recall"": 1.0, ""retained_support"": 2, ""support"": 2, ""true_positive"": 2}, {""abstention_count"": 0, ""f1"": 0.5, ""false_negative"": 2, ""false_positive"": 0, ""label"": 1, ""precision"": 1.0, ""recall"": 0.3333333333333333, ""retained_support"": 3, ""support"": 3, ""true_positive"": 1}, {""abstention_count"": 0, ""f1"": 0.6666666666666666, ""false_negative"": 0, ""false_positive"": 1, ""label"": 2, ""precision"": 0.5, ""recall"": 1.0, ""retained_support"": 1, ""support"": 1, ""true_positive"": 1}]",retained_only,not_requested,,,
b16_lr1e-4,passed,4,0,40042,40042,inception_full,raw,114.92522109398851,115,30,145,3541,0.6666666666666666,0.6555555555555556,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6555555555555556,0,0.6917248211637682,0.46600171040986954,0.21960358778733371,0.5,0.5,0.5,1.0,6,6,0,"[[2, 0, 0], [1, 1, 0], [0, 1, 1]]","[0, 1, 2]","[{""f1"": 0.8, ""label"": 0, ""precision"": 0.6666666666666666, ""recall"": 1.0, ""support"": 2}, {""f1"": 0.5, ""label"": 1, ""precision"": 0.5, ""recall"": 0.5, ""support"": 2}, {""f1"": 0.6666666666666666, ""label"": 2, ""precision"": 1.0, ""recall"": 0.5, ""support"": 2}]","[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.8, ""false_negative"": 0, ""false_positive"": 1, ""label"": 0, ""precision"": 0.6666666666666666, ""recall"": 1.0, ""retained_support"": 2, ""support"": 2, ""true_positive"": 2}, {""abstention_count"": 0, ""f1"": 0.5, ""false_negative"": 1, ""false_positive"": 1, ""label"": 1, ""precision"": 0.5, ""recall"": 0.5, ""retained_support"": 2, ""support"": 2, ""true_positive"": 1}, {""abstention_count"": 0, ""f1"": 0.6666666666666666, ""false_negative"": 1, ""false_positive"": 0, ""label"": 2, ""precision"": 1.0, ""recall"": 0.5, ""retained_support"": 2, ""support"": 2, ""true_positive"": 1}]",retained_only,not_requested,,,
b16_lr3e-4,passed,0,0,42,42,inception_full,raw,114.42862785799662,115,30,145,3596,0.16666666666666666,0.09523809523809523,0.16666666666666666,0.06666666666666667,0.16666666666666666,0.09523809523809525,0,1.6388175155466536,0.9132805534535943,0.4912450484836246,0.0,0.0,0.0,1.0,6,6,0,"[[0, 2, 0], [1, 1, 0], [0, 2, 0]]","[0, 1, 2]","[{""f1"": 0.0, ""label"": 0, ""precision"": 0.0, ""recall"": 0.0, ""support"": 2}, {""f1"": 0.2857142857142857, ""label"": 1, ""precision"": 0.2, ""recall"": 0.5, ""support"": 2}, {""f1"": 0.0, ""label"": 2, ""precision"": 0.0, ""recall"": 0.0, ""support"": 2}]","[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.0, ""false_negative"": 2, ""false_positive"": 1, ""label"": 0, ""precision"": 0.0, ""recall"": 0.0, ""retained_support"": 2, ""support"": 2, ""true_positive"": 0}, {""abstention_count"": 0, ""f1"": 0.28571428571428575, ""false_negative"": 1, ""false_positive"": 4, ""label"": 1, ""precision"": 0.2, ""recall"": 0.5, ""retained_support"": 2, ""support"": 2, ""true_positive"": 1}, {""abstention_count"": 0, ""f1"": 0.0, ""false_negative"": 2, ""false_positive"": 0, ""label"": 2, ""precision"": 0.0, ""recall"": 0.0, ""retained_support"": 2, ""support"": 2, ""true_positive"": 0}]",retained_only,not_requested,,,
b16_lr3e-4,passed,1,0,10042,10042,inception_full,raw,112.99669893499231,110,35,145,4195,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.3333333333333333,0,1.4464023514701605,0.8047917833403749,0.4357447341589805,0.0,0.0,0.0,1.0,7,7,0,"[[2, 0, 0], [2, 1, 0], [2, 0, 0]]","[0, 1, 2]","[{""f1"": 0.5, ""label"": 0, ""precision"": 0.3333333333333333, ""recall"": 1.0, ""support"": 2}, {""f1"": 0.5, ""label"": 1, ""precision"": 1.0, ""recall"": 0.3333333333333333, ""support"": 3}, {""f1"": 0.0, ""label"": 2, ""precision"": 0.0, ""recall"": 0.0, ""support"": 2}]","[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.5, ""false_negative"": 0, ""false_positive"": 4, ""label"": 0, ""precision"": 0.3333333333333333, ""recall"": 1.0, ""retained_support"": 2, ""support"": 2, ""true_positive"": 2}, {""abstention_count"": 0, ""f1"": 0.5, ""false_negative"": 2, ""false_positive"": 0, ""label"": 1, ""precision"": 1.0, ""recall"": 0.3333333333333333, ""retained_support"": 3, ""support"": 3, ""true_positive"": 1}, {""abstention_count"": 0, ""f1"": 0.0, ""false_negative"": 2, ""false_positive"": 0, ""label"": 2, ""precision"": 0.0, ""recall"": 0.0, ""retained_support"": 2, ""support"": 2, ""true_positive"": 0}]",retained_only,not_requested,,,
b16_lr3e-4,passed,2,0,20042,20042,inception_full,raw,114.75486191699747,115,30,145,3601,0.7222222222222222,0.6666666666666666,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.6666666666666666,0,0.9166479035813558,0.5704192023433549,0.27896739545707305,1.0,0.5,0.6666666666666666,1.0,6,6,0,"[[1, 1, 0], [0, 2, 1], [0, 0, 1]]","[0, 1, 2]","[{""f1"": 0.6666666666666666, ""label"": 0, ""precision"": 1.0, ""recall"": 0.5, ""support"": 2}, {""f1"": 0.6666666666666666, ""label"": 1, ""precision"": 0.6666666666666666, ""recall"": 0.6666666666666666, ""support"": 3}, {""f1"": 0.6666666666666666, ""label"": 2, ""precision"": 0.5, ""recall"": 1.0, ""support"": 1}]","[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.6666666666666666, ""false_negative"": 1, ""false_positive"": 0, ""label"": 0, ""precision"": 1.0, ""recall"": 0.5, ""retained_support"": 2, ""support"": 2, ""true_positive"": 1}, {""abstention_count"": 0, ""f1"": 0.6666666666666666, ""false_negative"": 1, ""false_positive"": 1, ""label"": 1, ""precision"": 0.6666666666666666, ""recall"": 0.6666666666666666, ""retained_support"": 3, ""support"": 3, ""true_positive"": 2}, {""abstention_count"": 0, ""f1"": 0.6666666666666666, ""false_negative"": 0, ""false_positive"": 1, ""label"": 2, ""precision"": 0.5, ""recall"": 1.0, ""retained_support"": 1, ""support"": 1, ""true_positive"": 1}]",retained_only,not_requested,,,
b16_lr3e-4,passed,3,0,30042,30042,inception_full,raw,114.25471585802734,115,30,145,3604,0.611111111111111,0.5222222222222223,0.611111111111111,0.5,0.611111111111111,0.5222222222222223,0,0.7929594089495972,0.5353259103117466,0.20083513597754765,0.5,0.3333333333333333,0.4,1.0,6,6,0,"[[1, 1, 0], [1, 1, 1], [0, 0, 1]]","[0, 1, 2]","[{""f1"": 0.5, ""label"": 0, ""precision"": 0.5, ""recall"": 0.5, ""support"": 2}, {""f1"": 0.4, ""label"": 1, ""precision"": 0.5, ""recall"": 0.3333333333333333, ""support"": 3}, {""f1"": 0.6666666666666666, ""label"": 2, ""precision"": 0.5, ""recall"": 1.0, ""support"": 1}]","[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.5, ""false_negative"": 1, ""false_positive"": 1, ""label"": 0, ""precision"": 0.5, ""recall"": 0.5, ""retained_support"": 2, ""support"": 2, ""true_positive"": 1}, {""abstention_count"": 0, ""f1"": 0.4, ""false_negative"": 2, ""false_positive"": 1, ""label"": 1, ""precision"": 0.5, ""recall"": 0.3333333333333333, ""retained_support"": 3, ""support"": 3, ""true_positive"": 1}, {""abstention_count"": 0, ""f1"": 0.6666666666666666, ""false_negative"": 0, ""false_positive"": 1, ""label"": 2, ""precision"": 0.5, ""recall"": 1.0, ""retained_support"": 1, ""support"": 1, ""true_positive"": 1}]",retained_only,not_requested,,,
b16_lr3e-4,passed,4,0,40042,40042,inception_full,raw,114.47380301001249,115,30,145,3541,0.8333333333333334,0.8222222222222223,0.8333333333333334,0.8888888888888888,0.8333333333333334,0.8222222222222223,0,0.6505318380938313,0.39927567091513333,0.3759587374965737,1.0,0.5,0.6666666666666666,1.0,6,6,0,"[[2, 0, 0], [1, 1, 0], [0, 0, 2]]","[0, 1, 2]","[{""f1"": 0.8, ""label"": 0, ""precision"": 0.6666666666666666, ""recall"": 1.0, ""support"": 2}, {""f1"": 0.6666666666666666, ""label"": 1, ""precision"": 1.0, ""recall"": 0.5, ""support"": 2}, {""f1"": 1.0, ""label"": 2, ""precision"": 1.0, ""recall"": 1.0, ""support"": 2}]","[[0, 0], [1, 0], [2, 0]]","[{""abstention_count"": 0, ""f1"": 0.8, ""false_negative"": 0, ""false_positive"": 1, ""label"": 0, ""precision"": 0.6666666666666666, ""recall"": 1.0, ""retained_support"": 2, ""support"": 2, ""true_positive"": 2}, {""abstention_count"": 0, ""f1"": 0.6666666666666666, ""false_negative"": 1, ""false_positive"": 0, ""label"": 1, ""precision"": 1.0, ""recall"": 0.5, ""retained_support"": 2, ""support"": 2, ""true_positive"": 1}, {""abstention_count"": 0, ""f1"": 1.0, ""false_negative"": 0, ""false_positive"": 0, ""label"": 2, ""precision"": 1.0, ""recall"": 1.0, ""retained_support"": 2, ""support"": 2, ""true_positive"": 2}]",retained_only,not_requested,,,
