case_id,predictive_rank,true_class,predicted_class,metric_source,count
b16_lr1e-4,4,0,0,participant_oof_pooled_repeats,6.0
b16_lr1e-4,4,0,1,participant_oof_pooled_repeats,4.0
b16_lr1e-4,4,0,2,participant_oof_pooled_repeats,0.0
b16_lr1e-4,4,1,0,participant_oof_pooled_repeats,4.0
b16_lr1e-4,4,1,1,participant_oof_pooled_repeats,7.0
b16_lr1e-4,4,1,2,participant_oof_pooled_repeats,2.0
b16_lr1e-4,4,2,0,participant_oof_pooled_repeats,1.0
b16_lr1e-4,4,2,1,participant_oof_pooled_repeats,4.0
b16_lr1e-4,4,2,2,participant_oof_pooled_repeats,3.0
b16_lr3e-4,3,0,0,participant_oof_pooled_repeats,6.0
b16_lr3e-4,3,0,1,participant_oof_pooled_repeats,4.0
b16_lr3e-4,3,0,2,participant_oof_pooled_repeats,0.0
b16_lr3e-4,3,1,0,participant_oof_pooled_repeats,5.0
b16_lr3e-4,3,1,1,participant_oof_pooled_repeats,6.0
b16_lr3e-4,3,1,2,participant_oof_pooled_repeats,2.0
b16_lr3e-4,3,2,0,participant_oof_pooled_repeats,2.0
b16_lr3e-4,3,2,1,participant_oof_pooled_repeats,2.0
b16_lr3e-4,3,2,2,participant_oof_pooled_repeats,4.0
b16_lr1e-3,1,0,0,participant_oof_pooled_repeats,7.0
b16_lr1e-3,1,0,1,participant_oof_pooled_repeats,3.0
b16_lr1e-3,1,0,2,participant_oof_pooled_repeats,0.0
b16_lr1e-3,1,1,0,participant_oof_pooled_repeats,4.0
b16_lr1e-3,1,1,1,participant_oof_pooled_repeats,8.0
b16_lr1e-3,1,1,2,participant_oof_pooled_repeats,1.0
b16_lr1e-3,1,2,0,participant_oof_pooled_repeats,1.0
b16_lr1e-3,1,2,1,participant_oof_pooled_repeats,3.0
b16_lr1e-3,1,2,2,participant_oof_pooled_repeats,4.0
b32_lr1e-4,5,0,0,participant_oof_pooled_repeats,5.0
b32_lr1e-4,5,0,1,participant_oof_pooled_repeats,3.0
b32_lr1e-4,5,0,2,participant_oof_pooled_repeats,2.0
b32_lr1e-4,5,1,0,participant_oof_pooled_repeats,4.0
b32_lr1e-4,5,1,1,participant_oof_pooled_repeats,7.0
b32_lr1e-4,5,1,2,participant_oof_pooled_repeats,2.0
b32_lr1e-4,5,2,0,participant_oof_pooled_repeats,2.0
b32_lr1e-4,5,2,1,participant_oof_pooled_repeats,3.0
b32_lr1e-4,5,2,2,participant_oof_pooled_repeats,3.0
b32_lr3e-4,2,0,0,participant_oof_pooled_repeats,4.0
b32_lr3e-4,2,0,1,participant_oof_pooled_repeats,5.0
b32_lr3e-4,2,0,2,participant_oof_pooled_repeats,1.0
b32_lr3e-4,2,1,0,participant_oof_pooled_repeats,1.0
b32_lr3e-4,2,1,1,participant_oof_pooled_repeats,10.0
b32_lr3e-4,2,1,2,participant_oof_pooled_repeats,2.0
b32_lr3e-4,2,2,0,participant_oof_pooled_repeats,2.0
b32_lr3e-4,2,2,1,participant_oof_pooled_repeats,2.0
b32_lr3e-4,2,2,2,participant_oof_pooled_repeats,4.0
b32_lr1e-3,6,0,0,participant_oof_pooled_repeats,4.0
b32_lr1e-3,6,0,1,participant_oof_pooled_repeats,6.0
b32_lr1e-3,6,0,2,participant_oof_pooled_repeats,0.0
b32_lr1e-3,6,1,0,participant_oof_pooled_repeats,3.0
b32_lr1e-3,6,1,1,participant_oof_pooled_repeats,7.0
b32_lr1e-3,6,1,2,participant_oof_pooled_repeats,3.0
b32_lr1e-3,6,2,0,participant_oof_pooled_repeats,2.0
b32_lr1e-3,6,2,1,participant_oof_pooled_repeats,2.0
b32_lr1e-3,6,2,2,participant_oof_pooled_repeats,4.0
