case_id,metric,metric_source,n,mean_sd,ci95
b16_lr1e-4,balanced_accuracy,participant_oof,5,54.4 ± 25.9,"[22.3, 86.6]"
b16_lr1e-4,macro_f1,participant_oof,5,47.9 ± 25.9,"[15.7, 80.1]"
b16_lr1e-4,macro_roc_auc_ovr,participant_oof,5,73.4 ± 14.0,"[56.1, 90.8]"
b16_lr1e-4,macro_pr_auc_ovr,participant_oof,5,73.1 ± 12.1,"[58.0, 88.1]"
b16_lr1e-4,abstention_aware_balanced_accuracy,participant_oof,5,54.4 ± 25.9,"[22.3, 86.6]"
b16_lr1e-4,abstention_aware_macro_f1,participant_oof,5,47.9 ± 25.9,"[15.7, 80.1]"
b16_lr3e-4,balanced_accuracy,participant_oof,5,55.6 ± 26.1,"[23.2, 87.9]"
b16_lr3e-4,macro_f1,participant_oof,5,48.8 ± 28.4,"[13.5, 84.1]"
b16_lr3e-4,macro_roc_auc_ovr,participant_oof,5,71.9 ± 13.6,"[55.1, 88.8]"
b16_lr3e-4,macro_pr_auc_ovr,participant_oof,5,71.7 ± 11.8,"[57.0, 86.4]"
b16_lr3e-4,abstention_aware_balanced_accuracy,participant_oof,5,55.6 ± 26.1,"[23.2, 87.9]"
b16_lr3e-4,abstention_aware_macro_f1,participant_oof,5,48.8 ± 28.4,"[13.5, 84.1]"
b16_lr1e-3,balanced_accuracy,participant_oof,5,62.2 ± 21.3,"[35.8, 88.7]"
b16_lr1e-3,macro_f1,participant_oof,5,55.7 ± 22.7,"[27.5, 83.8]"
b16_lr1e-3,macro_roc_auc_ovr,participant_oof,5,77.4 ± 11.7,"[62.9, 91.8]"
b16_lr1e-3,macro_pr_auc_ovr,participant_oof,5,76.6 ± 7.7,"[67.1, 86.1]"
b16_lr1e-3,abstention_aware_balanced_accuracy,participant_oof,5,62.2 ± 21.3,"[35.8, 88.7]"
b16_lr1e-3,abstention_aware_macro_f1,participant_oof,5,55.7 ± 22.7,"[27.5, 83.8]"
b32_lr1e-4,balanced_accuracy,participant_oof,5,52.2 ± 13.4,"[35.6, 68.8]"
b32_lr1e-4,macro_f1,participant_oof,5,44.5 ± 18.3,"[21.8, 67.2]"
b32_lr1e-4,macro_roc_auc_ovr,participant_oof,5,77.6 ± 10.9,"[64.1, 91.2]"
b32_lr1e-4,macro_pr_auc_ovr,participant_oof,5,76.2 ± 11.2,"[62.3, 90.1]"
b32_lr1e-4,abstention_aware_balanced_accuracy,participant_oof,5,52.2 ± 13.4,"[35.6, 68.8]"
b32_lr1e-4,abstention_aware_macro_f1,participant_oof,5,44.5 ± 18.3,"[21.8, 67.2]"
b32_lr3e-4,balanced_accuracy,participant_oof,5,58.9 ± 18.7,"[35.7, 82.1]"
b32_lr3e-4,macro_f1,participant_oof,5,50.3 ± 23.9,"[20.6, 80.0]"
b32_lr3e-4,macro_roc_auc_ovr,participant_oof,5,70.2 ± 12.4,"[54.8, 85.6]"
b32_lr3e-4,macro_pr_auc_ovr,participant_oof,5,70.8 ± 11.8,"[56.1, 85.5]"
b32_lr3e-4,abstention_aware_balanced_accuracy,participant_oof,5,58.9 ± 18.7,"[35.7, 82.1]"
b32_lr3e-4,abstention_aware_macro_f1,participant_oof,5,50.3 ± 23.9,"[20.6, 80.0]"
b32_lr1e-3,balanced_accuracy,participant_oof,5,51.1 ± 23.4,"[22.1, 80.1]"
b32_lr1e-3,macro_f1,participant_oof,5,43.6 ± 24.2,"[13.6, 73.6]"
b32_lr1e-3,macro_roc_auc_ovr,participant_oof,5,77.6 ± 9.0,"[66.4, 88.8]"
b32_lr1e-3,macro_pr_auc_ovr,participant_oof,5,77.6 ± 10.1,"[65.0, 90.1]"
b32_lr1e-3,abstention_aware_balanced_accuracy,participant_oof,5,51.1 ± 23.4,"[22.1, 80.1]"
b32_lr1e-3,abstention_aware_macro_f1,participant_oof,5,43.6 ± 24.2,"[13.6, 73.6]"
