case_id,class_label,class_name,metric,n,mean_sd,ci95
b16_lr1e-3,0,Pre-Frail,balanced_accuracy_ovr,5,73.0 ± 9.9,"[60.7, 85.3]"
b16_lr1e-3,0,Pre-Frail,f1,5,62.7 ± 12.8,"[46.8, 78.5]"
b16_lr1e-3,0,Pre-Frail,recall,5,70.0 ± 27.4,"[36.0, 104.0]"
b16_lr1e-3,0,Pre-Frail,specificity,5,76.0 ± 17.8,"[53.9, 98.1]"
b16_lr1e-3,0,Pre-Frail,roc_auc_ovr,5,86.0 ± 12.9,"[69.9, 102.1]"
b16_lr1e-3,0,Pre-Frail,pr_auc_ovr,5,78.3 ± 20.9,"[52.4, 104.3]"
b16_lr1e-3,1,Robust/Non-Frail,balanced_accuracy_ovr,5,62.5 ± 18.6,"[39.4, 85.6]"
b16_lr1e-3,1,Robust/Non-Frail,f1,5,51.0 ± 33.8,"[9.0, 93.0]"
b16_lr1e-3,1,Robust/Non-Frail,recall,5,56.7 ± 36.5,"[11.3, 102.0]"
b16_lr1e-3,1,Robust/Non-Frail,specificity,5,68.3 ± 32.5,"[28.0, 108.7]"
b16_lr1e-3,1,Robust/Non-Frail,roc_auc_ovr,5,68.1 ± 13.1,"[51.8, 84.3]"
b16_lr1e-3,1,Robust/Non-Frail,pr_auc_ovr,5,74.7 ± 16.1,"[54.7, 94.6]"
b16_lr1e-3,2,Young,balanced_accuracy_ovr,5,78.0 ± 25.9,"[45.9, 110.1]"
b16_lr1e-3,2,Young,f1,5,53.3 ± 50.6,"[-9.4, 116.1]"
b16_lr1e-3,2,Young,recall,5,60.0 ± 54.8,"[-8.0, 128.0]"
b16_lr1e-3,2,Young,specificity,5,96.0 ± 8.9,"[84.9, 107.1]"
b16_lr1e-3,2,Young,roc_auc_ovr,5,78.0 ± 22.8,"[49.7, 106.3]"
b16_lr1e-3,2,Young,pr_auc_ovr,5,76.7 ± 22.4,"[48.9, 104.4]"
b16_lr1e-4,0,Pre-Frail,balanced_accuracy_ovr,5,68.5 ± 21.8,"[41.4, 95.6]"
b16_lr1e-4,0,Pre-Frail,f1,5,53.3 ± 34.0,"[11.1, 95.5]"
b16_lr1e-4,0,Pre-Frail,recall,5,60.0 ± 41.8,"[8.1, 111.9]"
b16_lr1e-4,0,Pre-Frail,specificity,5,77.0 ± 14.4,"[59.1, 94.9]"
b16_lr1e-4,0,Pre-Frail,roc_auc_ovr,5,79.0 ± 14.9,"[60.6, 97.4]"
b16_lr1e-4,0,Pre-Frail,pr_auc_ovr,5,72.3 ± 19.9,"[47.6, 97.1]"
b16_lr1e-4,1,Robust/Non-Frail,balanced_accuracy_ovr,5,55.8 ± 17.6,"[34.0, 77.7]"
b16_lr1e-4,1,Robust/Non-Frail,f1,5,50.5 ± 14.0,"[33.1, 67.9]"
b16_lr1e-4,1,Robust/Non-Frail,recall,5,53.3 ± 13.9,"[36.0, 70.6]"
b16_lr1e-4,1,Robust/Non-Frail,specificity,5,58.3 ± 37.3,"[12.1, 104.6]"
b16_lr1e-4,1,Robust/Non-Frail,roc_auc_ovr,5,65.8 ± 11.9,"[51.0, 80.6]"
b16_lr1e-4,1,Robust/Non-Frail,pr_auc_ovr,5,75.2 ± 7.0,"[66.6, 83.9]"
b16_lr1e-4,2,Young,balanced_accuracy_ovr,5,71.0 ± 20.1,"[46.0, 96.0]"
b16_lr1e-4,2,Young,f1,5,40.0 ± 36.5,"[-5.3, 85.3]"
b16_lr1e-4,2,Young,recall,5,50.0 ± 50.0,"[-12.1, 112.1]"
b16_lr1e-4,2,Young,specificity,5,92.0 ± 11.0,"[78.4, 105.6]"
b16_lr1e-4,2,Young,roc_auc_ovr,5,75.5 ± 26.9,"[42.0, 109.0]"
b16_lr1e-4,2,Young,pr_auc_ovr,5,71.7 ± 27.4,"[37.7, 105.7]"
b16_lr3e-4,0,Pre-Frail,balanced_accuracy_ovr,5,64.5 ± 18.7,"[41.3, 87.7]"
b16_lr3e-4,0,Pre-Frail,f1,5,49.3 ± 30.3,"[11.7, 87.0]"
b16_lr3e-4,0,Pre-Frail,recall,5,60.0 ± 41.8,"[8.1, 111.9]"
b16_lr3e-4,0,Pre-Frail,specificity,5,69.0 ± 29.5,"[32.4, 105.6]"
b16_lr3e-4,0,Pre-Frail,roc_auc_ovr,5,74.5 ± 13.2,"[58.2, 90.8]"
b16_lr3e-4,0,Pre-Frail,pr_auc_ovr,5,68.3 ± 14.9,"[49.8, 86.8]"
b16_lr3e-4,1,Robust/Non-Frail,balanced_accuracy_ovr,5,56.7 ± 19.9,"[32.0, 81.4]"
b16_lr3e-4,1,Robust/Non-Frail,f1,5,50.4 ± 16.7,"[29.7, 71.1]"
b16_lr3e-4,1,Robust/Non-Frail,recall,5,46.7 ± 13.9,"[29.4, 64.0]"
b16_lr3e-4,1,Robust/Non-Frail,specificity,5,66.7 ± 40.8,"[16.0, 117.4]"
b16_lr3e-4,1,Robust/Non-Frail,roc_auc_ovr,5,65.8 ± 11.9,"[51.0, 80.6]"
b16_lr3e-4,1,Robust/Non-Frail,pr_auc_ovr,5,75.2 ± 7.0,"[66.6, 83.9]"
b16_lr3e-4,2,Young,balanced_accuracy_ovr,5,76.0 ± 24.1,"[46.1, 105.9]"
b16_lr3e-4,2,Young,f1,5,46.7 ± 44.7,"[-8.9, 102.2]"
b16_lr3e-4,2,Young,recall,5,60.0 ± 54.8,"[-8.0, 128.0]"
b16_lr3e-4,2,Young,specificity,5,92.0 ± 11.0,"[78.4, 105.6]"
b16_lr3e-4,2,Young,roc_auc_ovr,5,75.5 ± 26.9,"[42.0, 109.0]"
b16_lr3e-4,2,Young,pr_auc_ovr,5,71.7 ± 27.4,"[37.7, 105.7]"
b32_lr1e-3,0,Pre-Frail,balanced_accuracy_ovr,5,58.5 ± 25.7,"[26.6, 90.4]"
b32_lr1e-3,0,Pre-Frail,f1,5,38.0 ± 41.5,"[-13.5, 89.5]"
b32_lr1e-3,0,Pre-Frail,recall,5,40.0 ± 41.8,"[-11.9, 91.9]"
b32_lr1e-3,0,Pre-Frail,specificity,5,77.0 ± 14.4,"[59.1, 94.9]"
b32_lr1e-3,0,Pre-Frail,roc_auc_ovr,5,79.0 ± 14.9,"[60.6, 97.4]"
b32_lr1e-3,0,Pre-Frail,pr_auc_ovr,5,68.3 ± 22.4,"[40.6, 96.1]"
b32_lr1e-3,1,Robust/Non-Frail,balanced_accuracy_ovr,5,55.0 ± 25.6,"[23.2, 86.8]"
b32_lr1e-3,1,Robust/Non-Frail,f1,5,49.5 ± 22.4,"[21.7, 77.4]"
b32_lr1e-3,1,Robust/Non-Frail,recall,5,53.3 ± 27.4,"[19.3, 87.3]"
b32_lr1e-3,1,Robust/Non-Frail,specificity,5,56.7 ± 39.7,"[7.4, 106.0]"
b32_lr1e-3,1,Robust/Non-Frail,roc_auc_ovr,5,64.7 ± 20.2,"[39.6, 89.8]"
b32_lr1e-3,1,Robust/Non-Frail,pr_auc_ovr,5,75.3 ± 13.9,"[58.1, 92.5]"
b32_lr1e-3,2,Young,balanced_accuracy_ovr,5,74.0 ± 23.0,"[45.4, 102.6]"
b32_lr1e-3,2,Young,f1,5,43.3 ± 43.5,"[-10.6, 97.3]"
b32_lr1e-3,2,Young,recall,5,60.0 ± 54.8,"[-8.0, 128.0]"
b32_lr1e-3,2,Young,specificity,5,88.0 ± 17.9,"[65.8, 110.2]"
b32_lr1e-3,2,Young,roc_auc_ovr,5,89.0 ± 15.2,"[70.2, 107.8]"
b32_lr1e-3,2,Young,pr_auc_ovr,5,89.0 ± 15.2,"[70.2, 107.8]"
b32_lr1e-4,0,Pre-Frail,balanced_accuracy_ovr,5,62.0 ± 19.8,"[37.4, 86.6]"
b32_lr1e-4,0,Pre-Frail,f1,5,39.3 ± 37.4,"[-7.2, 85.8]"
b32_lr1e-4,0,Pre-Frail,recall,5,50.0 ± 50.0,"[-12.1, 112.1]"
b32_lr1e-4,0,Pre-Frail,specificity,5,74.0 ± 32.7,"[33.4, 114.6]"
b32_lr1e-4,0,Pre-Frail,roc_auc_ovr,5,83.5 ± 10.5,"[70.4, 96.6]"
b32_lr1e-4,0,Pre-Frail,pr_auc_ovr,5,75.0 ± 17.7,"[53.1, 96.9]"
b32_lr1e-4,1,Robust/Non-Frail,balanced_accuracy_ovr,5,61.7 ± 6.8,"[53.2, 70.2]"
b32_lr1e-4,1,Robust/Non-Frail,f1,5,52.9 ± 3.9,"[48.0, 57.7]"
b32_lr1e-4,1,Robust/Non-Frail,recall,5,56.7 ± 27.9,"[22.0, 91.3]"
b32_lr1e-4,1,Robust/Non-Frail,specificity,5,66.7 ± 35.8,"[22.2, 111.2]"
b32_lr1e-4,1,Robust/Non-Frail,roc_auc_ovr,5,73.9 ± 15.9,"[54.2, 93.6]"
b32_lr1e-4,1,Robust/Non-Frail,pr_auc_ovr,5,82.0 ± 12.6,"[66.3, 97.7]"
b32_lr1e-4,2,Young,balanced_accuracy_ovr,5,66.5 ± 24.1,"[36.6, 96.4]"
b32_lr1e-4,2,Young,f1,5,41.3 ± 43.3,"[-12.4, 95.1]"
b32_lr1e-4,2,Young,recall,5,50.0 ± 50.0,"[-12.1, 112.1]"
b32_lr1e-4,2,Young,specificity,5,83.0 ± 26.4,"[50.3, 115.7]"
b32_lr1e-4,2,Young,roc_auc_ovr,5,75.5 ± 26.9,"[42.0, 109.0]"
b32_lr1e-4,2,Young,pr_auc_ovr,5,71.7 ± 27.4,"[37.7, 105.7]"
b32_lr3e-4,0,Pre-Frail,balanced_accuracy_ovr,5,63.5 ± 16.9,"[42.5, 84.5]"
b32_lr3e-4,0,Pre-Frail,f1,5,37.3 ± 37.0,"[-8.6, 83.3]"
b32_lr3e-4,0,Pre-Frail,recall,5,40.0 ± 41.8,"[-11.9, 91.9]"
b32_lr3e-4,0,Pre-Frail,specificity,5,87.0 ± 18.6,"[63.9, 110.1]"
b32_lr3e-4,0,Pre-Frail,roc_auc_ovr,5,78.5 ± 16.3,"[58.3, 98.7]"
b32_lr3e-4,0,Pre-Frail,pr_auc_ovr,5,71.7 ± 21.7,"[44.7, 98.6]"
b32_lr3e-4,1,Robust/Non-Frail,balanced_accuracy_ovr,5,69.2 ± 13.7,"[52.2, 86.2]"
b32_lr3e-4,1,Robust/Non-Frail,f1,5,65.5 ± 15.7,"[46.0, 84.9]"
b32_lr3e-4,1,Robust/Non-Frail,recall,5,76.7 ± 32.5,"[36.3, 117.0]"
b32_lr3e-4,1,Robust/Non-Frail,specificity,5,61.7 ± 43.9,"[7.1, 116.2]"
b32_lr3e-4,1,Robust/Non-Frail,roc_auc_ovr,5,56.1 ± 21.9,"[28.9, 83.3]"
b32_lr3e-4,1,Robust/Non-Frail,pr_auc_ovr,5,64.7 ± 18.8,"[41.3, 88.1]"
b32_lr3e-4,2,Young,balanced_accuracy_ovr,5,74.0 ± 25.1,"[42.8, 105.2]"
b32_lr3e-4,2,Young,f1,5,48.0 ± 50.2,"[-14.3, 110.3]"
b32_lr3e-4,2,Young,recall,5,60.0 ± 54.8,"[-8.0, 128.0]"
b32_lr3e-4,2,Young,specificity,5,88.0 ± 26.8,"[54.7, 121.3]"
b32_lr3e-4,2,Young,roc_auc_ovr,5,76.0 ± 25.1,"[44.8, 107.2]"
b32_lr3e-4,2,Young,pr_auc_ovr,5,76.2 ± 22.7,"[48.1, 104.3]"
