case_id,repeat,class_label,class_name,precision,recall,specificity,balanced_accuracy_ovr,f1,roc_auc_ovr,pr_auc_ovr,support
b16_lr1e-4,,0,Pre-Frail,0.5454545454545454,0.6,0.7619047619047619,0.680952380952381,0.5714285714285714,0.7761904761904762,0.6318832382451307,10
b16_lr1e-4,,1,Robust/Non-Frail,0.4666666666666667,0.5384615384615384,0.5555555555555556,0.5470085470085471,0.5,0.6367521367521367,0.6319405544480508,13
b16_lr1e-4,,2,Young,0.6,0.375,0.9130434782608695,0.6440217391304348,0.46153846153846156,0.7119565217391305,0.5172186609686609,8
b16_lr3e-4,,0,Pre-Frail,0.46153846153846156,0.6,0.6666666666666666,0.6333333333333333,0.5217391304347826,0.6952380952380952,0.5542533191446235,10
b16_lr3e-4,,1,Robust/Non-Frail,0.5,0.46153846153846156,0.6666666666666666,0.5641025641025641,0.48,0.6111111111111112,0.5919232426698491,13
b16_lr3e-4,,2,Young,0.6666666666666666,0.5,0.9130434782608695,0.7065217391304348,0.5714285714285714,0.7445652173913043,0.618912037037037,8
b16_lr1e-3,,0,Pre-Frail,0.5833333333333334,0.7,0.7619047619047619,0.7309523809523809,0.6363636363636364,0.8095238095238095,0.651451786517576,10
b16_lr1e-3,,1,Robust/Non-Frail,0.5714285714285714,0.6153846153846154,0.6666666666666666,0.641025641025641,0.5925925925925926,0.6752136752136753,0.7071463770535387,13
b16_lr1e-3,,2,Young,0.8,0.5,0.9565217391304348,0.7282608695652174,0.6153846153846154,0.7880434782608696,0.718125,8
b32_lr1e-4,,0,Pre-Frail,0.45454545454545453,0.5,0.7142857142857143,0.6071428571428572,0.47619047619047616,0.7047619047619048,0.5849754901960784,10
b32_lr1e-4,,1,Robust/Non-Frail,0.5384615384615384,0.5384615384615384,0.6666666666666666,0.6025641025641025,0.5384615384615384,0.6367521367521367,0.5679417832561848,13
b32_lr1e-4,,2,Young,0.42857142857142855,0.375,0.8260869565217391,0.6005434782608696,0.4,0.7010869565217391,0.49935469224262324,8
b32_lr3e-4,,0,Pre-Frail,0.5714285714285714,0.4,0.8571428571428571,0.6285714285714286,0.47058823529411764,0.719047619047619,0.6046348147896136,10
b32_lr3e-4,,1,Robust/Non-Frail,0.5882352941176471,0.7692307692307693,0.6111111111111112,0.6901709401709402,0.6666666666666666,0.6196581196581197,0.5431166056166056,13
b32_lr3e-4,,2,Young,0.5714285714285714,0.5,0.8695652173913043,0.6847826086956521,0.5333333333333333,0.6956521739130435,0.5125,8
b32_lr1e-3,,0,Pre-Frail,0.4444444444444444,0.4,0.7619047619047619,0.5809523809523809,0.42105263157894735,0.7285714285714285,0.5767504769052756,10
b32_lr1e-3,,1,Robust/Non-Frail,0.4666666666666667,0.5384615384615384,0.5555555555555556,0.5470085470085471,0.5,0.5854700854700854,0.5329124943447192,13
b32_lr1e-3,,2,Young,0.5714285714285714,0.5,0.8695652173913043,0.6847826086956521,0.5333333333333333,0.6521739130434783,0.5791647761645493,8
