contract_schema_version,dataset_id,record_id,subject_id,source_files,canonical_representation,activity_raw,activity_binary,activity_label_source,container_grid_fs_hz,channel_rate_detail,ppg_channels,ppg_placement,ppg_wavelength_status,ecg_channels,ecg_reference_type,imu_channels,imu_unit_status,checksum_sha256,checksum_status,inclusion_status,inclusion_reason,known_quality_flags,evaluation_role,independence_claim,resampling_required,target_internal_fs_hz,source_manifest_sha256
external_records_v2,ptt_ppg_1_1_0_local,s10_run,s10,"[""csv/s10_run.csv"",""s10_run.hea"",""s10_run.dat"",""s10_run.atr""]",csv/s10_run.csv,run,motion,record_name_official_protocol,500,PPG_acquisition_1000_to_export_500;ECG_IMU_500;loadcell_80;temperature_10,pleth_1..pleth_6,left_index_finger_distal_and_proximal,project_adopted_distal_pleth_1_red_pleth_2_ir_v2,three_lead_ra_la_ll_exported_ecg,manually_verified_r_peaks,accelerometer_xyz;gyroscope_xyz,declared_g_but_values_and_code_inference_conflict,da71e199602a9a6f9d9a1a5440cd636b74e139bd2b772eaa7b60cf8ef2447179,official_entry_and_full_snapshot_audit_pass,included,synchronized_ppg_ecg_imu_and_manual_verified_peaks,,heartbeat_motion_benchmark_candidate,none_not_an_independent_external_test,true,400,43ab3273346469e9f689ce32da9c5ad280d0a53a8bc8864adf5716f40f9f024e
external_records_v2,ptt_ppg_1_1_0_local,s10_sit,s10,"[""csv/s10_sit.csv"",""s10_sit.hea"",""s10_sit.dat"",""s10_sit.atr""]",csv/s10_sit.csv,sit,static,record_name_official_protocol,500,PPG_acquisition_1000_to_export_500;ECG_IMU_500;loadcell_80;temperature_10,pleth_1..pleth_6,left_index_finger_distal_and_proximal,project_adopted_distal_pleth_1_red_pleth_2_ir_v2,three_lead_ra_la_ll_exported_ecg,manually_verified_r_peaks,accelerometer_xyz;gyroscope_xyz,declared_g_but_values_and_code_inference_conflict,7f8e753163e7dde348c2f4657540b9fd996c813bf3096dc737ecf9afe5de7912,official_entry_and_full_snapshot_audit_pass,included,synchronized_ppg_ecg_imu_and_manual_verified_peaks,,heartbeat_motion_benchmark_candidate,none_not_an_independent_external_test,true,400,43ab3273346469e9f689ce32da9c5ad280d0a53a8bc8864adf5716f40f9f024e
external_records_v2,ptt_ppg_1_1_0_local,s10_walk,s10,"[""csv/s10_walk.csv"",""s10_walk.hea"",""s10_walk.dat"",""s10_walk.atr""]",csv/s10_walk.csv,walk,motion,record_name_official_protocol,500,PPG_acquisition_1000_to_export_500;ECG_IMU_500;loadcell_80;temperature_10,pleth_1..pleth_6,left_index_finger_distal_and_proximal,project_adopted_distal_pleth_1_red_pleth_2_ir_v2,three_lead_ra_la_ll_exported_ecg,manually_verified_r_peaks,accelerometer_xyz;gyroscope_xyz,declared_g_but_values_and_code_inference_conflict,ee7905e261b3fd45fb9c8d1c9c104abe729e81ddf13c2e56ba7351136c15d903,official_entry_and_full_snapshot_audit_pass,included,synchronized_ppg_ecg_imu_and_manual_verified_peaks,,heartbeat_motion_benchmark_candidate,none_not_an_independent_external_test,true,400,43ab3273346469e9f689ce32da9c5ad280d0a53a8bc8864adf5716f40f9f024e
external_records_v2,ptt_ppg_1_1_0_local,s11_run,s11,"[""csv/s11_run.csv"",""s11_run.hea"",""s11_run.dat"",""s11_run.atr""]",csv/s11_run.csv,run,motion,record_name_official_protocol,500,PPG_acquisition_1000_to_export_500;ECG_IMU_500;loadcell_80;temperature_10,pleth_1..pleth_6,left_index_finger_distal_and_proximal,project_adopted_distal_pleth_1_red_pleth_2_ir_v2,three_lead_ra_la_ll_exported_ecg,manually_verified_r_peaks,accelerometer_xyz;gyroscope_xyz,declared_g_but_values_and_code_inference_conflict,e58458de365eac4f393029e7949c49349cc89734057db802ce99a5ffbcd070f4,official_entry_and_full_snapshot_audit_pass,included,synchronized_ppg_ecg_imu_and_manual_verified_peaks,,heartbeat_motion_benchmark_candidate,none_not_an_independent_external_test,true,400,43ab3273346469e9f689ce32da9c5ad280d0a53a8bc8864adf5716f40f9f024e
external_records_v2,ptt_ppg_1_1_0_local,s11_sit,s11,"[""csv/s11_sit.csv"",""s11_sit.hea"",""s11_sit.dat"",""s11_sit.atr""]",csv/s11_sit.csv,sit,static,record_name_official_protocol,500,PPG_acquisition_1000_to_export_500;ECG_IMU_500;loadcell_80;temperature_10,pleth_1..pleth_6,left_index_finger_distal_and_proximal,project_adopted_distal_pleth_1_red_pleth_2_ir_v2,three_lead_ra_la_ll_exported_ecg,manually_verified_r_peaks,accelerometer_xyz;gyroscope_xyz,declared_g_but_values_and_code_inference_conflict,34908b04023b9d8179620ce614f398a096795988577bc7520226f409d362b146,official_entry_and_full_snapshot_audit_pass,included,synchronized_ppg_ecg_imu_and_manual_verified_peaks,,heartbeat_motion_benchmark_candidate,none_not_an_independent_external_test,true,400,43ab3273346469e9f689ce32da9c5ad280d0a53a8bc8864adf5716f40f9f024e
external_records_v2,ptt_ppg_1_1_0_local,s11_walk,s11,"[""csv/s11_walk.csv"",""s11_walk.hea"",""s11_walk.dat"",""s11_walk.atr""]",csv/s11_walk.csv,walk,motion,record_name_official_protocol,500,PPG_acquisition_1000_to_export_500;ECG_IMU_500;loadcell_80;temperature_10,pleth_1..pleth_6,left_index_finger_distal_and_proximal,project_adopted_distal_pleth_1_red_pleth_2_ir_v2,three_lead_ra_la_ll_exported_ecg,manually_verified_r_peaks,accelerometer_xyz;gyroscope_xyz,declared_g_but_values_and_code_inference_conflict,d41240a70b342b13fef76ec6add1641aa719f95e0430a98614d5ebfdaedd9b76,official_entry_and_full_snapshot_audit_pass,included,synchronized_ppg_ecg_imu_and_manual_verified_peaks,,heartbeat_motion_benchmark_candidate,none_not_an_independent_external_test,true,400,43ab3273346469e9f689ce32da9c5ad280d0a53a8bc8864adf5716f40f9f024e
external_records_v2,ptt_ppg_1_1_0_local,s12_run,s12,"[""csv/s12_run.csv"",""s12_run.hea"",""s12_run.dat"",""s12_run.atr""]",csv/s12_run.csv,run,motion,record_name_official_protocol,500,PPG_acquisition_1000_to_export_500;ECG_IMU_500;loadcell_80;temperature_10,pleth_1..pleth_6,left_index_finger_distal_and_proximal,project_adopted_distal_pleth_1_red_pleth_2_ir_v2,three_lead_ra_la_ll_exported_ecg,manually_verified_r_peaks,accelerometer_xyz;gyroscope_xyz,declared_g_but_values_and_code_inference_conflict,37b13649688844a08387ae7ef016c07d3db2ea74b2ef445ada050563a77ce149,official_entry_and_full_snapshot_audit_pass,included,synchronized_ppg_ecg_imu_and_manual_verified_peaks,,heartbeat_motion_benchmark_candidate,none_not_an_independent_external_test,true,400,43ab3273346469e9f689ce32da9c5ad280d0a53a8bc8864adf5716f40f9f024e
external_records_v2,ptt_ppg_1_1_0_local,s12_sit,s12,"[""csv/s12_sit.csv"",""s12_sit.hea"",""s12_sit.dat"",""s12_sit.atr""]",csv/s12_sit.csv,sit,static,record_name_official_protocol,500,PPG_acquisition_1000_to_export_500;ECG_IMU_500;loadcell_80;temperature_10,pleth_1..pleth_6,left_index_finger_distal_and_proximal,project_adopted_distal_pleth_1_red_pleth_2_ir_v2,three_lead_ra_la_ll_exported_ecg,manually_verified_r_peaks,accelerometer_xyz;gyroscope_xyz,declared_g_but_values_and_code_inference_conflict,61f0c0e34f66093468ab06d682920a42bca387bbf7afb6a6d9b1482cfc06b691,official_entry_and_full_snapshot_audit_pass,included,synchronized_ppg_ecg_imu_and_manual_verified_peaks,,heartbeat_motion_benchmark_candidate,none_not_an_independent_external_test,true,400,43ab3273346469e9f689ce32da9c5ad280d0a53a8bc8864adf5716f40f9f024e
external_records_v2,ptt_ppg_1_1_0_local,s12_walk,s12,"[""csv/s12_walk.csv"",""s12_walk.hea"",""s12_walk.dat"",""s12_walk.atr""]",csv/s12_walk.csv,walk,motion,record_name_official_protocol,500,PPG_acquisition_1000_to_export_500;ECG_IMU_500;loadcell_80;temperature_10,pleth_1..pleth_6,left_index_finger_distal_and_proximal,project_adopted_distal_pleth_1_red_pleth_2_ir_v2,three_lead_ra_la_ll_exported_ecg,manually_verified_r_peaks,accelerometer_xyz;gyroscope_xyz,declared_g_but_values_and_code_inference_conflict,7095202f18220cea948c2935cf1d7005084878365a9156b09efedcc2a63f1bf2,official_entry_and_full_snapshot_audit_pass,included,synchronized_ppg_ecg_imu_and_manual_verified_peaks,,heartbeat_motion_benchmark_candidate,none_not_an_independent_external_test,true,400,43ab3273346469e9f689ce32da9c5ad280d0a53a8bc8864adf5716f40f9f024e
external_records_v2,ptt_ppg_1_1_0_local,s13_run,s13,"[""csv/s13_run.csv"",""s13_run.hea"",""s13_run.dat"",""s13_run.atr""]",csv/s13_run.csv,run,motion,record_name_official_protocol,500,PPG_acquisition_1000_to_export_500;ECG_IMU_500;loadcell_80;temperature_10,pleth_1..pleth_6,left_index_finger_distal_and_proximal,project_adopted_distal_pleth_1_red_pleth_2_ir_v2,three_lead_ra_la_ll_exported_ecg,manually_verified_r_peaks,accelerometer_xyz;gyroscope_xyz,declared_g_but_values_and_code_inference_conflict,6dffc05bd2bfe7f4a0a611b3420e2992b1538eb302b9efac8cc6e209889f0cda,official_entry_and_full_snapshot_audit_pass,included,synchronized_ppg_ecg_imu_and_manual_verified_peaks,,heartbeat_motion_benchmark_candidate,none_not_an_independent_external_test,true,400,43ab3273346469e9f689ce32da9c5ad280d0a53a8bc8864adf5716f40f9f024e
