model,fold,epoch,train_loss,train_balanced_accuracy,val_loss,val_balanced_accuracy
cnn,1,1,0.3231123842872106,0.884448639798741,1.6293745293174804,0.6535515006248217
cnn,1,2,0.10146604695667823,0.9671149023165153,2.4221047266252342,0.49272391835546486
cnn,1,3,0.06315715795812699,0.9788375749697683,1.2906195101671252,0.686071614260154
cnn,1,4,0.04961893435639258,0.9828015188932387,1.38887171113757,0.6409907707196678
cnn,1,5,0.04757952727138614,0.9846055889220103,2.373950069038635,0.48724924642977624
cnn,1,6,0.035952291035881406,0.9872764707355067,2.7012776751682783,0.5039278297750264
cnn,1,7,0.03859591538635775,0.9867126196799041,2.834112082836716,0.49571207066586
cnn,1,8,0.024041791182333745,0.9915857716886484,2.3377102849583817,0.5677763759710771
cnn,1,9,0.024680073974200356,0.9913356540963312,3.3072858688149367,0.48197634744153534
cnn,1,10,0.027649441400232413,0.9905603604784097,2.088276192248605,0.6254054027621495
cnn,1,11,0.024214132588494044,0.9932699825014858,2.291917634928398,0.5989955363337988
cnn,1,12,0.016367899117288358,0.9948626576437455,2.1701928962121007,0.6250016586430635
cnn,1,13,0.023345896600856064,0.9921882500984426,2.1588842700935325,0.6030435064939069
cnn,2,1,0.2752313176554042,0.9044479717577802,2.3121573277097824,0.3407703521479659
cnn,2,2,0.07486236056063286,0.9768023173771101,2.1942845282459875,0.3623684570179035
cnn,2,3,0.04816199603764167,0.9847150725846346,2.9732637281457035,0.33689809120313424
cnn,2,4,0.03618480924567323,0.9890412980428387,2.835511004119516,0.40711129333515556
cnn,2,5,0.03831281951063351,0.9876220493288207,4.322883089016194,0.3630472415835269
cnn,2,6,0.02706298937771431,0.9910636675822649,2.6105661148174324,0.3587900323447679
cnn,2,7,0.028331138105395722,0.9907490597095174,5.519293026941149,0.35712723793904605
cnn,2,8,0.02273896922772635,0.9929872151829455,2.912466612329856,0.3745364675868981
cnn,2,9,0.025175538477061808,0.9921781138676451,3.3202849536668224,0.2970411370780374
cnn,2,10,0.022636455672834496,0.9935129775383609,3.7902835739646807,0.3828208282082821
cnn,2,11,0.015274588409269686,0.9948981784687163,3.671287485369087,0.4349323493234933
cnn,2,12,0.014045062642065944,0.9958769761608878,3.5713501161059624,0.36003371144822566
cnn,2,13,0.01894500278244449,0.9931615430111506,3.9009390381140174,0.4492551592182588
cnn,2,14,0.015185272645672722,0.9951866914213771,4.080520291482759,0.3848321260990388
cnn,2,15,0.014432928313908633,0.9947588247144407,4.136254120493728,0.4157236572365724
cnn,2,16,0.009842017881280684,0.9962265581075647,4.257515924743475,0.3575668534463123
cnn,2,17,0.013121756954599722,0.9956378741775999,3.747926610821916,0.42033620336203364
cnn,2,18,0.009945921501995829,0.9970697072065278,4.959652309816673,0.4287595098173204
cnn,2,19,0.01476668510515514,0.9956341690165328,5.666694701016334,0.4358070247369141
cnn,2,20,0.01228046832944791,0.9968567001433262,4.388669533187952,0.46198350872397614
cnn,2,21,0.017100797614645117,0.9944101690580306,4.175990011077805,0.45308414195253066
cnn,2,22,0.016824373824916975,0.9943067156679511,3.8755432222051707,0.4179240125734591
cnn,2,23,0.010796664474217267,0.9964791706960293,3.9575991809717235,0.37339528950845063
cnn,2,24,0.009295610560264922,0.9962931848431812,4.674343990856642,0.3386406086283085
cnn,2,25,0.007038981140752738,0.997485915888821,4.965728848940766,0.41763473190287453
cnn,2,26,0.0048139987404714904,0.9986427465702649,3.977855419114752,0.38059769486583755
cnn,2,27,0.00729316896458559,0.9982517065177912,5.44651929730083,0.32318117625620696
cnn,2,28,0.008177839359097898,0.9967191989695842,4.5281061707308385,0.40878775454421207
cnn,2,29,0.008046091003971296,0.9981528845790456,4.954175802014563,0.43085736412919684
cnn,2,30,0.012125213593170668,0.9956280687334903,6.611599343423161,0.4453168420573094
cnn,3,1,0.31037027033564357,0.8883254895578108,1.276167768138402,0.666406203010231
cnn,3,2,0.07666625754341252,0.9761026493361245,2.461021806124971,0.5588825277998398
cnn,3,3,0.05247561807729803,0.9821170878781338,2.3236543623104904,0.5387180970794815
cnn,3,4,0.04294669882096734,0.9853918346479725,2.385055593402493,0.6314939837153742
cnn,3,5,0.03158119850589164,0.9905491987202356,2.170219810547527,0.5908886572719688
cnn,3,6,0.03555654123912748,0.9875551447948235,2.7718497467702172,0.505502766244217
cnn,3,7,0.03302545408831103,0.9891282551056636,2.512460632497229,0.5256349240703426
cnn,3,8,0.024052384938353422,0.9913161384650504,3.3370222717143454,0.4712468237111526
cnn,3,9,0.02304868469586039,0.9915063235187748,2.846805336249281,0.5851884924543195
cnn,3,10,0.019589357357112133,0.9927266068771052,2.597846926852374,0.6386901041805989
cnn,3,11,0.013815140869408743,0.9955198140133907,2.5265662657195076,0.6282076119825387
cnn,4,1,0.30525890007394874,0.890025998509968,2.409173851625787,0.4314814814814814
cnn,4,2,0.0944635407457798,0.96783891303289,3.1513688177643,0.4530864197530864
cnn,4,3,0.06304872464480366,0.9799445026507264,2.601238483709318,0.4067901234567901
cnn,4,4,0.05143278990092279,0.982324211441065,2.579277752631654,0.45370370370370366
cnn,4,5,0.04765938324429407,0.9853419869846786,3.0463270568593535,0.478395061728395
cnn,4,6,0.03071546311612961,0.9909848763335573,3.89217516528339,0.4685185185185185
cnn,4,7,0.036137554060072484,0.9870243568029086,2.6865918352872207,0.5222222222222223
cnn,4,8,0.02953150441292031,0.9892919057824076,2.858630616699671,0.5660493827160494
cnn,4,9,0.03508489084627314,0.9870243568029086,3.048005299605429,0.5296296296296297
cnn,4,10,0.03356008041647763,0.9896327738442151,2.8093374694770668,0.5098765432098765
