model,fold,epoch,train_loss,train_balanced_accuracy,val_loss,val_balanced_accuracy
cnn,1,1,0.14898795427480885,0.9478612499067474,5.233096272460703,0.37191348138429553
cnn,1,2,0.03134130334410187,0.9902302079325466,6.616270093156771,0.2985562482898744
cnn,1,3,0.024279669825360898,0.9918328328773692,6.284024716042874,0.283354246336096
cnn,1,4,0.014455602049153088,0.9947397490145674,8.053024036297488,0.23301469832459656
cnn,1,5,0.013553480402686209,0.9954768215408457,6.486992098804624,0.4010291076539882
cnn,1,6,0.011061489862729958,0.9967926412608356,7.112660371095064,0.3464406428366946
cnn,1,7,0.012403982875700431,0.9949359585840081,6.534368611943969,0.3550999602303369
cnn,1,8,0.010674624448230724,0.9962521749055018,8.197689154669426,0.3170374204658147
cnn,1,9,0.008724105686482776,0.9970394533992758,8.008936694718564,0.3300786494043994
cnn,1,10,0.0076083347777062185,0.9969572931419598,8.176977620270254,0.29498295782463774
cnn,1,11,0.009044169995222453,0.9969432591633226,8.148695287618525,0.29157768477415397
cnn,1,12,0.008137186907839988,0.9971675366900378,9.164151200499804,0.27824800002505573
cnn,1,13,0.005569347161193121,0.998565451432332,8.371621885365645,0.3348463584753467
cnn,1,14,0.004371288885180285,0.998385449926059,9.494150159211191,0.27553657013657373
cnn,1,15,0.008848868794162046,0.9968649852385524,9.457425654214541,0.32397188176309283
cnn,2,1,0.1852782067998002,0.9310738181089206,2.9590488720474335,0.3708749226927202
cnn,2,2,0.04139434870090694,0.9844649738113319,4.542823330391301,0.337651776697433
cnn,2,3,0.0309182569615913,0.9894960898440471,4.104534772079068,0.3767802202963902
cnn,2,4,0.019497096351570247,0.9934057906497017,3.859421184849719,0.4334127934740913
cnn,2,5,0.015571862537986958,0.994977670986419,4.059727876929507,0.4170322616000062
cnn,2,6,0.019619351179967336,0.9934227861328916,3.775111227758458,0.3663423675207653
cnn,2,7,0.009368143146060996,0.9968739758695714,4.794289529462297,0.3989944182186837
cnn,2,8,0.010093164982110745,0.996648604631296,4.096647515256685,0.41992061814509496
cnn,2,9,0.012033352181867648,0.9960243675227995,4.7889295174252,0.3901657311507238
cnn,2,10,0.012253707705923052,0.996150245581284,5.2407345491336415,0.38107674362166016
cnn,2,11,0.006211092972392716,0.9976551519984548,5.3544836997410945,0.3883718108300649
cnn,2,12,0.012973749189138918,0.9957292444517414,5.012091043641598,0.4343126893539069
cnn,2,13,0.008516250706055965,0.9969695102046782,4.420071821965963,0.4009439316721075
cnn,2,14,0.00835002694438327,0.9978608885237509,4.699586670212964,0.4033721631164033
cnn,2,15,0.007500318264742535,0.9978304061169266,4.616382632084679,0.42500117428779444
cnn,2,16,0.007480584135814402,0.997129829514671,5.233658212939412,0.3688300962133133
cnn,2,17,0.007356411077697162,0.9976460637911361,6.218022073381548,0.35776028088964046
cnn,2,18,0.008794939000301547,0.9970108403053478,4.752401109664457,0.3598272231225095
cnn,2,19,0.009039680772923766,0.9974390076509453,6.098512075236275,0.28307831716730464
cnn,2,20,0.002011766236308013,0.9991203491180357,6.056827779740704,0.36701758300257564
cnn,2,21,0.009132670980326834,0.9971289497714079,6.0635450263108295,0.26694497287395197
cnn,2,22,0.00930706249746086,0.9967165969775525,5.953552323446106,0.34224050196888917
cnn,3,1,0.18605139674666846,0.9306355470097497,2.0689876631991364,0.47616903955754336
cnn,3,2,0.042322712746681646,0.9848248551728546,3.1250738573894465,0.42631799903831946
cnn,3,3,0.031021237807209154,0.9897703655498261,1.4036637403940122,0.615259244366
