model,fold,epoch,train_loss,train_balanced_accuracy,val_loss,val_balanced_accuracy
cnn,1,1,0.1858696577163079,0.93273279596308,1.555174355160706,0.6198056695900195
cnn,1,2,0.04105477115536371,0.9860703336731187,2.575230710122251,0.5129957503494164
cnn,1,3,0.019953330721555407,0.9932623940970272,3.738528792838503,0.5014561586496274
cnn,1,4,0.0176932297788041,0.9941142704064946,2.0948549676336596,0.6414142313248906
cnn,1,5,0.026062058479930365,0.9916495028742269,3.341408908511206,0.46300471318955605
cnn,1,6,0.014480655858008108,0.9947813721409434,3.7852128357517474,0.4489229525273888
cnn,1,7,0.01263248944445737,0.9963695522852177,4.15458942503208,0.5270431817258681
cnn,1,8,0.010339214248522648,0.9970968483120393,3.8295943586836803,0.520912431664126
cnn,1,9,0.007313376768429291,0.9969065945837059,3.55506209196233,0.579906045910359
cnn,1,10,0.012706778987499908,0.9956897279168041,3.3212516981195344,0.5409598578421745
cnn,1,11,0.009293462680598634,0.9968573585979629,4.98461634810542,0.4839895524430336
cnn,1,12,0.01221898283304957,0.9957289259566302,3.0135724777859827,0.5955216879585333
cnn,1,13,0.007944621559008972,0.9971264852778693,4.7813024957756864,0.46735304532593497
cnn,1,14,0.007122236019359918,0.997677647442956,4.052407579943526,0.5509601318597006
cnn,1,15,0.008705205088141063,0.9969558305694491,3.1127796333693705,0.5350756927158652
cnn,1,16,0.004533753315318114,0.9981266228105768,3.561397689617564,0.5768238862046625
cnn,1,17,0.007649944526574705,0.9975703485868772,3.7225193026608867,0.47114216804604975
cnn,1,18,0.004623975487057135,0.9982552850139038,4.417782124556928,0.5284004627812391
cnn,1,19,0.00937120485049059,0.9969381820481802,4.55600179408856,0.4912448955424926
cnn,1,20,0.005252956380455451,0.9980440350330241,3.646829509033658,0.5704136008202552
cnn,1,21,0.006447343333777028,0.9980613164595912,4.035606447191444,0.507576901785158
cnn,1,22,0.0064798322102366255,0.9982570493412393,3.947869639608131,0.5354182740966476
cnn,1,23,0.0017590617302245776,0.999501788646636,5.148817174222309,0.4439460651567861
cnn,1,24,0.009398828509892628,0.996115942704543,3.7430222259939208,0.5172733797964851
cnn,2,1,0.16137471574853107,0.9417552871057938,2.3526128772543387,0.42346625766871165
cnn,2,2,0.034834052088082955,0.987409760977711,4.004459101088059,0.393202302507006
