model,fold,epoch,train_loss,train_balanced_accuracy,val_loss,val_balanced_accuracy
inceptiontime,1,1,0.2885032778065051,0.8945317374377648,2.4931582685697964,0.35061728395061725
inceptiontime,1,2,0.08854495192206996,0.974129180786362,1.7010768876425189,0.497119341563786
inceptiontime,1,3,0.07872608387141779,0.9741769724961031,1.8107344608931315,0.5320987654320988
inceptiontime,1,4,0.03867106613582901,0.9901824894812773,2.1837937337510835,0.5156378600823045
inceptiontime,1,5,0.042794848995042906,0.9851827081758389,2.277033666421603,0.3646090534979424
inceptiontime,1,6,0.03323241882526907,0.9897039679719993,1.4890606395308934,0.6358024691358025
inceptiontime,1,7,0.04604512584703644,0.9850446702192593,1.9374098871491856,0.4382716049382716
inceptiontime,1,8,0.02305866766881238,0.9918898936426691,3.82005113690855,0.39999999999999997
inceptiontime,1,9,0.019165446765856037,0.994182222784541,2.4805533526677186,0.4983539094650206
inceptiontime,1,10,0.011773448454351314,0.9972230242821659,2.7519750561781975,0.49382716049382713
inceptiontime,1,11,0.010147310588890637,0.996926554865042,1.738046569637952,0.5296296296296296
inceptiontime,1,12,0.008957185306034291,0.9983313645426257,3.705909151964431,0.5246913580246914
inceptiontime,1,13,0.026262464134932637,0.9907621690302003,3.423786357917174,0.3567901234567901
inceptiontime,1,14,0.015666881298755236,0.9962404718449167,2.536238080625319,0.4802469135802469
inceptiontime,1,15,0.009679554945661596,0.9958683538068409,2.102885587286714,0.5345679012345679
inceptiontime,1,16,0.009479241306400326,0.997354937172061,2.366186831705272,0.5703703703703703
inceptiontime,1,17,0.01883634604417884,0.9950370986114959,3.13598054245742,0.48189300411522634
inceptiontime,1,18,0.005396985480582507,0.9989611832938078,2.777916850945929,0.4246913580246914
inceptiontime,1,19,0.005689520177173851,0.9983313645426257,2.3127740410224917,0.5427983539094651
inceptiontime,1,20,0.011367654911385128,0.9958508582419153,2.830901696734012,0.5325102880658436
inceptiontime,1,21,0.013971719962810117,0.9956300374457436,2.1505272126026087,0.539917695473251
inceptiontime,1,22,0.012457073714505251,0.9961085589550215,2.3443133891190566,0.571604938271605
inceptiontime,1,23,0.010086754531135172,0.9971473756612138,2.608685533021621,0.4469135802469136
inceptiontime,1,24,0.0087759415380064,0.9967383777062034,3.566813287951875,0.5226337448559671
inceptiontime,1,25,0.014452572936935085,0.9950758673155136,3.9672846540840707,0.5185185185185185
inceptiontime,1,26,0.008528742798095849,0.9970717270402618,3.082960573566025,0.4283950617283951
inceptiontime,2,1,0.34236475361549124,0.8735710318361988,2.1803136054137,0.47613797003109976
inceptiontime,2,2,0.124192767063802,0.9644956533447786,3.5277712678252007,0.48577890867967205
inceptiontime,2,3,0.08723989604231046,0.971437047135752,4.098140686965153,0.4485722363584959
inceptiontime,2,4,0.06451508490254684,0.9798555883763792,3.546854272820896,0.4469041560644614
inceptiontime,2,5,0.05350768043450555,0.9811244498304258,3.1694016398343825,0.5120818019036848
inceptiontime,2,6,0.044702233261979966,0.9848916912822844,3.3134343798644608,0.518490245971162
inceptiontime,2,7,0.03190456875433613,0.9905501274962761,6.723126294197529,0.393054377532749
inceptiontime,2,8,0.054369493185694576,0.9883210465634914,3.488390356526339,0.3646498916219018
inceptiontime,2,9,0.07544367437783096,0.9702342481085949,3.165836003433941,0.38577890867967196
inceptiontime,2,10,0.024974738414000188,0.9941040335950584,2.879129477946979,0.5396852323060974
inceptiontime,2,11,0.06184408555700615,0.9790108729497505,3.3613357304182268,0.4189520309113184
inceptiontime,2,12,0.02535358231843744,0.9956840617031483,3.8793005274181582,0.44696070115917436
inceptiontime,2,13,0.04274189057795578,0.9841715266732308,2.937111841061883,0.5366789181038545
inceptiontime,2,14,0.012286369906196713,0.996749686519057,3.9731090290653976,0.5261709546696823
inceptiontime,2,15,0.010347882345109721,0.9972908093278464,3.4421569833153844,0.5271510696447083
inceptiontime,2,16,0.012787620423834448,0.9968500424987586,4.4635371083305,0.49041560644614074
inceptiontime,2,17,0.009807377072747283,0.9979423868312757,4.3484142896320135,0.53982659504288
inceptiontime,2,18,0.015409178058206987,0.9950007153256415,3.274973603689058,0.5267835265290737
inceptiontime,2,19,0.006296461120172706,0.9987679567775002,5.056438081918802,0.4967298086890963
inceptiontime,2,20,0.012446696359524029,0.9953754197278396,2.625004333086816,0.5804071246819339
inceptiontime,2,21,0.02542233673872887,0.990787657687226,3.8522555291802063,0.5210159268683442
inceptiontime,2,22,0.017617282077815023,0.9943516625009469,3.53134069683259,0.5103100556026764
inceptiontime,2,23,0.01491757726316977,0.9964702887390913,3.140226473130827,0.5454716803317313
inceptiontime,2,24,0.007257518332468807,0.9985253772290809,4.042513428942153,0.49828479879370463
inceptiontime,2,25,0.004622399303079131,0.9988340192043896,3.981574650022918,0.4081142210913203
inceptiontime,2,26,0.0038603266710160082,0.9993166536224932,4.266613426886704,0.5464800678541137
inceptiontime,2,27,0.0016862290092979734,0.9994170096021948,4.2940423499354,0.555960795400999
inceptiontime,2,28,0.004849686688115126,0.9986333072449863,4.251156225357027,0.49204599001036664
inceptiontime,2,29,0.0031304286934829752,0.9992823600696812,4.9456024194383685,0.4006879653190086
inceptiontime,2,30,0.007373691546137929,0.9979766803840878,5.341036438325742,0.47257562906417866
inceptiontime,2,31,0.020692880864159206,0.9941433765053397,3.71032583287784,0.5371312788615588
inceptiontime,2,32,0.01896591150015949,0.9943123195906655,4.9770150411696665,0.2910187541230798
inceptiontime,2,33,0.01747258528555495,0.992916382640309,5.215306131687379,0.4648666478183017
inceptiontime,2,34,0.014136314911578369,0.9956840617031483,4.872698271782476,0.423739515597022
inceptiontime,2,35,0.016350282535721797,0.9952750637481381,4.646636102469942,0.5490245971162002
inceptiontime,2,36,0.007657946287954288,0.9974279835390947,4.424386036239173,0.5086796720384507
inceptiontime,2,37,0.005342885321197729,0.9988340192043896,3.795047868369964,0.5813966638394119
inceptiontime,2,38,0.026235230651485725,0.9925633483972498,4.644151768607454,0.4362171331636981
inceptiontime,2,39,0.010085730868867155,0.9968843360515708,3.4753047989723376,0.5665064555649797
inceptiontime,2,40,0.007952376544659384,0.9976019759818896,5.375834868420243,0.5051079068890774
inceptiontime,2,41,0.013865550718557123,0.995108645341547,3.6160508639232853,0.5827914428423334
inceptiontime,2,42,0.012217071226085846,0.9950400582359228,2.6638567996839235,0.5461125247384789
inceptiontime,2,43,0.00579047344258377,0.9981849663796948,3.991391538378589,0.5331542738667421
inceptiontime,2,44,0.002363747822435434,0.9997256515775034,3.7331428518122003,0.5252568089718217
inceptiontime,2,45,0.001873837165949597,0.9996913580246914,3.7943838361958813,0.5252662331542739
inceptiontime,2,46,0.0008086859673809084,1.0,3.6430983209520353,0.5668363019508057
inceptiontime,2,47,0.01937619961652171,0.9929773957097293,6.059398581098793,0.44991047026670433
inceptiontime,2,48,0.008334355757847798,0.9976019759818896,4.60691367212991,0.5765432098765432
inceptiontime,2,49,0.017027787945524474,0.9990423051999966,4.711855702886456,0.5403543492602016
inceptiontime,2,50,0.03836096146512448,0.9875348195275485,3.4566468547908284,0.556403731976251
inceptiontime,3,1,0.2865346317976406,0.8952934570273882,3.000924882027635,0.48830527497194165
inceptiontime,3,2,0.08128574875557852,0.974175834315346,5.127613433189919,0.3475196408529742
inceptiontime,3,3,0.05848311583905183,0.9814150473343298,2.439239410425256,0.5001122334455668
inceptiontime,3,4,0.03850430981304074,0.987419692452079,2.458920567277019,0.48796857463524135
inceptiontime,3,5,0.045852056914489216,0.9848638231797175,2.009987026416451,0.5015488215488215
inceptiontime,3,6,0.02776261800948108,0.9907957070886817,2.590049595481779,0.4899214365881033
inceptiontime,3,7,0.02688731024036971,0.991349852236748,3.097544250970969,0.501638608305275
inceptiontime,3,8,0.01923213920618417,0.9950087392538812,2.6699461585904922,0.47492704826038157
inceptiontime,3,9,0.009861957214019001,0.9977409753692763,2.572672549932281,0.5005387205387205
inceptiontime,3,10,0.023317599814017927,0.9929569258916544,2.5408019918605595,0.4631649831649831
inceptiontime,3,11,0.010972104144982332,0.9966239853633975,2.6533464304508607,0.4694051627384961
inceptiontime,3,12,0.015195975263006553,0.9958009400959077,2.888531433670936,0.5284624017957351
inceptiontime,3,13,0.02536424732414199,0.9932200262045803,2.4709384140061457,0.45793490460157127
inceptiontime,3,14,0.021270260488441616,0.9912631187668556,2.5413333383805914,0.48742985409652073
inceptiontime,3,15,0.008614679648239074,0.9979452867345243,2.910351371765137,0.5075196408529742
inceptiontime,3,16,0.004004764416976352,0.9989278266806917,2.8935054673739007,0.41542087542087547
inceptiontime,3,17,0.011266258656534548,0.9964784629458272,2.491744019209973,0.5477441077441078
inceptiontime,3,18,0.01677287419773062,0.9944237496803515,2.9943385561551055,0.49840628507295176
inceptiontime,3,19,0.0558497631753142,0.9791839672258208,2.650145670972719,0.49719416386083054
inceptiontime,3,20,0.009896332915625103,0.9969767190494645,2.9482450182452524,0.5154433221099888
