model,fold,epoch,train_loss,train_balanced_accuracy,val_loss,val_balanced_accuracy
cnn,1,1,0.3225674468940541,0.8707281605212448,1.7104829899366303,0.541025641025641
cnn,1,2,0.06342426196449617,0.980281770774669,1.9685044836648655,0.4883190883190884
cnn,1,3,0.03493508686652101,0.9900535373279457,2.1172406307070246,0.5809116809116809
cnn,1,4,0.041656568376243173,0.9860950009501925,4.103486792787529,0.4472934472934473
cnn,1,5,0.02122035676199915,0.9918109430062891,2.7964155294055684,0.4871794871794872
cnn,1,6,0.01850240862556497,0.9912761134145952,2.8572028081052623,0.48603988603988607
cnn,1,7,0.024352451665531114,0.9913065448961113,4.334018359420215,0.46752136752136747
cnn,1,8,0.013584869908327028,0.9954702088741584,2.7916252263238306,0.49572649572649574
cnn,1,9,0.009588379469359599,0.9953013165563388,4.499671928015889,0.4253561253561253
cnn,1,10,0.02880106272739306,0.9897238353365455,3.9100670157796142,0.4792022792022792
cnn,1,11,0.015538487830156949,0.9943697384614136,2.6507523258538632,0.5447293447293448
cnn,1,12,0.01646736521960615,0.993688175515257,3.5765720343454577,0.45071225071225074
cnn,1,13,0.009491683107680457,0.9971197750716349,3.976899762129609,0.41082621082621085
cnn,2,1,0.3126921244824292,0.8835816256931176,2.8655351465067582,0.4612710858756553
cnn,2,2,0.06610267456118943,0.9741272276047975,4.093543489087548,0.38408513962116775
cnn,2,3,0.050068673993137185,0.9811471636355606,4.167484508217208,0.3480525137818635
cnn,2,4,0.03949575662589797,0.9873733644452433,4.077822254808859,0.44969882685172674
cnn,2,5,0.031632158181180925,0.9895961255800177,3.6990333609605788,0.46522013428867565
cnn,2,6,0.016104798196362503,0.9946250294961736,4.364450529308108,0.4799933907139531
cnn,2,7,0.01423976129124846,0.9956417246934269,4.744252016058472,0.4795262343592748
cnn,2,8,0.014542868472648131,0.9943874544466769,3.420053180874296,0.555816922776501
cnn,2,9,0.017403815385426482,0.9935392780259814,3.8152665225627542,0.5464963273399125
cnn,2,10,0.019015172445970747,0.9941739161165466,3.6136998889428695,0.48304567917924685
cnn,2,11,0.010340894801835884,0.9967064933294135,3.831635800624457,0.46137923782914997
cnn,2,12,0.004633658540837428,0.9990044185074485,4.083528624604613,0.5037117149595182
cnn,2,13,0.00934401946919579,0.996799717192215,4.209234027313859,0.48530935965030864
cnn,2,14,0.01901988594573782,0.9928233681218342,4.172235342908402,0.48926892283658535
cnn,2,15,0.020589968558297252,0.9952417386376938,4.4318867191136455,0.40625478797710773
cnn,2,16,0.0075416553488223325,0.9982223753450271,4.251142654303249,0.46462529854445495
cnn,2,17,0.018951621792194142,0.99414987939718,3.7042352188720757,0.481866522464062
cnn,2,18,0.014122340816182723,0.9954733367873652,5.048890718304111,0.38596728403406794
cnn,3,1,0.30994896329939364,0.8901478265037684,2.4066613258495866,0.47710530206981927
cnn,3,2,0.049275093154782165,0.9826361199297958,2.677794477603478,0.44336247034087384
cnn,3,3,0.032664601178839806,0.9890570053864486,3.231011927178308,0.42256513204765916
cnn,3,4,0.022051919468296027,0.9919783682012216,3.029803413866209,0.5057834681333856
