model,fold,epoch,train_loss,train_balanced_accuracy,val_loss,val_balanced_accuracy
cnn,1,1,0.16474344822833495,0.9394639145813551,2.7414968914914057,0.4689453088493217
cnn,1,2,0.03939444412429121,0.9860559225588911,3.1186524835380216,0.45555205416291406
cnn,1,3,0.0215804469812366,0.9919585696919148,4.437955152180674,0.4840527732632552
cnn,1,4,0.021727549696054185,0.9925679927149994,4.622648185558099,0.4753153111604275
cnn,1,5,0.01553520619743585,0.9946349278505165,4.845625326395949,0.38106491104630885
cnn,1,6,0.013830156882621488,0.9949822884466815,5.0081591370911,0.3822156866533042
cnn,1,7,0.010358519293741441,0.9965987721177275,5.600874248385814,0.4600824673344321
cnn,1,8,0.012878290826559165,0.9947751204334226,4.607582523807635,0.4615139361274824
cnn,1,9,0.008812909018693992,0.9969742006711667,4.548754312995366,0.45412003477107116
cnn,1,10,0.019492815370685954,0.9977268635365238,6.6938604307891,0.38547664217252375
cnn,1,11,0.02423003766412993,0.9926752447314394,4.325342799522601,0.3741255924018522
cnn,1,12,0.0062018168514343846,0.9980432365281685,6.1714714934339225,0.34097943060137625
cnn,1,13,0.01057782060222972,0.9964275919303014,4.931073848983802,0.39457994141755665
cnn,2,1,0.1656459510236835,0.9400391554367599,3.967173123941371,0.34855288600796946
cnn,2,2,0.03880625588517899,0.9873139209773011,4.527670890894539,0.3956666823238372
cnn,2,3,0.02223939449953226,0.991557711298395,4.947186885050139,0.4173798507871642
cnn,2,4,0.019859238570848575,0.9934069258750405,4.842864329117115,0.41569650923381635
cnn,2,5,0.015537353185489057,0.9940977905516754,6.956915937512725,0.42783433930654385
cnn,2,6,0.015316918719140515,0.9946258735733661,5.48163423596782,0.4718208115111518
cnn,2,7,0.008205852959168296,0.9971341734762852,5.372361763157002,0.47941160352912626
cnn,2,8,0.014990061856448078,0.9942799469280343,3.7508178841133892,0.45203386645999205
cnn,2,9,0.014760359766986744,0.9953891796579489,5.181797497699324,0.4662331587558812
cnn,2,10,0.006204321362570343,0.9977412404036766,6.657715969602104,0.4501933660568198
cnn,2,11,0.005667617480195566,0.9977239622575648,8.09510827997621,0.39685838872057433
cnn,2,12,0.010264390819408548,0.9968431664586205,7.746618902150901,0.4272589382872621
cnn,2,13,0.007074774935756814,0.9974597367861735,4.841701919598633,0.5406984663801404
cnn,2,14,0.009562992850406096,0.9968865457844461,7.441626552286218,0.43249802328221265
cnn,2,15,0.010940488021107087,0.9967825089866827,7.378732917959981,0.44920931288506855
cnn,2,16,0.00481031598387861,0.9985285510926705,6.649498103897452,0.47777856063630736
cnn,2,17,0.005468250722052313,0.9984784453085457,6.767593666705664,0.49020448264794064
cnn,2,18,0.00729283968248171,0.9972710379120615,7.644688843221407,0.4642037937324346
cnn,2,19,0.006028751308206036,0.9976805829317391,7.03142440690243,0.4485714788980483
cnn,2,20,0.005132591146931622,0.9980419347820487,7.675625059623203,0.46053942866984504
cnn,2,21,0.004339507596509771,0.998725208673279,4.701276844867713,0.42594001737945936
cnn,2,22,0.005496061374563875,0.9985536039847328,6.1852093575501765,0.4506869583597548
cnn,2,23,0.005854355037611652,0.9981701601447691,8.465280266388133,0.3664075404933575
cnn,3,1,0.15386013790980682,0.9426906430238118,2.886581952535482,0.3932379901371354
cnn,3,2,0.02737088824933474,0.9907265346456829,4.852801248094424,0.34990342664082413
cnn,3,3,0.021329126694666033,0.9926642206800929,4.918544682353318,0.3973315429597421
cnn,3,4,0.024795782432924282,0.9926901101565053,5.176854931258351,0.41850088954923576
cnn,3,5,0.02725526547266744,0.9903941096555323,4.550758648965499,0.36954743349106756
cnn,3,6,0.00980344662896163,0.9966165204635344,4.998620980531912,0.4810847585589754
cnn,3,7,0.015825857851184278,0.9953187567224372,5.211838919340656,0.38955745917504836
cnn,3,8,0.013120499300286385,0.9952108470582507,5.602904923422188,0.37511511186165897
cnn,3,9,0.004839634870234374,0.9988498238702451,5.302903043775224,0.47005835101228827
cnn,3,10,0.011495841733782054,0.9960310338970269,6.364787471274671,0.38593226544962983
cnn,3,11,0.007362269898184886,0.9973031292365198,7.357433202358924,0.3979178533111863
cnn,3,12,0.008921245333449264,0.9973038699511352,6.255676508592731,0.4607416860368896
