model,fold,epoch,train_loss,train_balanced_accuracy,val_loss,val_balanced_accuracy
inceptiontime,1,1,0.268269581729785,0.9065428839933891,1.9552316826146756,0.4466179673203703
inceptiontime,1,2,0.1040374608614888,0.9669779436682666,2.1727790388760924,0.5522543910868002
inceptiontime,1,3,0.06885590807725794,0.9768867925532593,1.7483963256211412,0.507005676568215
inceptiontime,1,4,0.04797931618672103,0.984347393007934,2.2857380888093988,0.5633765289803491
inceptiontime,1,5,0.05495121376708341,0.9812929994601572,2.4870396690214767,0.6191521091551898
inceptiontime,1,6,0.03530905179004782,0.9885982049881611,2.470305712740824,0.5331966307474625
inceptiontime,1,7,0.037990511394887926,0.986640289522541,2.1175951923677547,0.639211654661439
inceptiontime,1,8,0.038812757748588084,0.9869561536714517,2.3451693350489755,0.558656085889604
inceptiontime,1,9,0.023041601278908693,0.9921430842888149,2.9264255516774496,0.4903054669844565
inceptiontime,1,10,0.023223044650176935,0.9929513846892468,2.9873060471457893,0.5239663922350305
inceptiontime,2,1,0.22447216209293025,0.9235348427629999,2.6040138805050117,0.24247519503143225
inceptiontime,2,2,0.08215272917049773,0.9725916294283486,1.8740290310371381,0.4151632204801939
inceptiontime,2,3,0.06631158291933502,0.9778407063490663,3.056756565625851,0.30164545936529574
inceptiontime,2,4,0.05276075547837686,0.9834101191439871,2.2157471839842886,0.39950768764674693
inceptiontime,2,5,0.03964583260324044,0.9874423172157777,2.607859409843034,0.38271604938271603
inceptiontime,2,6,0.035340706268283444,0.9880697116853447,2.6958968307366775,0.38670377944406575
inceptiontime,2,7,0.03552033489818454,0.9879568599759226,3.5073895179400076,0.26692418389759903
inceptiontime,2,8,0.029288808415378637,0.9902752358591718,2.639593517607221,0.39884306596985536
inceptiontime,2,9,0.02083290634896143,0.9928184354180019,3.91410345196826,0.3859690979322881
inceptiontime,2,10,0.022884579587889205,0.9926967479886359,2.786159609414064,0.45827652806180413
inceptiontime,3,1,0.2544055835622334,0.9131374865552656,1.6262954137615009,0.5486706778589385
inceptiontime,3,2,0.10360881410054286,0.966793700658212,1.620579175195746,0.5396596795127492
inceptiontime,3,3,0.08184037309802454,0.9724530840943864,2.10365489838667,0.6036383507088324
inceptiontime,3,4,0.056999012331607916,0.9815736859945493,1.5507942766272502,0.6477746933655603
inceptiontime,3,5,0.046032389733321084,0.984491129878608,1.3073544802619095,0.6446295372161385
inceptiontime,3,6,0.03786325061007597,0.9873093226348955,1.151291665138341,0.6982892427008577
inceptiontime,3,7,0.029607632132406112,0.9910246606875406,4.723250860791623,0.4932630956536502
inceptiontime,3,8,0.031304446861316504,0.9890884418857483,2.885326790216267,0.6380966186879482
inceptiontime,3,9,0.02412122770077723,0.9908749681303481,1.885138949010997,0.5796563911070625
inceptiontime,3,10,0.02501396980616996,0.9912965246670619,2.2240793086745225,0.6555097430761618
inceptiontime,4,1,0.23428739711734248,0.9191113894353692,3.0116904951805807,0.28041108484370897
inceptiontime,4,2,0.1018970877782982,0.9662251143490447,3.4381990110110636,0.481563424355592
inceptiontime,4,3,0.07321780314669013,0.9752011692739017,3.2131524222445393,0.45320605063898317
inceptiontime,4,4,0.059376752784728634,0.9786759836210942,2.840277803069417,0.4785655143271548
inceptiontime,4,5,0.05191920901430242,0.9820989142228479,5.300863866560832,0.32693379472596246
inceptiontime,4,6,0.04436617398341359,0.9836691954086962,2.9666533866060725,0.37238382384851704
inceptiontime,4,7,0.038519106544036834,0.9862561865614925,3.5066502511584754,0.4146158106919747
inceptiontime,4,8,0.03136494410250129,0.9902720478659438,4.310744141116779,0.38893656993410314
inceptiontime,4,9,0.026814543546240684,0.9905878033260841,4.454597000116279,0.44830889322872053
inceptiontime,4,10,0.035924882623065195,0.9871500667850456,4.390842060063959,0.30507360582907916
inceptiontime,5,1,0.2580110201247267,0.9095147812587991,2.767505554303605,0.415920615342447
inceptiontime,5,2,0.10286906068261291,0.9643907170650236,2.8364753769075604,0.5036100547047201
inceptiontime,5,3,0.06614424584471841,0.9794544145509727,2.156570663775091,0.49830575256107174
inceptiontime,5,4,0.052980169354753144,0.9823125537573941,2.516763105763215,0.3936312970386359
inceptiontime,5,5,0.04638096182811141,0.9853344675478066,2.7895826848257714,0.5047669624604562
inceptiontime,5,6,0.03206697710768437,0.9900326542544141,3.903404652566717,0.5125672388392092
inceptiontime,5,7,0.04284540648147891,0.9853528338315768,3.5326903300937142,0.5167962905859914
inceptiontime,5,8,0.037945179704975185,0.9873371074506814,4.773231615797275,0.542491805712589
inceptiontime,5,9,0.02283665098628862,0.9929586273071366,3.934953034229428,0.4977424309909663
inceptiontime,5,10,0.024873340492029963,0.9911623488308665,2.3850574823737487,0.5563412934982469
