overfit_rank,rank,model,resolved_model,extra_input,cnn_epochs,cnn_patience,window_sec,hop_sec,overlap_pct,max_windows_fraction,overfit_stage,overfit_config_id,overfit_config_name,stage1_screen_group,stage1_regularization_factor,stage1_regularization_value,cnn_lr,cnn_weight_decay,cnn_dropout,cnn_label_smoothing,sqi_mode,aggregation,manual_features,loss_type,class_weight_mode,dynamic_data_mode,stage2_fixed_epoch,n_repeats,validation_subject_balanced_accuracy_mean,validation_subject_balanced_accuracy_std,validation_subject_balanced_accuracy_ci95_low,validation_subject_balanced_accuracy_ci95_high,validation_subject_balanced_accuracy_min,validation_subject_balanced_accuracy_max,validation_subject_macro_f1_mean,validation_subject_macro_f1_std,validation_subject_macro_f1_ci95_low,validation_subject_macro_f1_ci95_high,validation_subject_macro_f1_min,validation_subject_macro_f1_max,subject_balanced_accuracy_mean,subject_balanced_accuracy_std,subject_balanced_accuracy_ci95_low,subject_balanced_accuracy_ci95_high,subject_balanced_accuracy_min,subject_balanced_accuracy_max,subject_macro_f1_mean,subject_macro_f1_std,subject_macro_f1_ci95_low,subject_macro_f1_ci95_high,subject_macro_f1_min,subject_macro_f1_max,worst_class_recall_mean,worst_class_recall_std,worst_class_recall_ci95_low,worst_class_recall_ci95_high,worst_class_recall_min,worst_class_recall_max,worst_class_f1_mean,worst_class_f1_std,worst_class_f1_ci95_low,worst_class_f1_ci95_high,worst_class_f1_min,worst_class_f1_max,best_epoch_mean,best_epoch_std,best_epoch_ci95_low,best_epoch_ci95_high,best_epoch_min,best_epoch_max,duration_sec_mean,duration_sec_std,duration_sec_ci95_low,duration_sec_ci95_high,duration_sec_min,duration_sec_max,best_epoch_train_balanced_accuracy_mean,best_epoch_train_balanced_accuracy_std,best_epoch_train_balanced_accuracy_ci95_low,best_epoch_train_balanced_accuracy_ci95_high,best_epoch_train_balanced_accuracy_min,best_epoch_train_balanced_accuracy_max,best_epoch_val_balanced_accuracy_mean,best_epoch_val_balanced_accuracy_std,best_epoch_val_balanced_accuracy_ci95_low,best_epoch_val_balanced_accuracy_ci95_high,best_epoch_val_balanced_accuracy_min,best_epoch_val_balanced_accuracy_max,train_val_balanced_accuracy_gap_mean,train_val_balanced_accuracy_gap_std,train_val_balanced_accuracy_gap_ci95_low,train_val_balanced_accuracy_gap_ci95_high,train_val_balanced_accuracy_gap_min,train_val_balanced_accuracy_gap_max,best_epoch_train_loss_mean,best_epoch_train_loss_std,best_epoch_train_loss_ci95_low,best_epoch_train_loss_ci95_high,best_epoch_train_loss_min,best_epoch_train_loss_max,best_epoch_val_loss_mean,best_epoch_val_loss_std,best_epoch_val_loss_ci95_low,best_epoch_val_loss_ci95_high,best_epoch_val_loss_min,best_epoch_val_loss_max,val_train_loss_gap_mean,val_train_loss_gap_std,val_train_loss_gap_ci95_low,val_train_loss_gap_ci95_high,val_train_loss_gap_min,val_train_loss_gap_max,mean_window_sqi_mean,mean_window_sqi_std,mean_window_sqi_ci95_low,mean_window_sqi_ci95_high,mean_window_sqi_min,mean_window_sqi_max,n_file_aggregation_windows_mean,n_file_aggregation_windows_std,n_file_aggregation_windows_ci95_low,n_file_aggregation_windows_ci95_high,n_file_aggregation_windows_min,n_file_aggregation_windows_max,n_subject_aggregation_windows_mean,n_subject_aggregation_windows_std,n_subject_aggregation_windows_ci95_low,n_subject_aggregation_windows_ci95_high,n_subject_aggregation_windows_min,n_subject_aggregation_windows_max
1,2,inceptiontime,inception_time,0,15,0,5.0,2.5,50.0,0.9,stage1,s1_122,quality_combo_sqi_aggregation-top50_quality_quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop50_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15,quality_combo,sqi_aggregation,top50_quality_quality_weighted_mean,0.001,0.005,0.5,0.2,top50_quality,quality_weighted_mean,none,weighted_ce,inverse_subject_count,static_only,0,5,0.6101851851851852,0.061453864837204136,0.5338923664942137,0.6864780038761567,0.5277777777777778,0.6990740740740741,0.6039883573216906,0.06050733526861957,0.5288706219058389,0.6791060927375424,0.5223171889838556,0.6883116883116882,0.6101851851851852,0.061453864837204136,0.5338923664942137,0.6864780038761567,0.5277777777777778,0.6990740740740741,0.6039883573216906,0.06050733526861957,0.5288706219058389,0.6791060927375424,0.5223171889838556,0.6883116883116882,0.4666666666666667,0.12638125740085918,0.3097687663903688,0.6235645669429646,0.25,0.5833333333333334,0.503096903096903,0.12311719682419735,0.3502512195921832,0.6559425866016229,0.3076923076923077,0.6363636363636364,15.0,0.0,15.0,15.0,15.0,15.0,400.9502202016767,0.0720885859778378,400.8607247495312,401.0397156538222,400.8613250020426,401.0197152651381,0.9951322829202047,0.0006136521149222581,0.994370455333492,0.9958941105069175,0.9942176442343442,0.9957109450390407,0.5317834423505758,0.025769530316371105,0.4997914739139844,0.5637754107871673,0.5054016915260592,0.5623884388395916,0.463348840569629,0.025654606671297844,0.43149954580930033,0.49519813532995766,0.432524581568399,0.4897506836222749,0.5389480053958383,0.0009830200720177423,0.537727620440023,0.5401683903516536,0.5376549613112884,0.5399401201472828,1.1447428625150529,0.01576362364064509,1.1251728764203726,1.1643128486097332,1.12770749497325,1.1646375565709246,0.6057948571192145,0.016651445048224238,0.5851226718730597,0.6264670423653694,0.5882365387130595,0.6269825952596362,0.6416292190551758,0.0,0.6416292190551758,0.6416292190551758,0.6416292190551758,0.6416292190551758,7832.0,0.0,7832.0,7832.0,7832.0,7832.0,7831.0,0.0,7831.0,7831.0,7831.0,7831.0
2,2,inceptiontime,inception_time,0,15,0,5.0,2.5,50.0,0.9,stage1,s1_102,main_effect_sqi_mode-top50_quality_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop50_quality_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,main_effect,sqi_mode,top50_quality,0.001,0.005,0.5,0.2,top50_quality,mean_prob,none,weighted_ce,inverse_subject_count,static_only,0,5,0.6101851851851852,0.020807597272448363,0.5843532826627486,0.6360170877076218,0.5925925925925926,0.6435185185185185,0.6012339544513459,0.0201931768060333,0.5761648333970627,0.626303075505629,0.5793650793650794,0.6207729468599034,0.6101851851851852,0.020807597272448363,0.5843532826627486,0.6360170877076218,0.5925925925925926,0.6435185185185185,0.6012339544513459,0.0201931768060333,0.5761648333970627,0.626303075505629,0.5793650793650794,0.6207729468599034,0.4833333333333334,0.03726779962499649,0.4370666666666667,0.5296000000000001,0.4166666666666667,0.5,0.5133333333333333,0.018257418583505533,0.49066738824677963,0.5359992784198869,0.5,0.5333333333333333,15.0,0.0,15.0,15.0,15.0,15.0,395.0220142561942,0.07977197566170369,394.92298014512727,395.12104836726115,394.93303333199583,395.11183201894164,0.9950932113103986,0.0006303305752078528,0.9943106779999697,0.9958757446208275,0.9940869153379006,0.9956144843803021,0.5336202541022981,0.024429119742379546,0.5032923584000074,0.5639481498045887,0.511124756247555,0.5603065885137479,0.46147295720810055,0.024311845842422894,0.4312906529411131,0.49165526147508803,0.43457114301021027,0.48423769470617595,0.5388568709998014,0.0009397771129627813,0.5376901706616025,0.5400235713380003,0.5377195394972983,0.5398787497331273,1.1442335847156286,0.016432143163305987,1.1238336550711188,1.1646335143601385,1.1275871981040868,1.16268301381371,0.6053767137158272,0.017191798920862485,0.5840336980810001,0.6267197293506543,0.588200850726467,0.6249634743164117,0.6416292190551758,0.0,0.6416292190551758,0.6416292190551758,0.6416292190551758,0.6416292190551758,7832.0,0.0,7832.0,7832.0,7832.0,7832.0,7831.0,0.0,7831.0,7831.0,7831.0,7831.0
3,2,inceptiontime,inception_time,0,15,0,5.0,2.5,50.0,0.9,stage1,s1_121,quality_combo_sqi_aggregation-top70_quality_quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqitop70_quality_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep15,quality_combo,sqi_aggregation,top70_quality_quality_weighted_mean,0.001,0.005,0.5,0.2,top70_quality,quality_weighted_mean,none,weighted_ce,inverse_subject_count,static_only,0,5,0.5925925925925926,0.08249319296854382,0.4901801856420981,0.695004999543087,0.47222222222222215,0.6759259259259259,0.5873073569565694,0.08433293608833721,0.48261097342220705,0.6920037404909318,0.4582953278605453,0.6815114709851552,0.5925925925925926,0.08249319296854382,0.4901801856420981,0.695004999543087,0.47222222222222215,0.6759259259259259,0.5873073569565694,0.08433293608833721,0.48261097342220705,0.6920037404909318,0.4582953278605453,0.6815114709851552,0.45,0.12638125740085918,0.29310209972370216,0.6068979002762979,0.25,0.5833333333333334,0.5157264957264956,0.1246451607585255,0.3609838985660302,0.6704690928869611,0.3076923076923077,0.6153846153846154,15.0,0.0,15.0,15.0,15.0,15.0,538.3218986376189,0.5246783835024714,537.6705288191434,538.9732684560944,537.7235419780482,538.8823310718872,0.9960764327150828,0.0003631862661012326,0.9956255496986263,0.9965273157315394,0.9956365163205012,0.9963865293175221,0.5163067901958193,0.036665815817900196,0.4707874653207773,0.5618261150708612,0.4617974735330949,0.5567587961329516,0.4797696425192637,0.0367717160269317,0.4341188462474531,0.5254204387910743,0.43956799792413437,0.5345890557844273,0.53428729503792,0.0010694179969883818,0.5329596500872692,0.5356149399885709,0.533073138946391,0.5357496032731043,1.1676533286751405,0.07527601000985595,1.0742008013414182,1.2611058560088628,1.0855686469468286,1.2344176963531739,0.6333660336372205,0.07534063354275157,0.5398332784530379,0.7268987888214032,0.5498190436737244,0.6996457675367884,0.6416292190551758,0.0,0.6416292190551758,0.6416292190551758,0.6416292190551758,0.6416292190551758,11020.0,0.0,11020.0,11020.0,11020.0,11020.0,10964.0,0.0,10964.0,10964.0,10964.0,10964.0
4,2,inceptiontime,inception_time,0,10,0,5.0,2.5,50.0,0.9,stage1,s1_055,main_effect_label_smoothing-0p3_lr0.001_wd0.005_do0.5_ls0.3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,main_effect,label_smoothing,0.3,0.001,0.005,0.5,0.3,none,mean_prob,none,weighted_ce,inverse_subject_count,static_only,0,5,0.5796296296296297,0.053831266124994934,0.5128000000000001,0.6464592592592593,0.5,0.625,0.5668447201034359,0.06446094344991829,0.4868187187396245,0.6468707214672473,0.4874847374847375,0.6302941176470589,0.5796296296296297,0.053831266124994934,0.5128000000000001,0.6464592592592593,0.5,0.625,0.5668447201034359,0.06446094344991829,0.4868187187396245,0.6468707214672473,0.4874847374847375,0.6302941176470589,0.4333333333333334,0.17078251276599332,0.2213128311800432,0.6453538354866236,0.25,0.5833333333333334,0.46040714840714847,0.12813527253237664,0.30133169983889896,0.619482596975398,0.3076923076923077,0.56,10.0,0.0,10.0,10.0,10.0,10.0,488.6132306108251,0.31610299535984365,488.22079982430665,489.00566139734354,488.2622522129677,488.984732944984,0.9918659490035753,0.00035172044283523444,0.9914293004047244,0.9923025976024261,0.9915721752695326,0.9923991314692622,0.5174134374338785,0.022670085201127267,0.4892693214447503,0.5455575534230066,0.49743080962158165,0.5471509765737068,0.4744525115696967,0.022821019577990913,0.44612101584328434,0.5027840072961091,0.4445793271802184,0.4941591377319598,0.6906772937791024,0.0004595829039985615,0.6901067377162556,0.6912478498419491,0.6900565920140356,0.6913269365423278,1.1591334500967319,0.02425046894646352,1.1290273430942719,1.1892395570991918,1.1385302657181926,1.1955368270084274,0.4684561563176297,0.02388339260221999,0.4388057617272582,0.4981065509080012,0.448473673704157,0.5042098904660997,0.6416292190551758,0.0,0.6416292190551758,0.6416292190551758,0.6416292190551758,0.6416292190551758,15657.0,0.0,15657.0,15657.0,15657.0,15657.0,15657.0,0.0,15657.0,15657.0,15657.0,15657.0
5,2,inceptiontime,inception_time,0,10,0,5.0,2.5,50.0,0.9,stage1,s1_075,focused_combo_combined_regularization-wd0p01_do0p5_ls0p3_mw0p9_lr0.001_wd0.01_do0.5_ls0.3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,focused_combo,combined_regularization,wd0.01_do0.5_ls0.3_mw0.9,0.001,0.01,0.5,0.3,none,mean_prob,none,weighted_ce,inverse_subject_count,static_only,0,5,0.5796296296296296,0.05597832963034018,0.5101344959317816,0.6491247633274776,0.5092592592592592,0.6527777777777778,0.5686845507433743,0.06778870264412995,0.4845272530074997,0.6528418484792489,0.47222222222222227,0.6527777777777778,0.5796296296296296,0.05597832963034018,0.5101344959317816,0.6491247633274776,0.5092592592592592,0.6527777777777778,0.5686845507433743,0.06778870264412995,0.4845272530074997,0.6528418484792489,0.47222222222222227,0.6527777777777778,0.4444444444444445,0.14861760110439373,0.2599409030417834,0.6289479858471055,0.25,0.625,0.48507326007326,0.1105328805273911,0.34785056405883774,0.6222959560876823,0.3333333333333333,0.625,10.0,0.0,10.0,10.0,10.0,10.0,488.69576523844154,0.4524764147359161,488.1340316328687,489.2574988440144,488.1509259319864,489.254679255886,0.9918870511339589,0.0003147039404887363,0.9914963572250136,0.9922777450429042,0.9915425472012217,0.9923075278316962,0.511435565008511,0.016910797256357156,0.49044140308856016,0.5324297269284617,0.49603528559135845,0.5375129173924178,0.480451486125448,0.017088327001625964,0.4592369272507422,0.5016660450001539,0.4540296298088039,0.4962722422403377,0.6907770589433143,0.00039546067380826763,0.6902861083811944,0.6912680095054342,0.6902836169134094,0.6913036345424309,1.171155807376527,0.0280743893144161,1.1363024372996655,1.2060091774533883,1.1466875492628104,1.2097334529870003,0.4803787484332126,0.027858778106021026,0.4457930521124836,0.5149644447539415,0.45600048025434226,0.5184298184445694,0.6416292190551758,0.0,0.6416292190551758,0.6416292190551758,0.6416292190551758,0.6416292190551758,15657.0,0.0,15657.0,15657.0,15657.0,15657.0,15657.0,0.0,15657.0,15657.0,15657.0,15657.0
6,2,inceptiontime,inception_time,0,10,0,5.0,2.5,50.0,0.9,stage1,s1_061,main_effect_aggregation-quality_weighted_mean_lr0.001_wd0.005_do0.5_ls0.2_mw90_sqinone_aggquality_weighted_mean_mannone_lossweighted_ce_cwinverse_subject_count_ep10,main_effect,aggregation,quality_weighted_mean,0.001,0.005,0.5,0.2,none,quality_weighted_mean,none,weighted_ce,inverse_subject_count,static_only,0,5,0.5777777777777777,0.05730277202505854,0.5066383952803699,0.6489171602751855,0.5231481481481481,0.6527777777777778,0.5755028513312267,0.06485297628784427,0.4949901549433672,0.6560155477190862,0.5044858523119393,0.6527777777777778,0.5777777777777777,0.05730277202505854,0.5066383952803699,0.6489171602751855,0.5231481481481481,0.6527777777777778,0.5755028513312267,0.06485297628784427,0.4949901549433672,0.6560155477190862,0.5044858523119393,0.6527777777777778,0.4916666666666667,0.11562030771259674,0.34812810816137246,0.6352052251719609,0.375,0.625,0.5136917293233083,0.08541704330659462,0.40764946468507735,0.6197339939615393,0.42857142857142855,0.625,10.0,0.0,10.0,10.0,10.0,10.0,488.4181493367534,0.29698949412521825,488.0494472919196,488.7868513815872,488.2126711870078,488.922279041959,0.9924252416409963,0.00028963057470434583,0.9920656754366279,0.9927848078453647,0.9921361960826547,0.9928228715733894,0.5184389085293315,0.01845694416618859,0.4955252594270227,0.5413525576316403,0.5043497235234783,0.5471458851348935,0.47398633311166494,0.018508379499915094,0.4510088288458005,0.49696383737752936,0.4450825975853211,0.4877864725591764,0.54171402194984,0.0007637752035954188,0.5407658218116888,0.5426622220879912,0.5408766453633501,0.5428607696704116,1.1908239809912857,0.021080769385559188,1.1646529448675336,1.2169950171150379,1.1666698463631247,1.2236719937417306,0.6491099590414456,0.020417354504966206,0.623762529233359,0.6744573888495323,0.6257932009997745,0.680811224071319,0.6416292190551758,0.0,0.6416292190551758,0.6416292190551758,0.6416292190551758,0.6416292190551758,15657.0,0.0,15657.0,15657.0,15657.0,15657.0,15657.0,0.0,15657.0,15657.0,15657.0,15657.0
7,2,inceptiontime,inception_time,0,10,0,5.0,2.5,50.0,0.9,stage1,s1_054,main_effect_label_smoothing-0p15_lr0.001_wd0.005_do0.5_ls0.15_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,main_effect,label_smoothing,0.15,0.001,0.005,0.5,0.15,none,mean_prob,none,weighted_ce,inverse_subject_count,static_only,0,5,0.575,0.060220787190774484,0.5002380039767348,0.6497619960232651,0.5092592592592592,0.6620370370370371,0.5633248081841432,0.07427244799148688,0.47111816791245364,0.6555314484558328,0.47087240693378796,0.6658730158730158,0.575,0.060220787190774484,0.5002380039767348,0.6497619960232651,0.5092592592592592,0.6620370370370371,0.5633248081841432,0.07427244799148688,0.47111816791245364,0.6555314484558328,0.47087240693378796,0.6658730158730158,0.45,0.12638125740085918,0.29310209972370216,0.6068979002762979,0.25,0.5833333333333334,0.4917366946778712,0.10043393832195038,0.3670514813537783,0.6164219080019641,0.3333333333333333,0.5833333333333334,10.0,0.0,10.0,10.0,10.0,10.0,489.12417036020196,0.865032462127984,488.05026288554984,490.1980778348541,488.32239720597863,490.1426076630596,0.99275648020013,0.00030406916751539713,0.9923789889889877,0.9931339714112722,0.9922983835258588,0.9931226504643705,0.5179400879717824,0.03155116106284314,0.47877042766101446,0.5571097482825502,0.49139081049854727,0.5640674133235548,0.4748163922283476,0.031471719280016616,0.43574535610581794,0.5138874283508773,0.42871727962887984,0.5009075730273115,0.45239885867118346,0.0006717548271012405,0.45156489860431726,0.45323281873804966,0.45165458449433843,0.45314581700379175,1.230260348138082,0.06342349423820612,1.1515223035987914,1.3089983926773727,1.1479299177866877,1.3251115552198212,0.7778614894668987,0.06305341337917492,0.6995828873394703,0.8561400915943271,0.6956914496921787,0.8720615817741749,0.6416292190551758,0.0,0.6416292190551758,0.6416292190551758,0.6416292190551758,0.6416292190551758,15657.0,0.0,15657.0,15657.0,15657.0,15657.0,15657.0,0.0,15657.0,15657.0,15657.0,15657.0
8,2,inceptiontime,inception_time,0,9,0,5.0,2.5,50.0,0.9,stage1,s1_033,focused_combo_combined_regularization-wd0p01_do0p5_ls0p3_mw0p9_lr0.001_wd0.01_do0.5_ls0.3_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep9,focused_combo,combined_regularization,wd0.01_do0.5_ls0.3_mw0.9,0.001,0.01,0.5,0.3,none,mean_prob,none,weighted_ce,inverse_subject_count,static_only,0,5,0.5731481481481482,0.04323191677751388,0.519477239131971,0.6268190571643254,0.5,0.611111111111111,0.5555138722173317,0.049060644513811716,0.4946068020652777,0.6164209423693858,0.4838468720821662,0.603425985778927,0.5731481481481482,0.04323191677751388,0.519477239131971,0.6268190571643254,0.5,0.611111111111111,0.5555138722173317,0.049060644513811716,0.4946068020652777,0.6164209423693858,0.4838468720821662,0.603425985778927,0.3583333333333333,0.03726779962499651,0.3120666666666666,0.40459999999999996,0.3333333333333333,0.4166666666666667,0.43683567894094216,0.03737970179525522,0.3904300896530654,0.4832412682288189,0.38095238095238093,0.47619047619047616,9.0,0.0,9.0,9.0,9.0,9.0,440.77646427792496,0.3319347494658462,440.36437892372766,441.18854963212226,440.3853658689186,441.1454694699496,0.9911579781547187,0.00016326855019782043,0.9909552859736627,0.9913606703357748,0.9910087573096906,0.9913770377586882,0.5216450758094552,0.05109452897681784,0.458213009402315,0.5850771422165953,0.44822413979810216,0.5777655538974168,0.4695129023452635,0.05097771724167908,0.4062258536120081,0.532799951078519,0.41361148386127145,0.5427846175115885,0.6922099688656018,0.0004191603272842427,0.6916895960145751,0.6927303417166285,0.6916929177254174,0.6927555640639138,1.1530624776818423,0.05822119986261443,1.0807828992231714,1.2253420561405133,1.0703697578197173,1.2122787056269093,0.46085250881624046,0.058311125204234995,0.3884612911986305,0.5332437264338504,0.3776141937558035,0.5200353392087977,0.6416292190551758,0.0,0.6416292190551758,0.6416292190551758,0.6416292190551758,0.6416292190551758,15657.0,0.0,15657.0,15657.0,15657.0,15657.0,15657.0,0.0,15657.0,15657.0,15657.0,15657.0
9,2,inceptiontime,inception_time,0,15,0,5.0,2.5,50.0,0.7,stage1,s1_099,main_effect_max_windows_fraction-0p7_lr0.001_wd0.005_do0.5_ls0.2_mw70_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep15,main_effect,max_windows_fraction,0.7,0.001,0.005,0.5,0.2,none,mean_prob,none,weighted_ce,inverse_subject_count,static_only,0,5,0.5731481481481481,0.05645491178340359,0.5030613544157142,0.643234941880582,0.5138888888888888,0.6481481481481481,0.5627801200409895,0.052114069565275145,0.4980823297372431,0.627477910344736,0.5095238095238096,0.6287878787878788,0.5731481481481481,0.05645491178340359,0.5030613544157142,0.643234941880582,0.5138888888888888,0.6481481481481481,0.5627801200409895,0.052114069565275145,0.4980823297372431,0.627477910344736,0.5095238095238096,0.6287878787878788,0.4166666666666667,0.05103103630798288,0.3533134241819025,0.4800199091514309,0.375,0.5,0.47333333333333333,0.04562491263620376,0.4166916038543763,0.5299750628122903,0.42857142857142855,0.5333333333333333,15.0,0.0,15.0,15.0,15.0,15.0,566.4911339507438,0.2094075090627954,566.2311618698376,566.75110603165,566.2713989848271,566.8187417669687,0.9948067377869287,0.00039874327474551027,0.9943117119908297,0.9953017635830278,0.9942188064855186,0.9952441607067382,0.5276434956108249,0.04753698224112509,0.4686279987524001,0.5866589924692498,0.4541476690311349,0.5799164263577653,0.4671632421761037,0.04728522360751269,0.4084602948349299,0.5258661895172776,0.4149964459277221,0.5400711374543837,0.5370842849315771,0.000512294563080282,0.5364482891919927,0.5377202806711615,0.5365597096820556,0.537678210921412,1.168478715184328,0.066406829000047,1.0860369651306234,1.2509204652380328,1.0878780580062464,1.251326786000626,0.6313944302527512,0.06594001073126246,0.5495322187136112,0.7132566417918912,0.5513183483241908,0.7136485750792141,0.6418812870979309,0.0,0.6418812870979309,0.6418812870979309,0.6418812870979309,0.6418812870979309,12180.0,0.0,12180.0,12180.0,12180.0,12180.0,12180.0,0.0,12180.0,12180.0,12180.0,12180.0
10,2,inceptiontime,inception_time,0,10,0,5.0,2.5,50.0,0.9,stage1,s1_067,focused_combo_combined_regularization-wd0p005_do0p4_ls0p15_mw0p9_lr0.001_wd0.005_do0.4_ls0.15_mw90_sqinone_aggmean_prob_mannone_lossweighted_ce_cwinverse_subject_count_ep10,focused_combo,combined_regularization,wd0.005_do0.4_ls0.15_mw0.9,0.001,0.005,0.4,0.15,none,mean_prob,none,weighted_ce,inverse_subject_count,static_only,0,5,0.5722222222222222,0.04554953287499571,0.5156740740740741,0.6287703703703703,0.5138888888888888,0.625,0.554863683078113,0.05078412903129859,0.49181696732105673,0.6179103988351692,0.5072463768115941,0.6251207729468599,0.5722222222222222,0.04554953287499571,0.5156740740740741,0.6287703703703703,0.5138888888888888,0.625,0.554863683078113,0.05078412903129859,0.49181696732105673,0.6179103988351692,0.5072463768115941,0.6251207729468599,0.4083333333333333,0.13307266185559427,0.24312828901970876,0.5735383776469579,0.25,0.5833333333333334,0.46736842105263154,0.11730961905978869,0.3217326417351828,0.6130042003700803,0.3157894736842105,0.6,10.0,0.0,10.0,10.0,10.0,10.0,488.39988420573064,0.1942996961967405,488.15866794483446,488.6411004666268,488.19049886986613,488.6255639248993,0.9939016569010718,0.0003480931903179565,0.9934695114090537,0.9943338023930899,0.9934801530444677,0.9944472342188959,0.5154151474483043,0.02003263771109002,0.49054533005207035,0.5402849648445383,0.4880983509455449,0.5424392469622699,0.4784865094527676,0.020230118462807256,0.4533715266267331,0.5036014922788021,0.4514123995325745,0.506348883273351,0.44728009102456195,0.0009668104307200597,0.4460798297701256,0.4484803522789983,0.44608609392142384,0.44876875550660944,1.2329028714710497,0.04048246491341221,1.1826453105514185,1.283160432390681,1.1992536557971962,1.292053759558811,0.7856227804464877,0.04036341682511908,0.7355130135547783,0.8357325473381971,0.7528860215969134,0.8446658381501481,0.6416292190551758,0.0,0.6416292190551758,0.6416292190551758,0.6416292190551758,0.6416292190551758,15657.0,0.0,15657.0,15657.0,15657.0,15657.0,15657.0,0.0,15657.0,15657.0,15657.0,15657.0
