factor,level,n_configs,best_ba,mean_ba,median_ba,mean_std,best_ci_low,mean_worst_f1,best_worst_f1,mean_gap,mean_train_ba,mean_val_ba,mean_samples_per_epoch,mean_duration_sec
model,inceptiontime,112,0.5805555555555555,0.5016286375661375,0.5046296296296297,0.06915028726911722,0.5352962454247128,0.37910540500571843,0.5109523809523809,0.4699531320639109,0.9443587172440466,0.47440558518013554,10545.907142857144,149.86529348773018
model,small_inceptiontime,112,0.5814814814814815,0.5070601851851851,0.5060185185185184,0.07019545005042994,0.523307640710041,0.39627606453827413,0.4785964912280701,0.40881201355777114,0.8812361743956625,0.4724241608378912,10545.907142857144,46.81991621564958
cnn_epochs,10,112,0.576851851851852,0.5041501322751323,0.5060185185185184,0.0709551960413592,0.5112054903387323,0.3856972622546375,0.4895854833161334,0.430652952910685,0.9020654966917402,0.47141254378105507,10545.907142857144,80.50870635456813
cnn_epochs,15,112,0.5814814814814815,0.5045386904761905,0.5050925925925926,0.06839054127818796,0.5352962454247128,0.38968420728935504,0.5109523809523809,0.44811219271099706,0.9235293949479688,0.47541720223697176,10545.907142857144,116.17650334881161
stage1_regularization_value,wd0.005_do0.5_ls0.2,112,0.5805555555555555,0.5045304232804233,0.5069444444444444,0.07226226326667665,0.5344677324908647,0.3843061824452141,0.477,0.44194823157393687,0.9152405700991275,0.47329233852519054,10545.907142857144,98.26211073549473
stage1_regularization_value,wd0.01_do0.5_ls0.3,112,0.5814814814814815,0.5041583994708995,0.5046296296296297,0.0670834740528705,0.5352962454247128,0.3910752870987785,0.5109523809523809,0.4368169140477453,0.9103543215405815,0.4735374074928362,10545.907142857144,98.42309896788502
sqi_mode,none,112,0.576851851851852,0.49790013227513225,0.5004629629629631,0.0658693565816013,0.523307640710041,0.38571192320748476,0.4776190476190476,0.4397575770497917,0.9152844610290028,0.47552688397921106,13439.814285714285,115.28878687956062
sqi_mode,top50_quality,112,0.5814814814814815,0.5107886904761905,0.5111111111111111,0.07347638073794585,0.5352962454247128,0.3896695463365078,0.5109523809523809,0.4390075685718905,0.9103104306107062,0.47130286203881566,7652.0,81.39642282381911
window_sampler,class_subject_balanced,96,0.5805555555555555,0.5050347222222222,0.5050925925925926,0.06713464461970473,0.5352962454247128,0.3850182263922631,0.477,0.42981323703898205,0.9012165608798371,0.4714033238408552,8295.783333333333,85.25415618850433
window_sampler,none,32,0.5814814814814815,0.5349247685185186,0.5356481481481481,0.07622434538364599,0.5123198882320803,0.42790150996402676,0.5109523809523809,0.4778152516625276,0.9750648208429272,0.4972495691803996,28890.0,205.33743290059647
window_sampler,subject_balanced,96,0.5759259259259258,0.4934606481481481,0.4962962962962963,0.0700272671252183,0.523307640710041,0.37695965142105264,0.4738837289301685,0.4361410156321379,0.9036225390855143,0.4674815234533762,6681.333333333333,75.76611083190654
windows_per_subject_per_epoch,16,64,0.5324074074074074,0.4735098379629629,0.4736111111111111,0.07580429918475327,0.4802734356411121,0.3525422473800746,0.4357843137254902,0.3989302491151492,0.850322265625,0.4513920165098508,2080.0,48.91806296437717
windows_per_subject_per_epoch,32,64,0.5564814814814814,0.4962818287037037,0.4962962962962963,0.061013786515686085,0.523307640710041,0.3797273441432522,0.4650349650349651,0.4372951786681801,0.8999743019386575,0.4626791232704773,4160.0,61.08601313869367
windows_per_subject_per_epoch,50%,64,0.5805555555555555,0.5279513888888889,0.5277777777777778,0.06892478191694519,0.5352962454247128,0.41069722519664675,0.477,0.4627059512233507,0.9569620823843697,0.494256131161019,16225.675,131.5263244275455
windows_per_subject_per_epoch,all,32,0.5814814814814815,0.5349247685185186,0.5356481481481481,0.07622434538364599,0.5123198882320803,0.42790150996402676,0.5109523809523809,0.4778152516625276,0.9750648208429272,0.4972495691803996,28890.0,205.33743290059647
train_overlap_pct,0.0,112,0.5666666666666667,0.5020254629629629,0.5050925925925926,0.06813858578457822,0.5112054903387323,0.3871540070807144,0.5109523809523809,0.43708178199060554,0.9105245140646827,0.47344273207407717,9025.085714285715,89.33296584007205
train_overlap_pct,30.0,112,0.5814814814814815,0.5066633597883597,0.5060185185185184,0.07120715153496894,0.5352962454247128,0.3882274624632781,0.4895854833161334,0.44168336363107663,0.9150703775750263,0.47338701394394966,12066.728571428572,107.35224386330768
