overfit_config_id,pre_frail_recall_mean,robust_non_frail_recall_mean,young_recall_mean,pre_frail_f1_mean,robust_non_frail_f1_mean,young_f1_mean,subject_balanced_accuracy_mean,overfit_stage,model
gen_030,0.6888888888888889,0.4666666666666667,0.575,0.6039393939393939,0.500954535660418,0.5760504201680672,0.576851851851852,generalization,inceptiontime
gen_044,0.6,0.5,0.6,0.5613903743315507,0.5608938353789612,0.5424922600619195,0.5666666666666667,generalization,inceptiontime
gen_066,0.6888888888888889,0.4666666666666666,0.575,0.6222681704260651,0.48956916996047434,0.5700653594771242,0.5768518518518518,generalization,inceptiontime
gen_074,0.7777777777777778,0.5,0.45,0.6622902711323764,0.5485645933014354,0.4645564892623716,0.5759259259259258,generalization,inceptiontime
gen_080,0.6666666666666666,0.55,0.525,0.6102415458937198,0.5732274068642356,0.5244444444444445,0.5805555555555555,generalization,inceptiontime
gen_093,0.6666666666666666,0.4333333333333333,0.6,0.5935584415584415,0.44100409394527035,0.5719172932330827,0.5666666666666667,generalization,inceptiontime
gen_121,0.711111111111111,0.5333333333333333,0.45,0.6472727272727272,0.5515969979677073,0.46978668390433087,0.5648148148148148,generalization,small_inceptiontime
gen_136,0.7333333333333334,0.5666666666666667,0.4,0.6468853292651919,0.5846316002837743,0.4363553113553113,0.5666666666666667,generalization,small_inceptiontime
gen_164,0.7555555555555555,0.5166666666666667,0.425,0.6449197860962567,0.5603738991748145,0.45064102564102565,0.5657407407407408,generalization,small_inceptiontime
gen_212,0.7777777777777778,0.5166666666666667,0.45,0.6264580819638028,0.5775921622237411,0.5066666666666666,0.5814814814814815,generalization,small_inceptiontime
ref_20260625_top1_s1_122,0.7777777777777778,0.5666666666666667,0.525,0.6912516469038208,0.5983496503496504,0.5542857142857143,0.6231481481481481,fixed_reference,inceptiontime
ref_20260625_top2_s1_102,0.7777777777777778,0.55,0.525,0.6909090909090909,0.5849115095430885,0.5484033613445378,0.6175925925925926,fixed_reference,inceptiontime
