overfit_config_id,reference_source,reference_source_config_id,true,pred,count,row_normalized
ref_20260625_top1_s1_122,20260625.0,s1_122,pre_frail,pre_frail,35,0.7777777777777778
ref_20260625_top1_s1_122,20260625.0,s1_122,pre_frail,robust_non_frail,7,0.1555555555555555
ref_20260625_top1_s1_122,20260625.0,s1_122,pre_frail,young,3,0.0666666666666666
ref_20260625_top1_s1_122,20260625.0,s1_122,robust_non_frail,pre_frail,14,0.2333333333333333
ref_20260625_top1_s1_122,20260625.0,s1_122,robust_non_frail,robust_non_frail,34,0.5666666666666667
ref_20260625_top1_s1_122,20260625.0,s1_122,robust_non_frail,young,12,0.2
ref_20260625_top1_s1_122,20260625.0,s1_122,young,pre_frail,7,0.175
ref_20260625_top1_s1_122,20260625.0,s1_122,young,robust_non_frail,12,0.3
ref_20260625_top1_s1_122,20260625.0,s1_122,young,young,21,0.525
ref_20260625_top2_s1_102,20260625.0,s1_102,pre_frail,pre_frail,35,0.7777777777777778
ref_20260625_top2_s1_102,20260625.0,s1_102,pre_frail,robust_non_frail,7,0.1555555555555555
ref_20260625_top2_s1_102,20260625.0,s1_102,pre_frail,young,3,0.0666666666666666
ref_20260625_top2_s1_102,20260625.0,s1_102,robust_non_frail,pre_frail,14,0.2333333333333333
ref_20260625_top2_s1_102,20260625.0,s1_102,robust_non_frail,robust_non_frail,33,0.55
ref_20260625_top2_s1_102,20260625.0,s1_102,robust_non_frail,young,13,0.2166666666666666
ref_20260625_top2_s1_102,20260625.0,s1_102,young,pre_frail,7,0.175
ref_20260625_top2_s1_102,20260625.0,s1_102,young,robust_non_frail,12,0.3
ref_20260625_top2_s1_102,20260625.0,s1_102,young,young,21,0.525
ref_20260608_top2_s1_091,20260608.0,s1_091,pre_frail,pre_frail,32,0.7111111111111111
ref_20260608_top2_s1_091,20260608.0,s1_091,pre_frail,robust_non_frail,9,0.2
ref_20260608_top2_s1_091,20260608.0,s1_091,pre_frail,young,4,0.0888888888888888
ref_20260608_top2_s1_091,20260608.0,s1_091,robust_non_frail,pre_frail,21,0.35
ref_20260608_top2_s1_091,20260608.0,s1_091,robust_non_frail,robust_non_frail,26,0.4333333333333333
ref_20260608_top2_s1_091,20260608.0,s1_091,robust_non_frail,young,13,0.2166666666666666
ref_20260608_top2_s1_091,20260608.0,s1_091,young,pre_frail,6,0.15
ref_20260608_top2_s1_091,20260608.0,s1_091,young,robust_non_frail,12,0.3
ref_20260608_top2_s1_091,20260608.0,s1_091,young,young,22,0.55
ref_20260608_top3_s1_105,20260608.0,s1_105,pre_frail,pre_frail,31,0.6888888888888889
ref_20260608_top3_s1_105,20260608.0,s1_105,pre_frail,robust_non_frail,10,0.2222222222222222
ref_20260608_top3_s1_105,20260608.0,s1_105,pre_frail,young,4,0.0888888888888888
ref_20260608_top3_s1_105,20260608.0,s1_105,robust_non_frail,pre_frail,18,0.3
ref_20260608_top3_s1_105,20260608.0,s1_105,robust_non_frail,robust_non_frail,31,0.5166666666666667
ref_20260608_top3_s1_105,20260608.0,s1_105,robust_non_frail,young,11,0.1833333333333333
ref_20260608_top3_s1_105,20260608.0,s1_105,young,pre_frail,8,0.2
ref_20260608_top3_s1_105,20260608.0,s1_105,young,robust_non_frail,13,0.325
ref_20260608_top3_s1_105,20260608.0,s1_105,young,young,19,0.475
ref_20260527_top1_g0068,20260527.0,g0068,pre_frail,pre_frail,30,0.6666666666666666
ref_20260527_top1_g0068,20260527.0,g0068,pre_frail,robust_non_frail,10,0.2222222222222222
ref_20260527_top1_g0068,20260527.0,g0068,pre_frail,young,5,0.1111111111111111
ref_20260527_top1_g0068,20260527.0,g0068,robust_non_frail,pre_frail,21,0.35
ref_20260527_top1_g0068,20260527.0,g0068,robust_non_frail,robust_non_frail,28,0.4666666666666667
ref_20260527_top1_g0068,20260527.0,g0068,robust_non_frail,young,11,0.1833333333333333
ref_20260527_top1_g0068,20260527.0,g0068,young,pre_frail,4,0.1
ref_20260527_top1_g0068,20260527.0,g0068,young,robust_non_frail,15,0.375
ref_20260527_top1_g0068,20260527.0,g0068,young,young,21,0.525
ref_20260527_top2_g0056,20260527.0,g0056,pre_frail,pre_frail,26,0.5777777777777777
ref_20260527_top2_g0056,20260527.0,g0056,pre_frail,robust_non_frail,16,0.3555555555555555
ref_20260527_top2_g0056,20260527.0,g0056,pre_frail,young,3,0.0666666666666666
ref_20260527_top2_g0056,20260527.0,g0056,robust_non_frail,pre_frail,17,0.2833333333333333
ref_20260527_top2_g0056,20260527.0,g0056,robust_non_frail,robust_non_frail,33,0.55
ref_20260527_top2_g0056,20260527.0,g0056,robust_non_frail,young,10,0.1666666666666666
ref_20260527_top2_g0056,20260527.0,g0056,young,pre_frail,3,0.075
ref_20260527_top2_g0056,20260527.0,g0056,young,robust_non_frail,16,0.4
ref_20260527_top2_g0056,20260527.0,g0056,young,young,21,0.525
ref_20260608_top4_s1_163,20260608.0,s1_163,pre_frail,pre_frail,29,0.6444444444444445
ref_20260608_top4_s1_163,20260608.0,s1_163,pre_frail,robust_non_frail,13,0.2888888888888888
ref_20260608_top4_s1_163,20260608.0,s1_163,pre_frail,young,3,0.0666666666666666
ref_20260608_top4_s1_163,20260608.0,s1_163,robust_non_frail,pre_frail,18,0.3
ref_20260608_top4_s1_163,20260608.0,s1_163,robust_non_frail,robust_non_frail,30,0.5
ref_20260608_top4_s1_163,20260608.0,s1_163,robust_non_frail,young,12,0.2
ref_20260608_top4_s1_163,20260608.0,s1_163,young,pre_frail,6,0.15
ref_20260608_top4_s1_163,20260608.0,s1_163,young,robust_non_frail,14,0.35
ref_20260608_top4_s1_163,20260608.0,s1_163,young,young,20,0.5
ref_20260608_top1_s1_085,20260608.0,s1_085,pre_frail,pre_frail,29,0.6444444444444445
ref_20260608_top1_s1_085,20260608.0,s1_085,pre_frail,robust_non_frail,12,0.2666666666666666
ref_20260608_top1_s1_085,20260608.0,s1_085,pre_frail,young,4,0.0888888888888888
ref_20260608_top1_s1_085,20260608.0,s1_085,robust_non_frail,pre_frail,19,0.3166666666666666
ref_20260608_top1_s1_085,20260608.0,s1_085,robust_non_frail,robust_non_frail,29,0.4833333333333333
ref_20260608_top1_s1_085,20260608.0,s1_085,robust_non_frail,young,12,0.2
ref_20260608_top1_s1_085,20260608.0,s1_085,young,pre_frail,5,0.125
ref_20260608_top1_s1_085,20260608.0,s1_085,young,robust_non_frail,15,0.375
ref_20260608_top1_s1_085,20260608.0,s1_085,young,young,20,0.5
