overfit_config_id,reference_source,reference_source_config_id,repeat,seed,model,cnn_epochs,sqi_mode,aggregation,subject_balanced_accuracy,subject_macro_f1,worst_class_recall,worst_class_f1,train_val_balanced_accuracy_gap,best_epoch_train_balanced_accuracy,best_epoch_val_balanced_accuracy,duration_sec
ref_20260527_top1_g0068,20260527.0,g0068,1,42,inceptiontime,50,none,mean_prob,0.5185185185185185,0.5277023629964807,0.5,0.4615384615384615,0.4831907773607691,0.9964182546325648,0.5132274772717957,1701.2088749799875
ref_20260527_top1_g0068,20260527.0,g0068,2,10042,inceptiontime,50,none,mean_prob,0.4907407407407407,0.4848484848484848,0.4166666666666667,0.4545454545454545,0.5312944124752346,0.9969629047289004,0.4656684922536657,1801.677819760982
ref_20260527_top1_g0068,20260527.0,g0068,3,20042,inceptiontime,50,none,mean_prob,0.5694444444444444,0.5575396825396824,0.4166666666666667,0.4761904761904761,0.4940223281318731,0.997724785140396,0.503702457008523,1785.7167552651372
ref_20260527_top1_g0068,20260527.0,g0068,4,30042,inceptiontime,50,none,mean_prob,0.6342592592592592,0.6234848484848484,0.5,0.5454545454545454,0.442959602079641,0.9974041082361236,0.5544445061564826,1783.5110722300597
ref_20260527_top1_g0068,20260527.0,g0068,5,40042,inceptiontime,50,none,mean_prob,0.5509259259259259,0.5367965367965367,0.375,0.4285714285714285,0.52447759607874,0.9981284156828426,0.4736508196041026,1784.716464272933
ref_20260527_top2_g0056,20260527.0,g0056,1,42,inceptiontime,50,none,mean_prob,0.4722222222222222,0.4777777777777778,0.3333333333333333,0.4,0.5301186924835496,0.998345699644794,0.4682270071612445,2455.952255925862
ref_20260527_top2_g0056,20260527.0,g0056,2,10042,inceptiontime,50,none,mean_prob,0.4259259259259259,0.4270531400966184,0.3333333333333333,0.3478260869565217,0.505935371256344,0.9985553782101746,0.4926200069538305,2452.602382875979
ref_20260527_top2_g0056,20260527.0,g0056,3,20042,inceptiontime,50,none,mean_prob,0.5833333333333334,0.5876691729323308,0.5,0.56,0.4884642095403713,0.9971242590685304,0.508660049528159,2448.9786290600896
ref_20260527_top2_g0056,20260527.0,g0056,4,30042,inceptiontime,50,none,mean_prob,0.6527777777777778,0.6569607843137255,0.625,0.625,0.4455740820286816,0.9982868493297856,0.552712767301104,2420.1012403809
ref_20260527_top2_g0056,20260527.0,g0056,5,40042,inceptiontime,50,none,mean_prob,0.6203703703703703,0.6182539682539682,0.5,0.5714285714285714,0.4822902745707127,0.9980557841767494,0.5157655096060367,2415.751146118855
